NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.867870
ENERGIES
-10.964307
-0.926459
-0.540445
-0.325926
0.485928
0.669653
0.711423
849736.433838
965066.312716
996478.089859
1070621.007972
1118093.563285

OEI
-18.588748	
0.220112	-4.628617	
-0.000000	-0.000000	-4.232248	
0.187945	-0.117033	0.000000	-4.338047	
0.153599	-0.300561	0.000000	-0.396265	-3.134440	
0.235637	-0.899442	-0.000000	0.242234	-0.180332	-3.844753	
0.000000	-0.000000	0.795310	0.000000	-0.000000	-0.000000	-3.538036	
0.115889	0.053944	0.000000	0.034271	-0.003869	-0.015583	0.000000	849732.856106	
0.000000	0.000000	0.133275	0.000000	0.000000	0.000000	0.025898	-0.000000	965063.479031	
-0.005056	-0.023455	0.000000	0.002198	0.003144	-0.013202	-0.000000	0.001115	0.000000	996474.909216	
-0.038112	-0.197452	-0.000000	0.066143	-0.118911	0.139328	0.000000	0.151202	0.000000	0.133041	1070618.491888	
0.112648	0.079452	0.000000	0.126988	-0.005744	0.002934	-0.000000	-0.852983	0.000000	0.037607	0.323287	1118089.879967	

ENV_OEI
-5.115746	
0.412562	-0.625888	
-0.000000	-0.000000	-0.489468	
0.365241	0.069015	0.000000	-0.661867	
0.308787	-0.297958	0.000000	0.131625	-0.764343	
0.478551	-0.038047	-0.000000	-0.200319	0.312851	-0.978596	
0.000000	0.000000	0.147325	-0.000000	0.000000	-0.000000	-0.521082	
0.221132	0.006422	0.000000	0.038394	-0.050364	-0.014781	-0.000000	-0.763170	
-0.000000	-0.000000	-0.131167	-0.000000	-0.000000	0.000000	-0.141082	0.000000	-0.818702	
0.014928	-0.259545	-0.000000	0.611225	-1.348761	0.974556	0.000000	0.125624	0.000000	-18.629517	
-0.055112	0.039198	-0.000000	-0.002684	0.036468	-0.068072	-0.000000	-0.222292	-0.000000	1.669359	-0.878986	
0.210209	-0.001936	0.000000	-0.038070	0.028505	-0.047608	-0.000000	0.039423	-0.000000	0.179215	0.134108	-0.596083	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996665	-0.016308	0.006497	0.006497	-0.001354	0.006665	0.027471	-0.000000	0.007900	-0.002259	0.000000	0.003204	
0.143807	-0.337426	-0.268036	-0.268036	0.027561	0.046167	0.319947	-0.000000	0.227865	-0.168933	-0.000000	-0.281577	
-0.000000	0.000000	-0.437284	0.437284	0.000000	-0.000000	-0.000000	-0.619362	0.000000	0.000000	0.337693	-0.000000	
0.127335	-0.510624	-0.117431	-0.117431	-0.054707	0.221788	0.301713	-0.000000	-0.687253	0.026106	0.000000	0.366281	
0.105832	-0.655638	0.896409	0.896409	0.117568	-0.701219	0.238983	0.000000	-0.148102	-0.162579	0.000000	-0.599810	
0.167329	-1.026852	0.415980	0.415980	-0.086849	0.525025	0.368954	-0.000000	0.928081	0.287424	-0.000000	0.701750	
0.000000	-0.000000	-0.951166	0.951166	-0.000000	0.000000	0.000000	1.080670	0.000000	0.000000	0.330460	0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012325	0.049401	-0.608823	-0.000000	0.000000	0.744813	-0.000000	-0.291146	
-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	1.000000	-0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216380	0.004077	-0.000000	-0.000000	0.053739	0.000000	0.092871	
-0.018947	0.087226	0.000000	0.000000	-0.019715	-0.850780	0.136854	0.000000	0.000000	0.334096	0.000000	0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229166	-0.589676	-0.000000	-0.000000	-0.509850	0.000000	0.308002	

ERI
0 0 0 0 3.5236179
1 0 0 0 -0.1916086
1 0 1 0 0.0206468
1 0 1 1 0.0058968
1 1 0 0 0.6470205
1 1 1 0 0.0058968
1 1 1 1 0.5934762
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0095205
2 0 2 1 0.0111183
2 0 2 2 -0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0111183
2 1 2 1 0.1051568
2 1 2 2 -0.0000000
2 2 0 0 0.6535739
2 2 1 0 -0.0008046
2 2 1 1 0.5124254
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5397229
3 0 0 0 -0.1661380
3 0 1 0 0.0127082
3 0 1 1 -0.0087392
3 0 2 0 -0.0000000
3 0 2 1 -0.0000000
3 0 2 2 -0.0038779
3 0 3 0 0.0249303
3 0 3 1 0.0082651
3 0 3 2 -0.0000000
3 0 3 3 0.0095661
3 1 0 0 0.0535615
3 1 1 0 -0.0011197
3 1 1 1 -0.0187737
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 0.0189245
3 1 3 0 0.0082651
3 1 3 1 0.0588492
3 1 3 2 0.0000000
3 1 3 3 0.0420107
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0072591
3 2 2 1 0.0384677
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0371304
3 2 3 3 -0.0000000
3 3 0 0 0.7773661
3 3 1 0 -0.0067039
3 3 1 1 0.4872216
3 3 2 0 -0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4859448
3 3 3 0 0.0095661
3 3 3 1 0.0420107
3 3 3 2 -0.0000000
3 3 3 3 0.6319654
4 0 0 0 -0.1392520
4 0 1 0 0.0128736
4 0 1 1 -0.0015749
4 0 2 0 -0.0000000
4 0 2 1 -0.0000000
4 0 2 2 -0.0022283
4 0 3 0 0.0142797
4 0 3 1 0.0020524
4 0 3 2 -0.0000000
4 0 3 3 0.0007747
4 0 4 0 0.0104428
4 0 4 1 -0.0003773
4 0 4 2 0.0000000
4 0 4 3 0.0011262
4 0 4 4 -0.0000089
4 1 0 0 0.0868550
4 1 1 0 0.0008328
4 1 1 1 0.0418702
4 1 2 0 -0.0000000
4 1 2 1 0.0000000
4 1 2 2 -0.0140685
4 1 3 0 -0.0013149
4 1 3 1 -0.0194745
4 1 3 2 -0.0000000
4 1 3 3 0.0533449
4 1 4 0 -0.0003773
4 1 4 1 0.0706193
4 1 4 2 -0.0000000
4 1 4 3 -0.0062893
4 1 4 4 0.0072274
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0010270
4 2 2 1 -0.0719645
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 -0.0162348
4 2 3 3 -0.0000000
4 2 4 0 0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0797350
4 2 4 3 -0.0000000
4 2 4 4 0.0000000
4 3 0 0 0.1422163
4 3 1 0 -0.0050021
4 3 1 1 -0.0206724
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0198305
4 3 3 0 0.0084838
4 3 3 1 0.0526626
4 3 3 2 -0.0000000
4 3 3 3 0.0920868
4 3 4 0 0.0011262
4 3 4 1 -0.0062893
