NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-22.630894
ENERGIES
-6.733830
-0.348447
0.061819
0.278726
1.006455
1.472697
1.559794
849736.783593
965066.507336
996478.213439
1070621.140997
1118093.893078

OEI
-13.450987	
0.156581	-3.716423	
-0.000000	0.000000	-3.268481	
0.243027	-0.003463	-0.000000	-3.129777	
-0.249963	0.026986	-0.000000	0.336018	-2.969315	
-0.000000	0.000000	0.497921	0.000000	0.000000	-2.826262	
0.384539	-0.610595	0.000000	-0.172941	-0.111261	0.000000	-3.244094	
0.107848	0.023656	-0.000000	0.064332	-0.048672	-0.000000	-0.037210	849733.212577	
0.000000	0.000000	0.074709	0.000000	-0.000000	-0.015356	-0.000000	-0.000000	965063.358611	
-0.004736	-0.011200	0.000000	-0.002629	-0.004949	0.000000	-0.017684	0.000815	0.000000	996474.460030	
-0.034808	-0.216379	-0.000000	0.091316	0.106140	-0.000000	0.057870	0.072245	0.000000	0.180087	1070618.345766	
0.107249	0.020993	-0.000000	0.119864	-0.074878	0.000000	-0.014376	-0.528110	0.000000	0.043483	0.246146	1118090.266549	

ENV_OEI
0.031138	
0.082375	-0.346571	
-0.000000	-0.000000	0.206428	
0.115458	0.542071	0.000000	-0.176536	
-0.129443	0.395527	0.000000	-0.583107	0.098448	
-0.000000	-0.000000	-0.238664	0.000000	0.000000	0.458563	
0.213998	0.356920	-0.000000	-0.236801	-0.138927	0.000000	0.271088	
0.089021	0.014230	-0.000000	0.046642	-0.040525	0.000000	-0.064235	-0.406701	
-0.000000	0.000000	-0.315106	-0.000000	-0.000000	-0.172677	-0.000000	0.000000	-0.939121	
0.032721	-0.671050	-0.000000	1.216490	1.072359	-0.000000	0.440308	0.142482	-0.000000	-19.078703	
-0.015240	0.188662	0.000000	-0.055779	-0.057908	0.000000	-0.074893	-0.161379	-0.000000	1.737476	-1.025111	
0.078207	-0.047410	0.000000	-0.060364	0.026595	0.000000	-0.040596	0.679058	-0.000000	0.170686	-0.180982	-0.209496	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.975498	-0.101802	0.030796	0.030796	-0.002360	0.017510	0.069884	-0.000000	0.024298	-0.001322	0.000000	0.015528	
0.098385	-0.001055	-0.288391	-0.288391	0.064733	-0.168961	0.166519	0.000000	0.099843	-0.246595	-0.000000	-0.545384	
-0.000000	0.000000	-0.609994	0.609994	0.000000	-0.000000	-0.000000	-0.402817	0.000000	-0.000000	0.394315	-0.000000	
0.138414	-0.315514	-0.532104	-0.532104	-0.104985	0.585171	0.255445	-0.000000	-0.358556	0.093058	0.000000	0.607343	
-0.134683	0.534834	-0.587594	-0.587594	-0.091768	0.604839	-0.249307	-0.000000	0.700216	0.190686	-0.000000	0.486782	
-0.000000	0.000000	-0.850789	0.850789	0.000000	-0.000000	-0.000000	1.178642	-0.000000	-0.000000	0.260300	-0.000000	
0.266198	-1.209621	0.591391	0.591391	-0.038475	0.285683	0.476836	0.000000	0.882127	0.180106	0.000000	0.402708	
0.084288	-0.388040	0.000000	0.000000	-0.012325	0.049402	-0.608822	0.000000	0.000000	0.744813	-0.000000	-0.291146	
-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	1.000000	-0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216379	0.004077	0.000000	-0.000000	0.053739	-0.000000	0.092871	
-0.018946	0.087224	0.000000	0.000000	-0.019714	-0.850781	0.136851	-0.000000	0.000000	0.334094	0.000000	0.355392	
0.081637	-0.375838	-0.000000	-0.000000	0.011610	-0.229162	-0.589677	0.000000	-0.000000	-0.509851	0.000000	0.308000	

ERI
0 0 0 0 3.4023623
1 0 0 0 -0.1525800
1 0 1 0 0.0121813
1 0 1 1 0.0055362
1 1 0 0 0.5168021
1 1 1 0 0.0055362
1 1 1 1 0.5888910
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0060681
2 0 2 1 0.0072991
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0072991
2 1 2 1 0.0872584
2 1 2 2 -0.0000000
2 2 0 0 0.5604233
2 2 1 0 0.0009357
2 2 1 1 0.4733346
2 2 2 0 -0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5217429
3 0 0 0 -0.2128786
3 0 1 0 0.0138427
3 0 1 1 -0.0068329
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0042418
3 0 3 0 0.0248634
3 0 3 1 0.0025219
3 0 3 2 0.0000000
3 0 3 3 -0.0006051
3 1 0 0 0.0501663
3 1 1 0 -0.0012468
3 1 1 1 -0.0658234
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0400609
3 1 3 0 0.0025219
3 1 3 1 0.0879193
3 1 3 2 0.0000000
3 1 3 3 -0.0120034
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 0.0086443
3 2 2 1 0.0854225
3 2 2 2 -0.0000000
3 2 3 0 0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0977367
3 2 3 3 0.0000000
3 3 0 0 0.6015035
3 3 1 0 -0.0007850
