NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-23.955807
ENERGIES
-6.902750
-0.518264
-0.094390
0.111558
0.842351
1.313594
1.392018
849736.683414
965066.354871
996478.041960
1070620.478433
1118094.166664

OEI
-13.617691	
0.160094	-3.893610	
0.000000	-0.000000	-3.426406	
-0.247321	0.010561	-0.000000	-3.302506	
0.248776	-0.030425	-0.000000	0.336807	-3.130420	
-0.000000	0.000000	-0.499194	-0.000000	-0.000000	-2.983440	
0.380916	-0.614529	-0.000000	0.180746	0.118138	0.000000	-3.403801	
0.108012	0.023623	0.000000	-0.064672	0.048486	0.000000	-0.037963	849733.111165	
-0.000000	-0.000000	0.074162	-0.000000	-0.000000	0.015531	-0.000000	-0.000000	965063.202177	
0.004734	0.011110	-0.000000	-0.002722	-0.004973	-0.000000	0.017671	-0.000812	-0.000000	996474.280130	
-0.034858	-0.216605	0.000000	-0.091778	-0.104953	0.000000	0.058031	0.071387	0.000000	-0.180836	1070617.679404	
0.107401	0.021453	0.000000	-0.119992	0.074584	0.000000	-0.015714	-0.525012	-0.000000	-0.043615	0.245579	1118090.539477	

ENV_OEI
-0.135662	
0.083076	-0.519885	
0.000000	0.000000	0.050483	
-0.116719	-0.548228	0.000000	-0.345465	
0.128366	-0.400367	0.000000	-0.579285	-0.063200	
-0.000000	-0.000000	0.237133	-0.000000	-0.000000	0.299405	
0.211277	0.349362	0.000000	0.243973	0.133569	0.000000	0.104349	
0.090371	0.007237	0.000000	-0.059459	0.029481	0.000000	-0.055274	-0.580602	
0.000000	0.000000	-0.313213	-0.000000	0.000000	0.171865	0.000000	0.000000	-1.095555	
-0.032757	0.677605	-0.000000	1.219322	1.071897	0.000000	-0.434441	-0.136025	0.000000	-19.248570	
-0.015303	0.174724	-0.000000	0.042241	0.048876	0.000000	-0.072551	-0.207497	-0.000000	-1.738009	-1.201974	
0.079416	-0.032073	-0.000000	0.066463	-0.020895	0.000000	-0.036657	0.680124	-0.000000	-0.176858	-0.143645	-0.363610	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
-0.975436	-0.101981	0.030780	0.030780	-0.002363	0.017553	0.046280	-0.000000	0.057866	0.014203	0.000000	-0.006448	
0.100620	-0.009921	-0.282255	-0.282255	0.065124	-0.171472	0.149853	-0.000000	0.127639	-0.597700	0.000000	-0.050428	
0.000000	-0.000000	-0.608850	0.608850	-0.000000	0.000000	-0.000000	0.404401	0.000000	0.000000	-0.393965	-0.000000	
-0.141276	0.328024	0.524779	0.524779	0.105090	-0.585992	0.245623	0.000000	-0.363201	-0.606305	-0.000000	0.114711	
0.134096	-0.535878	0.592134	0.592134	0.091586	-0.604994	-0.575384	-0.000000	0.467056	-0.519596	0.000000	-0.016507	
-0.000000	0.000000	0.851608	-0.851608	0.000000	-0.000000	-0.000000	1.178099	-0.000000	-0.000000	0.260829	-0.000000	
0.264376	-1.205770	0.596349	0.596349	-0.037958	0.282151	0.993299	0.000000	0.150426	0.437678	0.000000	0.036626	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049398	-0.203229	0.000000	-0.573901	-0.025821	0.000000	0.799279	
-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	-1.000000	0.000000	
0.000565	-0.002600	-0.000000	-0.000000	-1.025611	0.216380	-0.001362	0.000000	-0.003845	-0.105483	-0.000000	-0.019655	
-0.018948	0.087231	0.000000	0.000000	-0.019715	-0.850778	0.045686	-0.000000	0.129012	0.446529	-0.000000	0.196305	
0.081637	-0.375836	-0.000000	-0.000000	0.011611	-0.229175	-0.196837	-0.000000	-0.555852	0.120149	-0.000000	-0.583417	

ERI
0 0 0 0 3.4019847
1 0 0 0 -0.1561202
1 0 1 0 0.0126780
1 0 1 1 0.0055154
1 1 0 0 0.5189095
1 1 1 0 0.0055154
1 1 1 1 0.5900604
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0061068
2 0 2 1 0.0073604
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
