NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.469668
ENERGIES
-10.824241
-0.805187
-0.369334
-0.209144
0.591292
0.797291
0.875791
849736.659228
965066.376671
996478.101152
1070620.578552
1118094.156415

OEI
-18.350257	
-0.213820	-4.470227	
-0.000000	-0.000000	-3.980786	
0.194565	0.159607	-0.000000	-4.142013	
0.130505	0.212551	0.000000	-0.415030	-3.020534	
-0.238573	-0.885398	0.000000	-0.185433	0.043892	-3.799176	
-0.000000	-0.000000	-0.757063	-0.000000	0.000000	-0.000000	-3.418229	
-0.115591	0.052904	-0.000000	-0.039625	0.001924	-0.018273	-0.000000	849733.080731	
0.000000	-0.000000	0.125486	-0.000000	0.000000	0.000000	-0.015626	-0.000000	965063.498500	
0.004909	-0.021863	0.000000	-0.001556	-0.004231	-0.013946	0.000000	0.001020	-0.000000	996474.835285	
-0.037689	0.199875	0.000000	0.076554	-0.125548	-0.119074	-0.000000	-0.139483	0.000000	-0.140035	1070618.020972	
0.112333	-0.078081	-0.000000	0.127240	-0.001941	0.003840	0.000000	0.806723	0.000000	-0.038619	0.312945	1118090.480400	

ENV_OEI
-4.877112	
-0.403090	-0.515349	
-0.000000	0.000000	-0.293260	
0.378675	-0.100757	0.000000	-0.547499	
0.262937	0.332735	0.000000	0.206261	-0.693313	
-0.489503	-0.004748	0.000000	0.252058	-0.327657	-0.760769	
-0.000000	0.000000	-0.081092	0.000000	-0.000000	-0.000000	-0.346021	
-0.227625	0.021591	-0.000000	-0.051088	0.042496	-0.007599	0.000000	-0.610704	
0.000000	0.000000	-0.165611	0.000000	-0.000000	-0.000000	0.149580	0.000000	-0.799233	
-0.015161	-0.313127	0.000000	-0.699179	1.406239	0.808372	0.000000	0.127876	-0.000000	-18.693416	
-0.056021	-0.053364	0.000000	-0.015231	0.041479	0.077212	0.000000	0.234749	0.000000	-1.685237	-0.860172	
0.216655	-0.012896	0.000000	-0.038894	0.026632	0.015165	0.000000	-0.197092	0.000000	-0.179249	0.077837	-0.423254	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
0.996613	0.016515	-0.006526	-0.006526	0.001354	-0.006662	-0.016535	-0.000000	-0.023414	-0.002264	0.000000	0.003222	
0.142323	-0.327007	-0.258280	-0.258280	0.032512	0.015829	0.290003	0.000000	0.233257	-0.355744	0.000000	-0.065528	
0.000000	-0.000000	-0.476566	0.476566	-0.000000	0.000000	0.000000	0.573762	-0.000000	0.000000	-0.351179	0.000000	
-0.133620	0.549539	0.115993	0.115993	0.062469	-0.268172	0.489766	0.000000	-0.507510	-0.411885	0.000000	0.096460	
-0.090695	0.568511	-0.859164	-0.859164	-0.122294	0.738736	0.172351	-0.000000	-0.279501	0.664322	-0.000000	-0.042319	
0.172803	-1.061480	0.493857	0.493857	-0.072128	0.448088	1.024054	-0.000000	0.040991	0.670121	-0.000000	0.044242	
0.000000	-0.000000	0.932105	-0.932105	-0.000000	0.000000	0.000000	1.105556	-0.000000	0.000000	0.316091	0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049398	-0.203229	-0.000000	-0.573901	-0.025821	0.000000	0.799278	
-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	-1.000000	-0.000000	
-0.000565	0.002600	0.000000	0.000000	1.025611	-0.216380	0.001362	-0.000000	0.003845	0.105483	-0.000000	0.019655	
0.018948	-0.087232	-0.000000	-0.000000	0.019716	0.850777	-0.045686	-0.000000	-0.129014	-0.446528	0.000000	-0.196306	
-0.081637	0.375835	-0.000000	-0.000000	-0.011611	0.229178	0.196837	-0.000000	0.555851	-0.120151	0.000000	0.583417	

ERI
0 0 0 0 3.5233463
1 0 0 0 0.1897791
1 0 1 0 0.0199620
1 0 1 1 -0.0054936
1 1 0 0 0.6371189
1 1 1 0 -0.0054936
1 1 1 1 0.5895438
2 0 0 0 0.0000000
2 0 1 0 0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0084297
2 0 2 1 -0.0102239
2 0 2 2 -0.0000000
2 1 0 0 0.0000000
2 1 1 0 -0.0000000
2 1 1 1 0.0000000
2 1 2 0 -0.0102239
2 1 2 1 0.1040375
2 1 2 2 0.0000000
2 2 0 0 0.6324391
2 2 1 0 0.0004055
2 2 1 1 0.5069541
2 2 2 0 -0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5328811
3 0 0 0 -0.1746594
3 0 1 0 -0.0140562
3 0 1 1 -0.0076447
3 0 2 0 0.0000000
3 0 2 1 -0.0000000
3 0 2 2 -0.0036803
3 0 3 0 0.0249768
3 0 3 1 -0.0076173
3 0 3 2 0.0000000
3 0 3 3 0.0084585
3 1 0 0 -0.0724111
3 1 1 0 -0.0011305
3 1 1 1 0.0195695
3 1 2 0 -0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0219563
3 1 3 0 -0.0076173
3 1 3 1 0.0668721
3 1 3 2 -0.0000000
3 1 3 3 -0.0444906
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 0.0068713
3 2 2 1 -0.0392875
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0355455
3 2 3 3 0.0000000
3 3 0 0 0.7600461
3 3 1 0 0.0055088
3 3 1 1 0.4890544
3 3 2 0 0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4742018
3 3 3 0 0.0084585
3 3 3 1 -0.0444906
3 3 3 2 0.0000000
3 3 3 3 0.6145640
4 0 0 0 -0.1193570
4 0 1 0 -0.0103885
4 0 1 1 -0.0028375
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0022086
4 0 3 0 0.0142860
4 0 3 1 -0.0027318
4 0 3 2 -0.0000000
4 0 3 3 0.0026032
4 0 4 0 0.0086697
4 0 4 1 0.0000560
4 0 4 2 0.0000000
4 0 4 3 0.0024273
4 0 4 4 -0.0001473
4 1 0 0 -0.0609273
4 1 1 0 0.0005740
4 1 1 1 -0.0354336
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 0.0242222
4 1 3 0 0.0000946
4 1 3 1 -0.0229602
4 1 3 2 -0.0000000
4 1 3 3 -0.0490968
4 1 4 0 0.0000560
4 1 4 1 0.0679650
4 1 4 2 0.0000000
4 1 4 3 0.0125148
4 1 4 4 -0.0106589
4 2 0 0 -0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0018147
4 2 2 1 0.0779125
4 2 2 2 -0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0190481
4 2 3 3 -0.0000000
4 2 4 0 0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0863014
4 2 4 3 -0.0000000
4 2 4 4 0.0000000
4 3 0 0 0.1567936
4 3 1 0 0.0050865
4 3 1 1 -0.0251947
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 0.0176535
4 3 3 0 0.0075317
4 3 3 1 -0.0619155
4 3 3 2 0.0000000
4 3 3 3 0.0887161
4 3 4 0 0.0024273
4 3 4 1 0.0125148
4 3 4 2 -0.0000000
4 3 4 3 0.0923024
4 3 4 4 -0.0367319
4 4 0 0 0.5014433
4 4 1 0 -0.0013038
4 4 1 1 0.5109317
4 4 2 0 -0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4722832
4 4 3 0 -0.0006406
4 4 3 1 0.0225771
4 4 3 2 -0.0000000
4 4 3 3 0.4487477
4 4 4 0 -0.0001473
4 4 4 1 -0.0106589
4 4 4 2 0.0000000
4 4 4 3 -0.0367319
4 4 4 4 0.5168151
5 0 0 0 0.2271867
5 0 1 0 0.0264533
5 0 1 1 -0.0119354
5 0 2 0 -0.0000000
5 0 2 1 0.0000000
5 0 2 2 -0.0013367
5 0 3 0 -0.0088828
5 0 3 1 -0.0069075
5 0 3 2 -0.0000000
5 0 3 3 0.0150282
5 0 4 0 -0.0093192
5 0 4 1 0.0003629
5 0 4 2 0.0000000
5 0 4 3 0.0130092
5 0 4 4 -0.0019305
5 0 5 0 0.0416339
5 0 5 1 -0.0048033
5 0 5 2 -0.0000000
5 0 5 3 0.0042227
5 0 5 4 0.0025695
5 0 5 5 -0.0105709
5 1 0 0 0.2649956
5 1 1 0 -0.0004524
5 1 1 1 0.0714652
5 1 2 0 0.0000000
5 1 2 1 0.0000000
5 1 2 2 0.0628716
5 1 3 0 -0.0079555
5 1 3 1 -0.0298277
5 1 3 2 0.0000000
5 1 3 3 0.0858286
5 1 4 0 -0.0037074
5 1 4 1 -0.0099404
5 1 4 2 0.0000000
5 1 4 3 0.0495936
5 1 4 4 -0.0013388
5 1 5 0 -0.0048033
5 1 5 1 0.1040991
5 1 5 2 -0.0000000
5 1 5 3 0.0297453
5 1 5 4 -0.0201438
5 1 5 5 0.1024572
5 2 0 0 -0.0000000
5 2 1 0 -0.0000000
5 2 1 1 -0.0000000
5 2 2 0 -0.0051481
5 2 2 1 -0.0033090
5 2 2 2 -0.0000000
5 2 3 0 0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0009665
5 2 3 3 -0.0000000
5 2 4 0 0.0000000
5 2 4 1 0.0000000
5 2 4 2 -0.0225504
5 2 4 3 -0.0000000
5 2 4 4 0.0000000
5 2 5 0 -0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0267019
5 2 5 3 -0.0000000
5 2 5 4 -0.0000000
5 2 5 5 -0.0000000
5 3 0 0 0.0716267
5 3 1 0 0.0039419
5 3 1 1 -0.0229497
5 3 2 0 -0.0000000
5 3 2 1 0.0000000
5 3 2 2 0.0122263
5 3 3 0 -0.0024479
5 3 3 1 -0.0099659
5 3 3 2 -0.0000000
5 3 3 3 0.0254147
5 3 4 0 -0.0012409
5 3 4 1 0.0226028
5 3 4 2 -0.0000000
5 3 4 3 0.0392599
5 3 4 4 -0.0254009
5 3 5 0 0.0042227
5 3 5 1 0.0297453
5 3 5 2 -0.0000000
5 3 5 3 0.0500942
5 3 5 4 -0.0122754
5 3 5 5 0.0031437
5 4 0 0 -0.0134064
5 4 1 0 0.0015025
5 4 1 1 -0.0015155
