NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.051131
ENERGIES
-10.820149
-0.474177
-0.419497
-0.224670
0.593446
0.811039
0.931023
849736.596695
965066.605927
996478.321258
1070621.217492
1118093.725609

OEI
-18.381331	
-0.273137	-4.281631	
-0.000000	-0.000000	-3.738043	
-0.101288	-0.144558	0.000000	-4.062777	
-0.268476	-0.192436	0.000000	-0.481600	-3.043723	
0.000000	0.000000	0.850924	0.000000	-0.000000	-3.635856	
-0.197801	-0.797488	-0.000000	0.430080	0.097362	-0.000000	-3.142214	
0.104910	-0.068005	0.000000	-0.108873	0.459381	-0.000000	0.065013	849733.054304	
-0.000000	0.000000	0.073839	-0.000000	-0.000000	-0.118065	-0.000000	0.000000	965063.938904	
-0.005118	0.021189	-0.000000	-0.004812	-0.002474	0.000000	0.016937	0.002812	-0.000000	996475.330977	
-0.035740	0.190679	0.000000	-0.043577	-0.105508	0.000000	-0.173417	0.193963	0.000000	0.124445	1070618.848023	
0.101380	-0.080908	0.000000	-0.214581	0.459882	-0.000000	0.024794	-0.962198	-0.000000	0.034466	0.333500	1118090.065315	

ENV_OEI
-4.909537	
-0.511415	-0.592268	
-0.000000	-0.000000	-0.119353	
-0.201795	0.089953	0.000000	-0.395147	
-0.473658	-0.097547	0.000000	-0.121414	-0.170018	
0.000000	0.000000	0.195606	0.000000	-0.000000	-0.331929	
-0.387999	0.140049	0.000000	-0.217337	-0.005712	0.000000	-1.051190	
0.225031	-0.015548	0.000000	-0.065007	0.070149	-0.000000	-0.010178	-0.550540	
0.000000	0.000000	-0.062086	-0.000000	0.000000	0.034456	0.000000	-0.000000	-0.707323	
0.018179	0.469612	0.000000	-0.452135	0.056299	0.000000	-1.472209	0.127272	-0.000000	-18.530838	
-0.055585	-0.045042	-0.000000	0.011560	-0.021480	-0.000000	0.082849	-0.236503	-0.000000	1.671668	-0.764427	
0.213745	-0.015156	0.000000	0.000601	0.082084	-0.000000	0.048795	0.139879	-0.000000	0.177299	0.100931	-0.375271	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.005362	0.005362	1.000000	
0.027047	0.301519	0.096511	0.096511	0.248362	1.000000	
0.000000	0.000000	0.259000	0.259000	-0.015125	-0.113119	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	0.073326	0.073326	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.064594	0.064594	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	-0.051506	0.051506	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.093323	0.093323	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996522	-0.018362	0.008893	0.008893	-0.001625	0.008224	0.020529	-0.000000	0.002203	-0.002508	0.000000	0.003782	
-0.180098	0.560528	0.057295	0.057295	-0.045504	0.079824	-0.453512	0.000000	-0.196492	0.180922	-0.000000	0.340671	
0.000000	0.000000	-0.526180	0.526180	-0.000000	0.000000	0.000000	0.445783	-0.000000	0.000000	-0.128396	0.000000	
-0.072385	0.207011	0.261407	0.261407	0.041409	-0.116234	-0.391811	0.000000	0.688824	-0.016165	-0.000000	-0.297865	
-0.157665	1.043195	-0.922368	-0.922368	-0.004748	0.038499	0.404741	-0.000000	0.399763	0.015974	0.000000	0.004462	
0.000000	-0.000000	-0.803165	0.803165	-0.000000	0.000000	-0.000000	-1.170171	-0.000000	0.000000	0.112019	0.000000	
-0.137763	0.825277	-0.090362	-0.090362	0.130075	-0.779728	-0.233832	-0.000000	-0.825464	-0.324396	0.000000	-0.904681	
0.084288	-0.388041	0.000000	0.000000	-0.012325	0.049401	-0.608823	-0.000000	0.000000	0.744812	0.000000	-0.291146	
0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.000000	-0.000000	
-0.000565	0.002599	0.000000	0.000000	1.025611	-0.216380	0.004077	-0.000000	-0.000000	0.053739	0.000000	0.092871	
-0.018947	0.087226	-0.000000	-0.000000	-0.019715	-0.850780	0.136854	0.000000	0.000000	0.334096	-0.000000	0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229166	-0.589676	-0.000000	-0.000000	-0.509850	-0.000000	0.308002	

ERI
0 0 0 0 3.5227355
1 0 0 0 0.2373365
1 0 1 0 0.0312011
1 0 1 1 -0.0059684
1 1 0 0 0.7302648
1 1 1 0 -0.0059684
1 1 1 1 0.6495797
2 0 0 0 0.0000000
2 0 1 0 0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0054845
2 0 2 1 -0.0056002
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 -0.0000000
2 1 1 1 0.0000000
2 1 2 0 -0.0056002
2 1 2 1 0.0327836
2 1 2 2 -0.0000000
2 2 0 0 0.5764830
2 2 1 0 0.0062652
2 2 1 1 0.4075972
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5277776
3 0 0 0 0.0924823
3 0 1 0 0.0104145
3 0 1 1 0.0046425
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 0.0021589
3 0 3 0 0.0175491
3 0 3 1 -0.0132975
3 0 3 2 0.0000000
3 0 3 3 -0.0070705
3 1 0 0 0.0598793
3 1 1 0 0.0011704
3 1 1 1 -0.0274764
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0248000
3 1 3 0 -0.0132975
3 1 3 1 0.0865524
3 1 3 2 0.0000000
3 1 3 3 0.0402695
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0034439
3 2 2 1 0.0271793
3 2 2 2 -0.0000000
3 2 3 0 0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0501176
3 2 3 3 0.0000000
3 3 0 0 0.7395928
3 3 1 0 0.0051704
3 3 1 1 0.5163436
3 3 2 0 0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4554966
3 3 3 0 -0.0070705
3 3 3 1 0.0402695
3 3 3 2 0.0000000
3 3 3 3 0.5694599
4 0 0 0 0.2146566
4 0 1 0 0.0178536
4 0 1 1 0.0176848
4 0 2 0 -0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0000643
4 0 3 0 0.0121719
4 0 3 1 -0.0016407
4 0 3 2 0.0000000
4 0 3 3 0.0041576
4 0 4 0 0.0250158
4 0 4 1 0.0026227
4 0 4 2 -0.0000000
4 0 4 3 0.0002328
4 0 4 4 -0.0019343
4 1 0 0 0.0645859
4 1 1 0 0.0016278
4 1 1 1 0.0252162
4 1 2 0 0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0026473
4 1 3 0 -0.0022820
4 1 3 1 0.0141464
4 1 3 2 -0.0000000
4 1 3 3 0.0327790
4 1 4 0 0.0026227
4 1 4 1 0.0100923
4 1 4 2 -0.0000000
4 1 4 3 0.0218607
4 1 4 4 -0.0028429
4 2 0 0 -0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0015024
4 2 2 1 -0.0298191
4 2 2 2 0.0000000
4 2 3 0 0.0000000
4 2 3 1 -0.0000000
4 2 3 2 -0.0549632
4 2 3 3 -0.0000000
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.1249647
4 2 4 3 -0.0000000
4 2 4 4 0.0000000
4 3 0 0 0.1392740
4 3 1 0 0.0028141
4 3 1 1 0.0526562
4 3 2 0 0.0000000
4 3 2 1 -0.0000000
4 3 2 2 -0.0076591
4 3 3 0 -0.0103888
4 3 3 1 0.0341810
4 3 3 2 -0.0000000
4 3 3 3 0.0844130
4 3 4 0 0.0002328
4 3 4 1 0.0218607
4 3 4 2 -0.0000000
4 3 4 3 0.0683553
4 3 4 4 0.0010542
4 4 0 0 0.5962054
4 4 1 0 0.0132883
4 4 1 1 0.3675058
4 4 2 0 0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.5118726
4 4 3 0 -0.0014657
4 4 3 1 0.0373415
4 4 3 2 -0.0000000
4 4 3 3 0.4572146
4 4 4 0 -0.0019343
4 4 4 1 -0.0028429
4 4 4 2 0.0000000
4 4 4 3 0.0010542
4 4 4 4 0.5405025
5 0 0 0 -0.0000000
5 0 1 0 -0.0000000
5 0 1 1 -0.0000000
5 0 2 0 -0.0112920
5 0 2 1 0.0123585
5 0 2 2 -0.0000000
5 0 3 0 -0.0000000
5 0 3 1 0.0000000
5 0 3 2 0.0090542
5 0 3 3 0.0000000
5 0 4 0 0.0000000
5 0 4 1 -0.0000000
5 0 4 2 -0.0018247
5 0 4 3 -0.0000000
5 0 4 4 -0.0000000
5 0 5 0 0.0235181
5 0 5 1 -0.0173544
5 0 5 2 0.0000000
5 0 5 3 -0.0055099
5 0 5 4 -0.0152542
5 0 5 5 0.0000000
5 1 0 0 -0.0000000
5 1 1 0 -0.0000000
5 1 1 1 -0.0000000
5 1 2 0 0.0085635
5 1 2 1 -0.0354965
5 1 2 2 -0.0000000
5 1 3 0 0.0000000
5 1 3 1 -0.0000000
5 1 3 2 -0.0174034
5 1 3 3 -0.0000000
5 1 4 0 -0.0000000
5 1 4 1 0.0000000
5 1 4 2 0.0002799
5 1 4 3 0.0000000
5 1 4 4 -0.0000000
5 1 5 0 -0.0173544
5 1 5 1 0.0526119
5 1 5 2 0.0000000
5 1 5 3 0.0153846
5 1 5 4 0.0202962
5 1 5 5 -0.0000000
5 2 0 0 -0.2348477
5 2 1 0 -0.0012725
5 2 1 1 -0.1217950
5 2 2 0 -0.0000000
5 2 2 1 -0.0000000
5 2 2 2 -0.0079017
5 2 3 0 0.0002192
5 2 3 1 -0.0084006
5 2 3 2 0.0000000
5 2 3 3 -0.0900615
5 2 4 0 -0.0066107
5 2 4 1 -0.0230919
5 2 4 2 0.0000000
5 2 4 3 -0.0582416
5 2 4 4 0.0246867
5 2 5 0 0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.1108082
5 2 5 3 0.0000000
5 2 5 4 -0.0000000
5 2 5 5 -0.0768397
5 3 0 0 -0.0000000
5 3 1 0 -0.0000000
5 3 1 1 -0.0000000
5 3 2 0 0.0034136
5 3 2 1 -0.0032616
5 3 2 2 -0.0000000
5 3 3 0 0.0000000
5 3 3 1 -0.0000000
5 3 3 2 -0.0035975
5 3 3 3 -0.0000000
5 3 4 0 -0.0000000
5 3 4 1 -0.0000000
5 3 4 2 -0.0373526
5 3 4 3 -0.0000000
5 3 4 4 0.0000000
5 3 5 0 -0.0055099
5 3 5 1 0.0153846
5 3 5 2 0.0000000
5 3 5 3 0.0326777
5 3 5 4 -0.0166178
5 3 5 5 -0.0000000
5 4 0 0 0.0000000
5 4 1 0 -0.0000000
5 4 1 1 0.0000000
5 4 2 0 0.0056563
5 4 2 1 -0.0397271
5 4 2 2 0.0000000
5 4 3 0 0.0000000
5 4 3 1 -0.0000000
5 4 3 2 -0.0657462
5 4 3 3 -0.0000000
5 4 4 0 -0.0000000
5 4 4 1 0.0000000
5 4 4 2 0.1045058
5 4 4 3 0.0000000
5 4 4 4 0.0000000
5 4 5 0 -0.0152542
5 4 5 1 0.0202962
5 4 5 2 -0.0000000
5 4 5 3 -0.0166178
5 4 5 4 0.1154076
5 4 5 5 -0.0000000
5 5 0 0 0.7928606
5 5 1 0 0.0068495
5 5 1 1 0.5043592
5 5 2 0 -0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.5203372
5 5 3 0 0.0022831
5 5 3 1 0.0332481
5 5 3 2 0.0000000
5 5 3 3 0.5156986
5 5 4 0 0.0086656
5 5 4 1 0.0154812
5 5 4 2 -0.0000000
5 5 4 3 0.0297814
5 5 4 4 0.5006297
5 5 5 0 0.0000000
5 5 5 1 -0.0000000
5 5 5 2 -0.0768397
5 5 5 3 -0.0000000
5 5 5 4 -0.0000000
5 5 5 5 0.5879007
6 0 0 0 0.1798893
6 0 1 0 0.0251002
6 0 1 1 -0.0085245
6 0 2 0 0.0000000
6 0 2 1 -0.0000000
6 0 2 2 0.0043535
6 0 3 0 -0.0016244
6 0 3 1 0.0099199
6 0 3 2 0.0000000
6 0 3 3 0.0096788
6 0 4 0 0.0101086
6 0 4 1 0.0031708
6 0 4 2 -0.0000000
6 0 4 3 0.0098958
6 0 4 4 0.0140359
6 0 5 0 -0.0000000
6 0 5 1 -0.0000000
6 0 5 2 -0.0010934
6 0 5 3 -0.0000000
6 0 5 4 -0.0000000
6 0 5 5 0.0046690
6 0 6 0 0.0273695
6 0 6 1 -0.0031211
6 0 6 2 0.0000000
6 0 6 3 -0.0030732
6 0 6 4 -0.0031640
6 0 6 5 0.0000000
6 0 6 6 -0.0083860
6 1 0 0 0.2358148
6 1 1 0 0.0000855
6 1 1 1 0.0703062
6 1 2 0 0.0000000
6 1 2 1 -0.0000000
6 1 2 2 0.0667339
6 1 3 0 0.0051045
6 1 3 1 0.0398442
6 1 3 2 0.0000000
6 1 3 3 0.0689988
6 1 4 0 0.0102598
6 1 4 1 0.0089901
6 1 4 2 -0.0000000
6 1 4 3 0.0160628
6 1 4 4 0.0567559
6 1 5 0 -0.0000000
6 1 5 1 -0.0000000
6 1 5 2 -0.0412947
6 1 5 3 -0.0000000
6 1 5 4 0.0000000
6 1 5 5 0.1054474
6 1 6 0 -0.0031211
6 1 6 1 0.1132491
6 1 6 2 0.0000000
6 1 6 3 -0.0580617
6 1 6 4 0.0001590
6 1 6 5 0.0000000
6 1 6 6 -0.0039381
6 2 0 0 0.0000000
6 2 1 0 0.0000000
6 2 1 1 -0.0000000
6 2 2 0 -0.0034314
6 2 2 1 0.0133895
6 2 2 2 0.0000000
6 2 3 0 0.0000000
6 2 3 1 0.0000000
6 2 3 2 -0.0009572
6 2 3 3 0.0000000
6 2 4 0 0.0000000
6 2 4 1 -0.0000000
6 2 4 2 0.0015316
6 2 4 3 -0.0000000
6 2 4 4 0.0000000
6 2 5 0 0.0067941
6 2 5 1 -0.0199853
6 2 5 2 0.0000000
6 2 5 3 -0.0010723
6 2 5 4 -0.0023638
6 2 5 5 0.0000000
6 2 6 0 0.0000000
6 2 6 1 0.0000000
6 2 6 2 0.0120536
6 2 6 3 -0.0000000
6 2 6 4 -0.0000000
6 2 6 5 -0.0161703
6 2 6 6 -0.0000000
6 3 0 0 -0.1282972
6 3 1 0 -0.0055420
6 3 1 1 0.0120145
6 3 2 0 0.0000000
6 3 2 1 0.0000000
6 3 2 2 -0.0540211
6 3 3 0 -0.0035501
6 3 3 1 -0.0225761
6 3 3 2 -0.0000000
6 3 3 3 -0.0522100
6 3 4 0 0.0003709
6 3 4 1 -0.0030543
6 3 4 2 0.0000000
6 3 4 3 -0.0130683
6 3 4 4 -0.0653108
6 3 5 0 0.0000000
6 3 5 1 0.0000000
6 3 5 2 0.0069316
6 3 5 3 0.0000000
6 3 5 4 -0.0000000
6 3 5 5 -0.0564841
6 3 6 0 -0.0030732
6 3 6 1 -0.0580617
6 3 6 2 -0.0000000
6 3 6 3 0.0648658
6 3 6 4 0.0053840
6 3 6 5 -0.0000000
6 3 6 6 0.0327201
6 4 0 0 -0.0188449
6 4 1 0 -0.0001076
6 4 1 1 -0.0046708
6 4 2 0 0.0000000
6 4 2 1 -0.0000000
6 4 2 2 -0.0011655
6 4 3 0 0.0044642
6 4 3 1 -0.0076207
6 4 3 2 -0.0000000
6 4 3 3 -0.0202190
6 4 4 0 0.0026197
6 4 4 1 -0.0030559
6 4 4 2 0.0000000
6 4 4 3 -0.0187096
6 4 4 4 -0.0081517
6 4 5 0 -0.0000000
6 4 5 1 0.0000000
6 4 5 2 0.0088037
6 4 5 3 0.0000000
6 4 5 4 0.0000000
6 4 5 5 -0.0041912
6 4 6 0 -0.0031640
6 4 6 1 0.0001590
6 4 6 2 -0.0000000
6 4 6 3 0.0053840
6 4 6 4 0.0083831
6 4 6 5 0.0000000
6 4 6 6 -0.0041940
6 5 0 0 0.0000000
6 5 1 0 0.0000000
6 5 1 1 -0.0000000
6 5 2 0 0.0060872
6 5 2 1 -0.0257960
6 5 2 2 0.0000000
6 5 3 0 -0.0000000
6 5 3 1 0.0000000
6 5 3 2 -0.0122437
6 5 3 3 0.0000000
6 5 4 0 -0.0000000
6 5 4 1 0.0000000
6 5 4 2 0.0162233
6 5 4 3 0.0000000
6 5 4 4 0.0000000
6 5 5 0 -0.0129381
6 5 5 1 0.0335587
6 5 5 2 -0.0000000
6 5 5 3 -0.0021230
6 5 5 4 0.0240157
6 5 5 5 0.0000000
6 5 6 0 0.0000000
6 5 6 1 0.0000000
6 5 6 2 -0.0161703
6 5 6 3 -0.0000000
6 5 6 4 0.0000000
6 5 6 5 0.0289978
6 5 6 6 -0.0000000
6 6 0 0 0.6859828
6 6 1 0 0.0003952
6 6 1 1 0.5958774
6 6 2 0 -0.0000000
6 6 2 1 0.0000000
6 6 2 2 0.3836826
6 6 3 0 0.0127045
6 6 3 1 -0.0801572
6 6 3 2 -0.0000000
6 6 3 3 0.4798450
6 6 4 0 0.0155353
6 6 4 1 0.0152536
6 6 4 2 -0.0000000
6 6 4 3 0.0331882
6 6 4 4 0.3506086
6 6 5 0 -0.0000000
6 6 5 1 0.0000000
6 6 5 2 -0.0996464
6 6 5 3 -0.0000000
6 6 5 4 0.0000000
6 6 5 5 0.4569567
6 6 6 0 -0.0083860
6 6 6 1 -0.0039381
6 6 6 2 -0.0000000
6 6 6 3 0.0327201
