NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.174814
ENERGIES
-10.838377
-0.503653
-0.438703
-0.245669
0.576147
0.790764
0.894469
849736.562482
965066.564654
996478.263795
1070621.178486
1118093.692394

OEI
-18.384409	
-0.268095	-4.285857	
0.000000	0.000000	-3.753774	
0.109213	0.154805	-0.000000	-4.074628	
-0.268166	-0.183176	0.000000	0.483448	-3.056147	
-0.000000	-0.000000	-0.849961	-0.000000	0.000000	-3.646613	
0.198894	0.803988	-0.000000	0.410372	-0.101439	-0.000000	-3.209514	
-0.104882	0.065880	0.000000	-0.111179	-0.458135	-0.000000	0.064528	849733.018411	
0.000000	-0.000000	-0.072918	-0.000000	0.000000	-0.117094	0.000000	-0.000000	965063.888402	
-0.005091	0.020926	0.000000	0.004074	-0.002424	-0.000000	-0.017285	-0.002809	0.000000	996475.254633	
0.035662	-0.192753	0.000000	-0.040714	0.105802	0.000000	-0.170483	0.191910	0.000000	-0.126058	1070618.800222	
0.101343	-0.075732	0.000000	0.216515	0.458600	0.000000	-0.025636	0.953862	0.000000	0.034704	-0.331593	1118090.032157	

ENV_OEI
-4.912602	
-0.501513	-0.629023	
0.000000	0.000000	-0.133176	
0.217758	-0.098866	0.000000	-0.412552	
-0.474583	-0.093324	0.000000	0.122783	-0.181850	
-0.000000	0.000000	-0.195103	0.000000	0.000000	-0.344594	
0.389059	-0.162796	-0.000000	-0.231683	0.008476	0.000000	-1.081012	
-0.225594	0.014853	-0.000000	-0.068030	-0.067056	-0.000000	-0.007839	-0.586433	
-0.000000	0.000000	0.064831	0.000000	-0.000000	0.036205	0.000000	-0.000000	-0.757825	
0.018318	0.496465	-0.000000	0.459052	0.051793	-0.000000	1.462021	-0.127571	0.000000	-18.607183	
0.055594	0.046935	-0.000000	0.011966	0.020459	-0.000000	0.081251	-0.236433	-0.000000	-1.677411	-0.812228	
