NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-37.063188
ENERGIES
-11.179210
-0.899449
-0.692365
-0.651237
0.540840
0.570681
0.625109
1000000.359964

OEI
-18.632410	
0.261214	-4.605419	
0.000000	-0.000000	-4.307237	
0.007095	-0.017305	0.000000	-4.243920	
0.000000	-0.000000	0.815266	0.000000	-3.622965	
-0.034385	0.108808	0.000000	-0.805465	0.000000	-3.623234	
0.307658	-0.929437	-0.000000	-0.101196	-0.000000	0.013014	-3.537212	
-0.160491	-0.150402	-0.000000	-0.002161	0.000000	0.001994	-0.000497	999995.896356	

ENV_OEI
-5.020274	
0.504534	-0.421175	
0.000000	0.000000	-0.385206	
0.014550	-0.000598	-0.000000	-0.340994	
0.000000	-0.000000	0.191593	0.000000	-0.425277	
-0.070578	0.019689	0.000000	-0.174947	-0.000000	-0.405161	
0.642362	-0.248960	-0.000000	-0.032169	-0.000000	0.017015	-0.472428	
-0.304582	0.022045	-0.000000	0.000301	0.000000	0.004650	0.047272	-0.583114	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.996698	0.016751	-0.006493	-0.006479	-0.006493	-0.027019	-0.000000	-0.000006	
-0.175552	0.464344	0.253201	0.228137	0.253201	-0.384756	-0.000000	-0.001733	
-0.000000	0.000000	-0.391036	0.000000	0.391036	-0.000000	-0.615709	0.000000	
-0.005237	0.021438	-0.236079	0.464344	-0.236079	-0.011671	0.000000	0.598990	
-0.000000	0.000000	-0.876665	0.000000	0.876665	-0.000000	1.074459	-0.000000	
0.024273	-0.147144	0.574072	-0.925111	0.574072	0.055373	0.000000	1.078791	
-0.222832	1.400216	-0.693242	-0.853199	-0.693242	-0.509804	-0.000000	0.104771	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	0.000000	0.000000	

ERI
0 0 0 0 3.5239070
1 0 0 0 -0.2321033
1 0 1 0 0.0280536
1 0 1 1 0.0030285
1 1 0 0 0.6876312
1 1 1 0 0.0030285
1 1 1 1 0.5645908
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0093907
2 0 2 1 0.0124172
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0124172
2 1 2 1 0.1146613
2 1 2 2 0.0000000
2 2 0 0 0.6539610
2 2 1 0 -0.0020185
2 2 1 1 0.5076566
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5432459
3 0 0 0 -0.0068949
3 0 1 0 0.0007788
3 0 1 1 -0.0002529
3 0 2 0 -0.0000000
3 0 2 1 -0.0000000
3 0 2 2 -0.0027583
3 0 3 0 0.0090068
3 0 3 1 0.0119235
3 0 3 2 0.0000000
3 0 3 3 0.0032589
3 1 0 0 0.0054382
3 1 1 0 -0.0000504
3 1 1 1 -0.0016028
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 -0.0450444
3 1 3 0 0.0119235
3 1 3 1 0.1099700
3 1 3 2 0.0000000
3 1 3 3 0.0523737
3 2 0 0 -0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 -0.0025129
3 2 2 1 -0.0465251
3 2 2 2 -0.0000000
3 2 3 0 0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0408872
3 2 3 3 0.0000000
3 3 0 0 0.6462795
3 3 1 0 -0.0018806
3 3 1 1 0.5017444
3 3 2 0 0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4566649
3 3 3 0 0.0032589
3 3 3 1 0.0523737
3 3 3 2 0.0000000
3 3 3 3 0.5431699
4 0 0 0 -0.0000000
4 0 1 0 0.0000000
4 0 1 1 0.0000000
4 0 2 0 -0.0132426
4 0 2 1 -0.0159773
4 0 2 2 0.0000000
4 0 3 0 -0.0000000
4 0 3 1 -0.0000000
4 0 3 2 0.0029496
4 0 3 3 -0.0000000
4 0 4 0 0.0187742
4 0 4 1 0.0081820
4 0 4 2 0.0000000
4 0 4 3 0.0043874
4 0 4 4 0.0000000
4 1 0 0 0.0000000
4 1 1 0 -0.0000000
4 1 1 1 0.0000000
4 1 2 0 -0.0062034
4 1 2 1 0.0135500
4 1 2 2 -0.0000000
4 1 3 0 -0.0000000
4 1 3 1 0.0000000
4 1 3 2 -0.0271820
4 1 3 3 0.0000000
4 1 4 0 0.0081820
4 1 4 1 0.0445512
4 1 4 2 -0.0000000
4 1 4 3 -0.0160565
4 1 4 4 -0.0000000
