NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-37.063761
ENERGIES
-11.179283
-0.899498
-0.692418
-0.651288
0.540786
0.570627
0.625062
1000000.359895

OEI
-18.632519	
-0.261217	-4.605490	
0.000000	-0.000000	-4.307321	
-0.007096	-0.017306	-0.000000	-4.244002	
-0.000000	-0.000000	-0.815274	0.000000	-3.623005	
0.034387	0.108816	-0.000000	-0.805473	0.000000	-3.623273	
0.307656	0.929442	-0.000000	0.101203	-0.000000	-0.013016	-3.537252	
-0.160492	0.150402	-0.000000	0.002161	-0.000000	-0.001994	-0.000495	999995.896270	

ENV_OEI
-5.020384	
-0.504541	-0.421236	
0.000000	-0.000000	-0.385273	
-0.014551	-0.000598	0.000000	-0.341058	
-0.000000	-0.000000	-0.191612	0.000000	-0.425334	
0.070582	0.019692	-0.000000	-0.174966	0.000000	-0.405217	
0.642360	0.248974	-0.000000	0.032173	0.000000	-0.017017	-0.472479	
-0.304580	-0.022047	-0.000000	-0.000301	-0.000000	-0.004650	0.047276	-0.583200	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996698	-0.016751	0.006493	0.006479	0.006493	0.027019	-0.000000	0.000006	
-0.175554	0.464354	0.253196	0.228131	0.253196	-0.384760	0.000000	-0.001734	
0.000000	-0.000000	0.391024	0.000000	-0.391024	0.000000	0.615723	-0.000000	
-0.005238	0.021440	-0.236072	0.464329	-0.236072	-0.011672	0.000000	0.599006	
-0.000000	0.000000	-0.876671	-0.000000	0.876671	-0.000000	1.074451	-0.000000	
0.024274	-0.147152	0.574080	-0.925112	0.574080	0.055376	0.000000	1.078782	
0.222830	-1.400212	0.693240	0.853207	0.693240	0.509800	0.000000	-0.104776	
-0.117784	0.542251	-0.000000	0.000000	-0.000000	0.850774	-0.000000	-0.000000	

ERI
0 0 0 0 3.5239073
1 0 0 0 0.2321052
1 0 1 0 0.0280541
1 0 1 1 -0.0030285
1 1 0 0 0.6876354
1 1 1 0 -0.0030285
1 1 1 1 0.5645941
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0093911
2 0 2 1 -0.0124175
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 -0.0124175
2 1 2 1 0.1146607
2 1 2 2 0.0000000
2 2 0 0 0.6539681
2 2 1 0 0.0020187
2 2 1 1 0.5076592
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5432484
3 0 0 0 0.0068955
3 0 1 0 0.0007789
3 0 1 1 0.0002529
3 0 2 0 0.0000000
3 0 2 1 -0.0000000
3 0 2 2 0.0027582
3 0 3 0 0.0090071
3 0 3 1 -0.0119238
3 0 3 2 0.0000000
3 0 3 3 -0.0032589
3 1 0 0 0.0054385
3 1 1 0 0.0000504
3 1 1 1 -0.0016029
3 1 2 0 -0.0000000
3 1 2 1 0.0000000
3 1 2 2 -0.0450424
3 1 3 0 -0.0119238
3 1 3 1 0.1099691
3 1 3 2 -0.0000000
3 1 3 3 0.0523722
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0025128
3 2 2 1 -0.0465231
3 2 2 2 -0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0408863
3 2 3 3 0.0000000
3 3 0 0 0.6462868
3 3 1 0 0.0018808
3 3 1 1 0.5017467
3 3 2 0 0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4566690
3 3 3 0 -0.0032589
3 3 3 1 0.0523722
3 3 3 2 0.0000000
3 3 3 3 0.5431725
4 0 0 0 0.0000000
4 0 1 0 0.0000000
4 0 1 1 -0.0000000
4 0 2 0 0.0132428
4 0 2 1 -0.0159773
4 0 2 2 0.0000000
4 0 3 0 -0.0000000
4 0 3 1 0.0000000
4 0 3 2 0.0029494
4 0 3 3 0.0000000
4 0 4 0 0.0187739
4 0 4 1 -0.0081818
4 0 4 2 0.0000000
4 0 4 3 -0.0043874
4 0 4 4 -0.0000000
4 1 0 0 0.0000000
4 1 1 0 0.0000000
4 1 1 1 0.0000000
4 1 2 0 -0.0062034
4 1 2 1 -0.0135500
4 1 2 2 0.0000000
4 1 3 0 0.0000000
4 1 3 1 0.0000000
4 1 3 2 0.0271819
4 1 3 3 0.0000000
