NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-37.063848
ENERGIES
-11.179295
-0.899505
-0.692426
-0.651295
0.540777
0.570619
0.625054
1000000.359885

OEI
-18.632536	
0.261217	-4.605501	
-0.000000	-0.000000	-4.307334	
0.007096	-0.017306	-0.000000	-4.244015	
-0.000000	0.000000	0.815275	-0.000000	-3.623011	
0.034387	-0.108817	0.000000	0.805474	0.000000	-3.623278	
0.307656	-0.929442	0.000000	-0.101204	-0.000000	-0.013017	-3.537258	
0.160492	0.150402	-0.000000	0.002161	0.000000	0.001994	0.000495	999995.896256	

ENV_OEI
-5.020400	
0.504542	-0.421245	
-0.000000	-0.000000	-0.385283	
0.014551	-0.000598	-0.000000	-0.341068	
-0.000000	0.000000	0.191615	-0.000000	-0.425342	
0.070582	-0.019693	0.000000	0.174968	0.000000	-0.405226	
0.642360	-0.248976	0.000000	-0.032174	0.000000	-0.017017	-0.472487	
0.304579	-0.022048	-0.000000	-0.000301	0.000000	0.004650	-0.047277	-0.583214	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
-0.996698	-0.016751	0.006493	0.006479	0.006493	0.027019	0.000000	0.000006	
0.175554	-0.464356	-0.253196	-0.228129	-0.253196	0.384760	0.000000	0.001734	
-0.000000	0.000000	0.391022	0.000000	-0.391022	-0.000000	0.615726	0.000000	
0.005238	-0.021440	0.236071	-0.464327	0.236071	0.011672	0.000000	-0.599008	
-0.000000	0.000000	0.876672	0.000000	-0.876672	-0.000000	-1.074449	-0.000000	
0.024274	-0.147154	0.574081	-0.925112	0.574081	0.055377	-0.000000	1.078781	
0.222830	-1.400211	0.693240	0.853208	0.693240	0.509800	-0.000000	-0.104776	
0.117784	-0.542251	0.000000	-0.000000	0.000000	-0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.5239073
1 0 0 0 -0.2321055
1 0 1 0 0.0280542
1 0 1 1 0.0030285
1 1 0 0 0.6876360
1 1 1 0 0.0030285
1 1 1 1 0.5645946
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0093911
2 0 2 1 0.0124176
2 0 2 2 -0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0124176
2 1 2 1 0.1146607
2 1 2 2 0.0000000
2 2 0 0 0.6539692
2 2 1 0 -0.0020187
2 2 1 1 0.5076596
2 2 2 0 -0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5432488
3 0 0 0 -0.0068956
3 0 1 0 0.0007789
3 0 1 1 -0.0002529
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0027582
3 0 3 0 0.0090072
3 0 3 1 0.0119239
3 0 3 2 -0.0000000
3 0 3 3 0.0032589
3 1 0 0 0.0054386
3 1 1 0 -0.0000504
3 1 1 1 -0.0016030
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0450420
3 1 3 0 0.0119239
3 1 3 1 0.1099690
3 1 3 2 -0.0000000
3 1 3 3 0.0523720
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0025128
3 2 2 1 -0.0465227
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0408861
3 2 3 3 -0.0000000
3 3 0 0 0.6462879
3 3 1 0 -0.0018808
3 3 1 1 0.5017471
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4566696
3 3 3 0 0.0032589
3 3 3 1 0.0523720
3 3 3 2 -0.0000000
3 3 3 3 0.5431729
4 0 0 0 0.0000000
4 0 1 0 -0.0000000
4 0 1 1 -0.0000000
4 0 2 0 -0.0132428
4 0 2 1 -0.0159773
4 0 2 2 0.0000000
4 0 3 0 0.0000000
4 0 3 1 0.0000000
4 0 3 2 0.0029494
4 0 3 3 0.0000000
4 0 4 0 0.0187738
4 0 4 1 0.0081817
4 0 4 2 -0.0000000
4 0 4 3 0.0043874
4 0 4 4 -0.0000000
4 1 0 0 -0.0000000
4 1 1 0 0.0000000
4 1 1 1 -0.0000000
4 1 2 0 -0.0062034
4 1 2 1 0.0135500
4 1 2 2 -0.0000000
4 1 3 0 0.0000000
4 1 3 1 -0.0000000
4 1 3 2 -0.0271819
4 1 3 3 -0.0000000
4 1 4 0 0.0081817
4 1 4 1 0.0445513
4 1 4 2 0.0000000
4 1 4 3 -0.0160567
4 1 4 4 0.0000000
4 2 0 0 -0.2538335
4 2 1 0 0.0059658
4 2 1 1 -0.0502982
4 2 2 0 -0.0000000
4 2 2 1 0.0000000
4 2 2 2 -0.0442090
4 2 3 0 -0.0026374
4 2 3 1 -0.0482225
4 2 3 2 -0.0000000
4 2 3 3 -0.0736216
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.1216478
4 2 4 3 -0.0000000
4 2 4 4 -0.0437009
4 3 0 0 0.0000000
4 3 1 0 -0.0000000
4 3 1 1 -0.0000000
4 3 2 0 -0.0030916
4 3 2 1 -0.0490686
4 3 2 2 0.0000000
4 3 3 0 -0.0000000
4 3 3 1 -0.0000000
4 3 3 2 0.0152525
4 3 3 3 0.0000000
4 3 4 0 0.0043874
4 3 4 1 -0.0160567
4 3 4 2 -0.0000000
4 3 4 3 0.0366099
4 3 4 4 -0.0000000
4 4 0 0 0.7099766
4 4 1 0 -0.0062915
4 4 1 1 0.4946756
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.5305389
4 4 3 0 -0.0000093
4 4 3 1 -0.0342182
4 4 3 2 -0.0000000
4 4 3 3 0.4574946
4 4 4 0 -0.0000000
4 4 4 1 0.0000000
4 4 4 2 -0.0437009
4 4 4 3 -0.0000000
4 4 4 4 0.5467933
5 0 0 0 -0.0316948
5 0 1 0 0.0038868
5 0 1 1 0.0006384
5 0 2 0 -0.0000000
5 0 2 1 -0.0000000
5 0 2 2 0.0029835
5 0 3 0 -0.0129180
5 0 3 1 -0.0157689
5 0 3 2 0.0000000
5 0 3 3 -0.0043691
5 0 4 0 -0.0000000
5 0 4 1 0.0000000
5 0 4 2 0.0048564
5 0 4 3 0.0000000
5 0 4 4 -0.0013341
5 0 5 0 0.0195270
5 0 5 1 0.0085692
5 0 5 2 0.0000000
5 0 5 3 -0.0039101
5 0 5 4 -0.0000000
5 0 5 5 0.0033164
5 1 0 0 0.0326037
5 1 1 0 -0.0000640
5 1 1 1 0.0113919
5 1 2 0 -0.0000000
5 1 2 1 -0.0000000
5 1 2 2 -0.0169843
5 1 3 0 -0.0063420
5 1 3 1 0.0092397
5 1 3 2 -0.0000000
5 1 3 3 0.0323208
5 1 4 0 0.0000000
5 1 4 1 -0.0000000
5 1 4 2 -0.0226305
5 1 4 3 0.0000000
5 1 4 4 -0.0246435
5 1 5 0 0.0085692
5 1 5 1 0.0432055
5 1 5 2 -0.0000000
5 1 5 3 0.0012691
5 1 5 4 -0.0000000
5 1 5 5 0.0348946
5 2 0 0 -0.0000000
5 2 1 0 0.0000000
5 2 1 1 -0.0000000
5 2 2 0 -0.0021020
5 2 2 1 -0.0482377
5 2 2 2 0.0000000
5 2 3 0 -0.0000000
5 2 3 1 -0.0000000
5 2 3 2 0.0165461
5 2 3 3 -0.0000000
5 2 4 0 0.0031075
5 2 4 1 -0.0200282
5 2 4 2 0.0000000
5 2 4 3 0.0345403
