NMONOMER	1
NELEC	8
ENUC	8.148059
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-20.920266
ENERGIES
-6.676566
-0.071262
0.086204
0.093189
1.532755
1.547847
1.659070
1000001.306113

OEI
-13.271777	
-0.232023	-3.220183	
-0.000000	-0.000000	-3.012901	
-0.002120	-0.000087	-0.000000	-2.995844	
-0.000000	-0.000000	0.549688	0.000000	-2.776682	
-0.006032	-0.010816	-0.000000	0.538641	0.000000	-2.776774	
0.495133	0.714985	0.000000	0.011920	0.000000	0.003879	-2.801434	
0.152315	-0.120692	-0.000000	-0.001019	-0.000000	-0.000161	0.032292	999997.187760	

ENV_OEI
0.352080	
-0.117800	0.542664	
-0.000000	-0.000000	0.544400	
-0.001086	0.002762	0.000000	0.544197	
-0.000000	0.000000	-0.171512	-0.000000	0.785737	
-0.003101	0.003490	0.000000	-0.182172	-0.000000	0.802950	
0.276961	-0.155583	-0.000000	-0.001206	0.000000	0.003598	0.674260	
0.118924	0.039647	0.000000	0.003660	0.000000	0.000801	-0.039364	0.708290	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.061767	0.488736	0.167856	0.167856	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.155576	1.000000	
0.000000	0.000000	0.380474	0.000000	-0.380474	0.000000	1.000000	
0.000000	0.000000	-0.219667	0.439334	-0.219667	0.000000	0.000000	1.000000	

MOCOEFF
0.974310	0.111790	-0.033903	-0.033945	-0.033903	-0.071754	-0.000000	0.000029	
0.142770	-0.079930	-0.430242	-0.436548	-0.430242	0.236511	-0.000000	-0.000981	
0.000000	0.000000	0.606866	-0.000000	-0.606866	0.000000	0.313008	-0.000000	
0.001250	-0.002630	-0.356800	0.709667	-0.356800	0.002141	0.000000	0.298625	
0.000000	-0.000000	0.743750	-0.000000	-0.743750	0.000000	-1.198159	0.000000	
0.003959	-0.017643	-0.417493	0.857920	-0.417493	0.007180	-0.000000	-1.201744	
-0.323753	1.476282	-0.664955	-0.648151	-0.664955	-0.592222	-0.000000	-0.013885	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	0.850774	-0.000000	0.000000	

ERI
0 0 0 0 3.3964690
1 0 0 0 0.2199247
1 0 1 0 0.0233715
1 0 1 1 -0.0021004
1 1 0 0 0.5611401
1 1 1 0 -0.0021004
1 1 1 1 0.4796162
2 0 0 0 0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0042673
2 0 2 1 -0.0075802
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 0.0000000
2 1 1 1 -0.0000000
2 1 2 0 -0.0075802
2 1 2 1 0.1391733
2 1 2 2 -0.0000000
2 2 0 0 0.5295251
2 2 1 0 -0.0001195
2 2 1 1 0.4620573
2 2 2 0 0.0000000
2 2 2 1 -0.0000000
2 2 2 2 0.5280596
3 0 0 0 0.0019207
3 0 1 0 0.0001857
3 0 1 1 0.0000630
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0030240
3 0 3 0 0.0040126
3 0 3 1 -0.0073311
3 0 3 2 -0.0000000
3 0 3 3 0.0029628
3 1 0 0 0.0006846
3 1 1 0 0.0000243
3 1 1 1 -0.0013573
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0895226
3 1 3 0 -0.0073311
3 1 3 1 0.1418359
3 1 3 2 0.0000000
3 1 3 3 -0.0892007
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 -0.0031893
3 2 2 1 0.0896503
3 2 2 2 0.0000000
3 2 3 0 -0.0000000
3 2 3 1 0.0000000
3 2 3 2 0.0660523
3 2 3 3 -0.0000000
3 3 0 0 0.5246983
3 3 1 0 -0.0002592
3 3 1 1 0.4636439
3 3 2 0 -0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.3987678
3 3 3 0 0.0029628
3 3 3 1 -0.0892007
3 3 3 2 -0.0000000
3 3 3 3 0.5270087
4 0 0 0 0.0000000
4 0 1 0 0.0000000
4 0 1 1 -0.0000000
4 0 2 0 -0.0108301
4 0 2 1 0.0185336
4 0 2 2 -0.0000000
4 0 3 0 -0.0000000
4 0 3 1 0.0000000
4 0 3 2 0.0084541
4 0 3 3 0.0000000
4 0 4 0 0.0285348
4 0 4 1 -0.0086828
4 0 4 2 -0.0000000
4 0 4 3 0.0044773
4 0 4 4 0.0000000
4 1 0 0 0.0000000
4 1 1 0 0.0000000
4 1 1 1 -0.0000000
4 1 2 0 0.0047036
4 1 2 1 0.0281695
4 1 2 2 -0.0000000
4 1 3 0 0.0000000
4 1 3 1 0.0000000
4 1 3 2 0.0301660
4 1 3 3 0.0000000
4 1 4 0 -0.0086828
4 1 4 1 0.0380728
4 1 4 2 -0.0000000
4 1 4 3 0.0141654
4 1 4 4 0.0000000
4 2 0 0 -0.2035325
4 2 1 0 -0.0050477
4 2 1 1 -0.0159401
4 2 2 0 0.0000000
4 2 2 1 -0.0000000
4 2 2 2 0.0122764
4 2 3 0 -0.0011706
4 2 3 1 0.0479743
4 2 3 2 0.0000000
4 2 3 3 -0.0392632
4 2 4 0 -0.0000000
4 2 4 1 -0.0000000
4 2 4 2 0.0926617
4 2 4 3 0.0000000
4 2 4 4 -0.0872439
4 3 0 0 -0.0000000
4 3 1 0 -0.0000000
4 3 1 1 -0.0000000
4 3 2 0 -0.0011216
4 3 2 1 0.0479453
4 3 2 2 -0.0000000
4 3 3 0 -0.0000000
4 3 3 1 0.0000000
4 3 3 2 0.0273891
4 3 3 3 0.0000000
4 3 4 0 0.0044773
4 3 4 1 0.0141654
4 3 4 2 0.0000000
4 3 4 3 0.0282167
4 3 4 4 -0.0000000
4 4 0 0 0.8313799
4 4 1 0 0.0121799
4 4 1 1 0.4710019
4 4 2 0 0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.5015529
4 4 3 0 0.0014062
4 4 3 1 0.0256887
4 4 3 2 0.0000000
4 4 3 3 0.4446197
4 4 4 0 0.0000000
4 4 4 1 0.0000000
4 4 4 2 -0.0872439
4 4 4 3 -0.0000000
4 4 4 4 0.6199545
5 0 0 0 0.0059505
5 0 1 0 0.0006628
5 0 1 1 -0.0001881
5 0 2 0 0.0000000
5 0 2 1 -0.0000000
5 0 2 2 0.0083456
5 0 3 0 -0.0105297
5 0 3 1 0.0186115
5 0 3 2 0.0000000
5 0 3 3 -0.0082032
5 0 4 0 -0.0000000
5 0 4 1 -0.0000000
5 0 4 2 0.0044617
