NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-22.390992
ENERGIES
-6.714161
-0.319964
0.090456
0.306238
1.034157
1.501239
1.586561
849736.814420
965066.535543
996478.245460
1070621.166552
1118093.924732

OEI
-13.416010	
0.156338	-3.689573	
-0.000000	0.000000	-3.236984	
0.242224	-0.002770	0.000000	-3.098951	
0.251658	-0.029932	-0.000000	-0.332888	-2.939514	
0.000000	-0.000000	-0.494586	-0.000000	0.000000	-2.795829	
0.382300	-0.608562	0.000000	-0.172746	0.108705	-0.000000	-3.213983	
-0.107679	-0.023281	-0.000000	-0.064570	-0.049448	0.000000	0.037892	849733.244071	
-0.000000	0.000000	0.073862	0.000000	-0.000000	0.015673	-0.000000	-0.000000	965063.381450	
-0.004708	-0.011085	0.000000	-0.002595	0.004847	-0.000000	-0.017684	-0.000799	0.000000	996474.483064	
0.034697	0.215985	-0.000000	-0.092256	0.105772	-0.000000	-0.058091	0.070771	0.000000	-0.180789	1070618.366692	
0.107041	0.020712	0.000000	0.119512	0.075756	-0.000000	-0.015218	0.522277	0.000000	0.043570	-0.244783	1118090.299672	

ENV_OEI
0.066137	
0.082262	-0.318499	
-0.000000	0.000000	0.234801	
0.114922	0.545055	-0.000000	-0.154432	
0.130159	-0.392772	0.000000	0.586208	0.135129	
0.000000	0.000000	0.242396	-0.000000	0.000000	0.492120	
0.212789	0.358780	-0.000000	-0.239507	0.135368	-0.000000	0.301798	
-0.089414	-0.013775	-0.000000	-0.048395	-0.041891	0.000000	0.063877	-0.375207	
0.000000	-0.000000	-0.316524	0.000000	0.000000	0.171984	-0.000000	-0.000000	-0.916283	
0.032722	-0.669121	0.000000	1.222194	-1.066888	0.000000	0.440701	-0.142323	-0.000000	-19.055669	
0.015277	-0.189604	0.000000	0.057015	-0.057405	0.000000	0.075266	-0.164357	0.000000	-1.737015	-1.004186	
0.078582	-0.046434	0.000000	-0.059707	-0.025299	-0.000000	-0.040073	-0.687730	-0.000000	0.170673	0.182832	-0.176373	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.975515	-0.101736	0.030779	0.030779	-0.002359	0.017491	0.069853	-0.000000	0.024226	-0.001326	-0.000000	0.015519	
0.098556	-0.001431	-0.289355	-0.289355	0.064579	-0.168147	0.166914	-0.000000	0.098770	-0.246527	0.000000	-0.544531	
-0.000000	0.000000	-0.611796	0.611796	-0.000000	0.000000	-0.000000	-0.400317	-0.000000	0.000000	0.394866	0.000000	
0.138166	-0.315452	-0.532773	-0.532773	-0.105487	0.588066	0.254984	0.000000	-0.354882	0.094456	-0.000000	0.610672	
0.135769	-0.538694	0.587109	0.587109	0.091288	-0.602054	0.251250	0.000000	-0.699516	-0.189878	-0.000000	-0.483553	
0.000000	-0.000000	0.849494	-0.849494	-0.000000	0.000000	0.000000	-1.179493	0.000000	0.000000	-0.259463	0.000000	
0.265646	-1.207928	0.590800	0.590800	-0.038503	0.286103	0.475929	0.000000	0.884288	0.180324	0.000000	0.402720	
-0.084288	0.388040	-0.000000	-0.000000	0.012325	-0.049402	0.608822	-0.000000	-0.000000	-0.744813	0.000000	0.291146	
0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216379	0.004077	0.000000	-0.000000	0.053739	-0.000000	0.092871	
0.018946	-0.087224	-0.000000	-0.000000	0.019714	0.850781	-0.136851	0.000000	-0.000000	-0.334094	-0.000000	-0.355392	
0.081637	-0.375838	-0.000000	-0.000000	0.011610	-0.229162	-0.589677	0.000000	-0.000000	-0.509851	-0.000000	0.308000	

ERI
0 0 0 0 3.4024687
1 0 0 0 -0.1528090
1 0 1 0 0.0122066
1 0 1 1 0.0055096
1 1 0 0 0.5168463
1 1 1 0 0.0055096
1 1 1 1 0.5884291
2 0 0 0 0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0060139
2 0 2 1 0.0072767
2 0 2 2 -0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 0.0000000
2 1 2 0 0.0072767
2 1 2 1 0.0876814
2 1 2 2 0.0000000
2 2 0 0 0.5594727
2 2 1 0 0.0009476
2 2 1 1 0.4735217
2 2 2 0 -0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5217280
3 0 0 0 -0.2124813
3 0 1 0 0.0138628
3 0 1 1 -0.0067647
3 0 2 0 -0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0042014
3 0 3 0 0.0247221
3 0 3 1 0.0024962
3 0 3 2 -0.0000000
3 0 3 3 -0.0006381
3 1 0 0 0.0506684
3 1 1 0 -0.0012505
3 1 1 1 -0.0658281
3 1 2 0 0.0000000
3 1 2 1 0.0000000
3 1 2 2 0.0402038
3 1 3 0 0.0024962
3 1 3 1 0.0885458
3 1 3 2 -0.0000000
3 1 3 3 -0.0127126
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0085917
3 2 2 1 0.0857330
3 2 2 2 -0.0000000
3 2 3 0 -0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0978173
3 2 3 3 -0.0000000
3 3 0 0 0.5999972
3 3 1 0 -0.0007293
3 3 1 1 0.4939637
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4658690
