NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-23.523892
ENERGIES
-6.852823
-0.470833
-0.043585
0.162542
0.898838
1.369627
1.442917
849736.741449
965066.397872
996478.092089
1070620.517141
1118094.226455

OEI
-13.549379	
-0.159189	-3.847646	
0.000000	0.000000	-3.368546	
0.244195	0.009695	-0.000000	-3.240328	
0.256219	0.037698	0.000000	-0.328020	-3.078573	
0.000000	0.000000	0.490229	-0.000000	0.000000	-2.928446	
0.376042	0.608646	-0.000000	-0.182294	0.109223	-0.000000	-3.352095	
0.107838	-0.023134	0.000000	0.064516	0.050118	-0.000000	-0.039330	849733.168907	
0.000000	0.000000	0.072788	-0.000000	0.000000	-0.016267	0.000000	0.000000	965063.236651	
0.004701	-0.010857	-0.000000	0.002792	-0.004728	0.000000	0.017752	-0.000800	-0.000000	996474.315116	
-0.034727	0.216411	0.000000	0.094064	-0.102687	0.000000	0.058493	0.069346	0.000000	-0.182089	1070617.710721	
0.107161	-0.020937	0.000000	0.118725	0.077126	0.000000	-0.017554	-0.516870	0.000000	-0.043782	0.243712	1118090.600142	

ENV_OEI
-0.067369	
-0.082241	-0.477807	
0.000000	0.000000	0.099111	
0.114770	-0.559930	0.000000	-0.315525	
0.132011	0.389309	-0.000000	0.584438	0.021049	
0.000000	-0.000000	-0.247256	-0.000000	0.000000	0.363631	
0.207659	-0.356208	0.000000	-0.251640	0.121819	-0.000000	0.159798	
0.091295	-0.005953	-0.000000	0.064141	0.035768	-0.000000	-0.056387	-0.522861	
0.000000	-0.000000	-0.316856	-0.000000	-0.000000	-0.169876	0.000000	-0.000000	-1.061082	
-0.032826	-0.678945	0.000000	-1.239313	1.046212	-0.000000	-0.438442	-0.135805	0.000000	-19.213585	
-0.015376	-0.177411	0.000000	-0.045040	0.046420	-0.000000	-0.072904	-0.213926	0.000000	-1.737105	-1.170657	
0.080280	0.031280	-0.000000	-0.063497	-0.016720	-0.000000	-0.036899	0.704112	0.000000	-0.176648	-0.149619	-0.302945	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.259000	-0.259000	-0.045312	-0.338874	1.000000	
0.000000	0.000000	-0.380474	0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.073326	-0.073326	0.000000	0.000000	0.000000	0.000000	1.000000	
0.045312	0.338874	0.278171	0.278171	0.000000	0.000000	-0.315123	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.268260	0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.051700	-0.051700	0.000000	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	

MOCOEFF
-0.975424	-0.102024	0.030785	0.030785	-0.002366	0.017564	0.046271	-0.000000	0.057892	0.014221	-0.000000	-0.006452	
-0.100480	0.008919	0.282736	0.282736	-0.065267	0.172560	-0.146856	-0.000000	-0.128464	0.598905	0.000000	0.050615	
0.000000	-0.000000	0.614172	-0.614172	0.000000	-0.000000	0.000000	-0.397013	0.000000	-0.000000	0.395591	0.000000	
0.139850	-0.323032	-0.532457	-0.532457	-0.106803	0.597233	-0.232569	-0.000000	0.355663	0.616958	0.000000	-0.114250	
0.138674	-0.552089	0.588991	0.588991	0.089344	-0.592171	-0.570793	0.000000	0.474225	-0.504319	0.000000	-0.018025	
0.000000	-0.000000	0.847778	-0.847778	-0.000000	0.000000	0.000000	1.180609	0.000000	0.000000	0.258357	0.000000	
0.262865	-1.199793	0.592415	0.592415	-0.038275	0.285105	0.999519	-0.000000	0.145203	0.439010	-0.000000	0.037089	
0.084288	-0.388040	0.000000	0.000000	-0.012324	0.049398	-0.203229	0.000000	-0.573901	-0.025821	-0.000000	0.799279	
0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	1.000000	0.000000	
0.000565	-0.002600	-0.000000	-0.000000	-1.025611	0.216380	-0.001362	-0.000000	-0.003845	-0.105483	0.000000	-0.019655	
-0.018948	0.087231	0.000000	0.000000	-0.019715	-0.850778	0.045686	-0.000000	0.129012	0.446529	-0.000000	0.196304	
0.081637	-0.375836	-0.000000	-0.000000	0.011611	-0.229175	-0.196837	0.000000	-0.555852	0.120149	-0.000000	-0.583417	

ERI
0 0 0 0 3.4019131
1 0 0 0 0.1559144
1 0 1 0 0.0126229
1 0 1 1 -0.0054617
1 1 0 0 0.5182020
1 1 1 0 -0.0054617
1 1 1 1 0.5899081
2 0 0 0 -0.0000000
2 0 1 0 -0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0059509
2 0 2 1 -0.0072585
2 0 2 2 0.0000000
2 1 0 0 -0.0000000
2 1 1 0 -0.0000000
2 1 1 1 -0.0000000
2 1 2 0 -0.0072585
2 1 2 1 0.0867134
2 1 2 2 0.0000000
2 2 0 0 0.5582206
2 2 1 0 -0.0009238
2 2 1 1 0.4732360
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5217140
3 0 0 0 -0.2150649
3 0 1 0 -0.0144510
3 0 1 1 -0.0065240
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0040937
3 0 3 0 0.0249581
3 0 3 1 -0.0023261
3 0 3 2 0.0000000
3 0 3 3 -0.0007415
3 1 0 0 -0.0549859
3 1 1 0 -0.0012979
3 1 1 1 0.0671717
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 -0.0407286
3 1 3 0 -0.0023261
3 1 3 1 0.0905756
3 1 3 2 -0.0000000
3 1 3 3 0.0135959
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 -0.0000000
3 2 2 0 0.0086175
3 2 2 1 -0.0857935
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0986522
3 2 3 3 0.0000000
3 3 0 0 0.5972009
3 3 1 0 0.0006280
3 3 1 1 0.4966054
3 3 2 0 0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4660365
3 3 3 0 -0.0007415
3 3 3 1 0.0135959
3 3 3 2 0.0000000
3 3 3 3 0.4982876
4 0 0 0 -0.2148321
4 0 1 0 -0.0127970
4 0 1 1 -0.0119656
4 0 2 0 0.0000000
4 0 2 1 0.0000000
4 0 2 2 -0.0067060
4 0 3 0 0.0273944
4 0 3 1 -0.0038968
4 0 3 2 -0.0000000
4 0 3 3 -0.0008441
4 0 4 0 0.0325992
4 0 4 1 -0.0012313
4 0 4 2 0.0000000
4 0 4 3 0.0078911
4 0 4 4 0.0036276
4 1 0 0 -0.0116901
4 1 1 0 0.0002623
4 1 1 1 -0.0333991
4 1 2 0 0.0000000
4 1 2 1 0.0000000
4 1 2 2 0.0314824
4 1 3 0 -0.0014950
4 1 3 1 -0.0468629
4 1 3 2 0.0000000
4 1 3 3 -0.0220746
4 1 4 0 -0.0012313
4 1 4 1 0.0434572
4 1 4 2 0.0000000
4 1 4 3 0.0029174
4 1 4 4 -0.0069473
4 2 0 0 -0.0000000
4 2 1 0 -0.0000000
4 2 1 1 0.0000000
4 2 2 0 -0.0004865
4 2 2 1 0.0592063
4 2 2 2 -0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0546771
4 2 3 3 -0.0000000
4 2 4 0 0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0582453
4 2 4 3 -0.0000000
4 2 4 4 -0.0000000
4 3 0 0 0.2129910
4 3 1 0 0.0067008
4 3 1 1 -0.0743092
4 3 2 0 -0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0172047
4 3 3 0 0.0026440
4 3 3 1 -0.0475095
4 3 3 2 0.0000000
4 3 3 3 0.0119148
4 3 4 0 0.0078911
4 3 4 1 0.0029174
4 3 4 2 -0.0000000
4 3 4 3 0.1401244
4 3 4 4 0.0845922
4 4 0 0 0.7163080
4 4 1 0 0.0067670
4 4 1 1 0.4496889
4 4 2 0 -0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4626016
4 4 3 0 -0.0009046
4 4 3 1 -0.0155420
4 4 3 2 -0.0000000
4 4 3 3 0.4985843
4 4 4 0 0.0036276
4 4 4 1 -0.0069473
4 4 4 2 -0.0000000
4 4 4 3 0.0845922
4 4 4 4 0.5540171
5 0 0 0 -0.0000000
5 0 1 0 -0.0000000
5 0 1 1 0.0000000
5 0 2 0 -0.0124335
5 0 2 1 0.0137210
5 0 2 2 0.0000000
5 0 3 0 0.0000000
5 0 3 1 0.0000000
5 0 3 2 -0.0167036
5 0 3 3 -0.0000000
5 0 4 0 0.0000000
5 0 4 1 0.0000000
5 0 4 2 0.0017940
5 0 4 3 -0.0000000
5 0 4 4 -0.0000000
5 0 5 0 0.0267253
