NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.276375
ENERGIES
-10.888898
-0.848219
-0.469917
-0.255144
0.559083
0.744810
0.781791
849736.509655
965066.381459
996478.163838
1070621.074267
1118093.636707

OEI
-18.513838	
0.219133	-4.543602	
-0.000000	-0.000000	-4.159844	
0.187306	-0.112453	-0.000000	-4.273840	
-0.155653	0.308235	0.000000	0.391276	-3.062466	
0.236310	-0.896841	-0.000000	0.244866	0.196389	-3.764886	
0.000000	-0.000000	0.796222	-0.000000	-0.000000	-0.000000	-3.469898	
0.115809	0.053958	-0.000000	0.033886	0.004025	-0.014993	0.000000	849732.933568	
0.000000	-0.000000	0.133760	-0.000000	0.000000	0.000000	0.026093	-0.000000	965063.551334	
-0.005059	-0.023544	-0.000000	0.002295	-0.002937	-0.013151	-0.000000	0.001106	-0.000000	996474.990519	
-0.038103	-0.197342	-0.000000	0.064709	0.118778	0.140288	-0.000000	0.151774	-0.000000	0.132375	1070618.561420	
0.112574	0.079434	-0.000000	0.126745	0.006098	0.004065	-0.000000	-0.855278	0.000000	0.037503	0.323698	1118089.954588	

ENV_OEI
-5.040840	
0.410519	-0.543904	
0.000000	0.000000	-0.418617	
0.363806	0.066821	-0.000000	-0.587124	
-0.312740	0.293512	0.000000	-0.124761	-0.689224	
0.479507	-0.034520	-0.000000	-0.193600	-0.309804	-0.909374	
0.000000	-0.000000	0.147369	-0.000000	0.000000	0.000000	-0.451391	
0.220852	0.008719	0.000000	0.033770	0.048051	-0.017947	-0.000000	-0.685708	
-0.000000	0.000000	-0.131902	0.000000	-0.000000	0.000000	-0.141263	0.000000	-0.746398	
0.014931	-0.254586	0.000000	0.598295	1.344284	0.987856	-0.000000	0.126607	0.000000	-18.548213	
-0.055012	0.045380	-0.000000	-0.005328	-0.041840	-0.074659	0.000000	-0.215372	0.000000	1.666645	-0.809455	
0.209937	-0.006425	-0.000000	-0.038675	-0.025912	-0.046209	-0.000000	0.033203	0.000000	0.177569	0.127021	-0.521463	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.996667	-0.016302	0.006499	0.006499	-0.001354	0.006657	0.027468	0.000000	0.007878	-0.002261	-0.000000	0.003201	
0.142981	-0.332570	-0.272617	-0.272617	0.027209	0.048309	0.318119	-0.000000	0.227411	-0.168687	-0.000000	-0.280248	
0.000000	-0.000000	-0.438423	0.438423	-0.000000	0.000000	0.000000	-0.618068	-0.000000	0.000000	0.338089	0.000000	
0.126876	-0.507462	-0.115999	-0.115999	-0.053602	0.215278	0.300703	-0.000000	-0.693566	0.023463	-0.000000	0.358950	
-0.107210	0.662883	-0.899004	-0.899004	-0.117249	0.697841	-0.241926	0.000000	0.136566	0.161166	0.000000	0.597162	
0.167497	-1.025350	0.407721	0.407721	-0.088072	0.531996	0.369442	-0.000000	0.925261	0.288590	-0.000000	0.708297	
0.000000	-0.000000	-0.950642	0.950642	0.000000	-0.000000	0.000000	1.081411	0.000000	-0.000000	0.330055	-0.000000	
0.084288	-0.388040	0.000000	0.000000	-0.012325	0.049401	-0.608823	-0.000000	0.000000	0.744813	0.000000	-0.291146	
0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	1.000000	-0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216380	0.004077	-0.000000	-0.000000	0.053739	0.000000	0.092871	
-0.018947	0.087226	0.000000	0.000000	-0.019715	-0.850780	0.136854	0.000000	0.000000	0.334096	0.000000	0.355391	
0.081637	-0.375837	0.000000	0.000000	0.011610	-0.229166	-0.589676	-0.000000	-0.000000	-0.509850	0.000000	0.308002	

ERI
0 0 0 0 3.5236274
1 0 0 0 -0.1905047
1 0 1 0 0.0204282
1 0 1 1 0.0058826
1 1 0 0 0.6453268
1 1 1 0 0.0058826
1 1 1 1 0.5923209
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 0.0000000
2 0 2 0 0.0094883
2 0 2 1 0.0110865
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0110865
2 1 2 1 0.1058097
2 1 2 2 0.0000000
2 2 0 0 0.6529637
2 2 1 0 -0.0007775
2 2 1 1 0.5122697
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5395038
3 0 0 0 -0.1655538
3 0 1 0 0.0125278
3 0 1 1 -0.0087892
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0038918
3 0 3 0 0.0249969
3 0 3 1 0.0083034
3 0 3 2 0.0000000
3 0 3 3 0.0097150
3 1 0 0 0.0517515
3 1 1 0 -0.0010980
3 1 1 1 -0.0188739
3 1 2 0 0.0000000
3 1 2 1 -0.0000000
3 1 2 2 0.0183265
3 1 3 0 0.0083034
3 1 3 1 0.0578289
3 1 3 2 -0.0000000
3 1 3 3 0.0418805
3 2 0 0 0.0000000
3 2 1 0 0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0072030
3 2 2 1 0.0381823
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.0369353
3 2 3 3 0.0000000
3 3 0 0 0.7798223
3 3 1 0 -0.0067829
3 3 1 1 0.4859683
3 3 2 0 0.0000000
3 3 2 1 0.0000000
3 3 2 2 0.4860952
3 3 3 0 0.0097150
3 3 3 1 0.0418805
3 3 3 2 0.0000000
3 3 3 3 0.6346854
4 0 0 0 0.1410888
4 0 1 0 -0.0130374
4 0 1 1 0.0014058
4 0 2 0 -0.0000000
4 0 2 1 -0.0000000
4 0 2 2 0.0022024
4 0 3 0 -0.0142496
4 0 3 1 -0.0019673
4 0 3 2 -0.0000000
4 0 3 3 -0.0005615
4 0 4 0 0.0106362
4 0 4 1 -0.0003972
4 0 4 2 -0.0000000
4 0 4 3 0.0009936
4 0 4 4 -0.0000101
4 1 0 0 -0.0891690
4 1 1 0 -0.0008606
4 1 1 1 -0.0421984
4 1 2 0 -0.0000000
4 1 2 1 0.0000000
4 1 2 2 0.0135808
4 1 3 0 0.0014596
4 1 3 1 0.0193942
4 1 3 2 -0.0000000
4 1 3 3 -0.0537203
4 1 4 0 -0.0003972
4 1 4 1 0.0714867
4 1 4 2 0.0000000
4 1 4 3 -0.0060486
4 1 4 4 -0.0073593
4 2 0 0 -0.0000000
4 2 1 0 0.0000000
4 2 1 1 -0.0000000
4 2 2 0 0.0009700
4 2 2 1 0.0721600
4 2 2 2 -0.0000000
4 2 3 0 -0.0000000
4 2 3 1 -0.0000000
4 2 3 2 0.0160413
4 2 3 3 -0.0000000
4 2 4 0 -0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0796918
4 2 4 3 0.0000000
4 2 4 4 0.0000000
4 3 0 0 -0.1401825
4 3 1 0 0.0049283
4 3 1 1 0.0206754
4 3 2 0 -0.0000000
4 3 2 1 -0.0000000
4 3 2 2 -0.0193705
4 3 3 0 -0.0085802
4 3 3 1 -0.0517030
4 3 3 2 -0.0000000
4 3 3 3 -0.0923353
4 3 4 0 0.0009936
4 3 4 1 -0.0060486
4 3 4 2 0.0000000
4 3 4 3 0.0772711
4 3 4 4 0.0333794
4 4 0 0 0.5034329
4 4 1 0 0.0019906
4 4 1 1 0.5154717
4 4 2 0 0.0000000
4 4 2 1 0.0000000
4 4 2 2 0.4731066
4 4 3 0 -0.0016274
4 4 3 1 -0.0187965
4 4 3 2 0.0000000
4 4 3 3 0.4383065
4 4 4 0 -0.0000101
4 4 4 1 -0.0073593
4 4 4 2 0.0000000
4 4 4 3 0.0333794
4 4 4 4 0.5210697
5 0 0 0 -0.2200652
5 0 1 0 0.0262231
5 0 1 1 0.0117191
5 0 2 0 0.0000000
5 0 2 1 0.0000000
5 0 2 2 0.0006514
5 0 3 0 0.0066570
5 0 3 1 -0.0062749
5 0 3 2 0.0000000
5 0 3 3 -0.0158409
5 0 4 0 -0.0134113
5 0 4 1 -0.0013577
5 0 4 2 0.0000000
5 0 4 3 0.0119116
5 0 4 4 0.0031794
5 0 5 0 0.0390288
5 0 5 1 0.0040162
5 0 5 2 0.0000000
5 0 5 3 0.0040449
5 0 5 4 -0.0024458
5 0 5 5 0.0099499
5 1 0 0 0.2645910
5 1 1 0 0.0003861
5 1 1 1 0.0701504
5 1 2 0 0.0000000
5 1 2 1 0.0000000
5 1 2 2 0.0706570
5 1 3 0 -0.0079652
5 1 3 1 0.0260933
5 1 3 2 -0.0000000
5 1 3 3 0.0919117
5 1 4 0 0.0029589
5 1 4 1 -0.0155327
5 1 4 2 -0.0000000
5 1 4 3 -0.0464409
5 1 4 4 -0.0002832
5 1 5 0 0.0040162
5 1 5 1 0.1045832
5 1 5 2 0.0000000
5 1 5 3 -0.0367049
5 1 5 4 -0.0401927
5 1 5 5 0.0811785
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 0.0060439
5 2 2 1 0.0073051
5 2 2 2 0.0000000
5 2 3 0 -0.0000000
5 2 3 1 0.0000000
5 2 3 2 0.0019337
5 2 3 3 0.0000000
5 2 4 0 -0.0000000
5 2 4 1 -0.0000000
5 2 4 2 -0.0149168
5 2 4 3 -0.0000000
5 2 4 4 -0.0000000
5 2 5 0 0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.0231393
5 2 5 3 -0.0000000
5 2 5 4 0.0000000
5 2 5 5 0.0000000
5 3 0 0 -0.0871841
5 3 1 0 0.0041446
5 3 1 1 0.0178225
5 3 2 0 0.0000000
5 3 2 1 -0.0000000
5 3 2 2 -0.0171522
5 3 3 0 0.0028743
5 3 3 1 -0.0058987
5 3 3 2 0.0000000
5 3 3 3 -0.0371546
5 3 4 0 -0.0019822
5 3 4 1 -0.0188196
5 3 4 2 0.0000000
5 3 4 3 0.0338266
5 3 4 4 0.0262144
5 3 5 0 0.0040449
5 3 5 1 -0.0367049
5 3 5 2 -0.0000000
5 3 5 3 0.0525259
