NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-24.371367
ENERGIES
-6.960200
-0.581462
-0.143711
0.058674
0.793709
1.264674
1.337801
849736.542662
965066.272371
996477.973847
1070620.854638
1118093.678114

OEI
-13.657846	
0.155114	-3.956624	
0.000000	0.000000	-3.472747	
0.247104	-0.011515	-0.000000	-3.343903	
0.250367	-0.024963	-0.000000	-0.324425	-3.189456	
0.000000	0.000000	0.492602	-0.000000	-0.000000	-3.028241	
-0.379000	0.603043	0.000000	0.200823	-0.125166	0.000000	-3.455798	
-0.107874	-0.022340	0.000000	-0.064897	-0.050790	0.000000	-0.038753	849732.968648	
-0.000000	-0.000000	0.072275	-0.000000	0.000000	-0.016204	-0.000000	0.000000	965063.108884	
-0.004695	-0.010647	-0.000000	-0.003029	0.005024	0.000000	0.017756	-0.000813	0.000000	996474.191231	
0.034718	0.218412	0.000000	-0.090900	0.102106	-0.000000	0.056072	0.069086	-0.000000	-0.182633	1070618.045984	
0.107164	0.019248	0.000000	0.118851	0.077620	0.000000	0.016816	0.515719	0.000000	0.043865	-0.243423	1118090.050603	

ENV_OEI
-0.175724	
0.081009	-0.614504	
0.000000	0.000000	0.001645	
0.117070	0.574239	-0.000000	-0.405304	
0.129679	-0.405658	0.000000	0.579023	-0.080570	
-0.000000	0.000000	-0.244050	-0.000000	0.000000	0.257102	
-0.210348	-0.355272	0.000000	0.237429	-0.123144	0.000000	0.060640	
-0.090726	-0.006802	-0.000000	-0.063550	-0.032980	-0.000000	-0.056694	-0.650630	
-0.000000	-0.000000	-0.324018	0.000000	0.000000	-0.176065	-0.000000	0.000000	-1.188849	
0.032898	-0.704087	0.000000	1.231989	-1.045012	0.000000	-0.417091	-0.134986	-0.000000	-19.347502	
0.015076	-0.193203	0.000000	0.046005	-0.050859	0.000000	-0.078093	-0.219517	-0.000000	-1.733064	-1.324893	
0.079432	-0.028443	-0.000000	-0.069427	-0.019431	-0.000000	0.038725	-0.706234	0.000000	0.176364	0.152665	-0.425442	

OVERLAP
1.000000	
0.248362	1.000000	
0.061767	0.488736	1.000000	
0.061767	0.488736	0.167856	1.000000	
0.000000	0.027047	0.038545	0.038545	1.000000	
0.027047	0.301519	0.378700	0.378700	0.248362	1.000000	
0.000000	0.000000	-0.155576	-0.155576	-0.015125	-0.113119	1.000000	
0.000000	0.000000	0.380474	-0.380474	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	-0.219667	-0.219667	-0.042713	-0.319437	0.000000	0.000000	1.000000	
0.015125	0.113119	0.044121	0.044121	0.000000	0.000000	0.112775	0.000000	-0.151526	1.000000	
0.000000	0.000000	0.268260	-0.268260	0.000000	0.000000	0.000000	0.166433	0.000000	0.000000	1.000000	
0.042713	0.319437	0.279473	0.279473	0.000000	0.000000	-0.151526	0.000000	-0.261465	0.000000	0.000000	1.000000	

MOCOEFF
-0.975498	-0.101768	0.030716	0.030716	-0.002367	0.017554	0.069884	-0.000000	0.024270	-0.001323	0.000000	0.015555	
0.098085	-0.003528	-0.271846	-0.271846	0.067630	-0.186431	0.165929	-0.000000	0.095856	-0.250619	0.000000	-0.561488	
0.000000	-0.000000	-0.610293	0.610293	-0.000000	0.000000	0.000000	-0.402403	-0.000000	0.000000	0.394407	0.000000	
0.141854	-0.325158	-0.537225	-0.537225	-0.106057	0.596886	0.261192	0.000000	-0.331322	0.095104	-0.000000	0.612877	
0.134678	-0.535608	0.580027	0.580027	0.089214	-0.593438	0.249608	0.000000	-0.710814	-0.186383	-0.000000	-0.470382	
0.000000	0.000000	-0.850575	0.850575	-0.000000	0.000000	0.000000	1.178783	0.000000	0.000000	0.260161	0.000000	
-0.264493	1.206719	-0.601978	-0.601978	0.036506	-0.274259	-0.473762	-0.000000	-0.884739	-0.177973	0.000000	-0.391528	
-0.084288	0.388040	-0.000000	-0.000000	0.012325	-0.049402	0.608822	0.000000	-0.000000	-0.744813	0.000000	0.291146	
0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	1.000000	0.000000	
-0.000564	0.002599	0.000000	0.000000	1.025611	-0.216379	0.004077	-0.000000	-0.000000	0.053739	-0.000000	0.092871	
0.018946	-0.087224	-0.000000	-0.000000	0.019714	0.850781	-0.136852	-0.000000	-0.000000	-0.334094	0.000000	-0.355392	
0.081637	-0.375838	-0.000000	-0.000000	0.011610	-0.229162	-0.589677	-0.000000	-0.000000	-0.509851	0.000000	0.308001	

ERI
0 0 0 0 3.4023635
1 0 0 0 -0.1521808
1 0 1 0 0.0120826
1 0 1 1 0.0055217
1 1 0 0 0.5154057
1 1 1 0 0.0055217
1 1 1 1 0.5951151
2 0 0 0 -0.0000000
2 0 1 0 0.0000000
2 0 1 1 -0.0000000
2 0 2 0 0.0060606
2 0 2 1 0.0071588
2 0 2 2 0.0000000
2 1 0 0 0.0000000
2 1 1 0 0.0000000
2 1 1 1 -0.0000000
2 1 2 0 0.0071588
2 1 2 1 0.0829762
2 1 2 2 0.0000000
2 2 0 0 0.5602656
2 2 1 0 0.0009137
2 2 1 1 0.4712096
2 2 2 0 0.0000000
2 2 2 1 0.0000000
2 2 2 2 0.5217401
3 0 0 0 -0.2180681
3 0 1 0 0.0143239
3 0 1 1 -0.0063636
3 0 2 0 0.0000000
3 0 2 1 0.0000000
3 0 2 2 -0.0040804
3 0 3 0 0.0254457
3 0 3 1 0.0021594
3 0 3 2 0.0000000
3 0 3 3 -0.0006897
3 1 0 0 0.0551427
3 1 1 0 -0.0012256
3 1 1 1 -0.0696491
3 1 2 0 -0.0000000
3 1 2 1 0.0000000
3 1 2 2 0.0409622
3 1 3 0 0.0021594
3 1 3 1 0.0895981
3 1 3 2 -0.0000000
3 1 3 3 -0.0108728
3 2 0 0 0.0000000
3 2 1 0 -0.0000000
3 2 1 1 0.0000000
3 2 2 0 0.0088533
3 2 2 1 0.0851870
3 2 2 2 0.0000000
3 2 3 0 0.0000000
3 2 3 1 -0.0000000
3 2 3 2 0.1016781
3 2 3 3 -0.0000000
3 3 0 0 0.5981656
3 3 1 0 -0.0006023
3 3 1 1 0.4953877
3 3 2 0 -0.0000000
3 3 2 1 -0.0000000
3 3 2 2 0.4677377
3 3 3 0 -0.0006897
3 3 3 1 -0.0108728
3 3 3 2 -0.0000000
3 3 3 3 0.4976287
4 0 0 0 -0.2087622
4 0 1 0 0.0119159
4 0 1 1 -0.0122764
4 0 2 0 0.0000000
4 0 2 1 -0.0000000
4 0 2 2 -0.0067831
4 0 3 0 0.0270624
4 0 3 1 0.0038013
4 0 3 2 -0.0000000
4 0 3 3 -0.0006723
4 0 4 0 0.0318623
4 0 4 1 0.0013389
4 0 4 2 0.0000000
4 0 4 3 0.0082892
4 0 4 4 0.0038735
4 1 0 0 0.0060026
4 1 1 0 0.0002891
4 1 1 1 0.0355056
4 1 2 0 -0.0000000
4 1 2 1 -0.0000000
4 1 2 2 -0.0314887
4 1 3 0 0.0015803
4 1 3 1 -0.0473196
4 1 3 2 0.0000000
4 1 3 3 0.0199197
4 1 4 0 0.0013389
4 1 4 1 0.0431569
4 1 4 2 0.0000000
4 1 4 3 -0.0046289
4 1 4 4 0.0051748
4 2 0 0 0.0000000
4 2 1 0 -0.0000000
4 2 1 1 -0.0000000
4 2 2 0 -0.0005460
4 2 2 1 -0.0575270
4 2 2 2 -0.0000000
4 2 3 0 0.0000000
4 2 3 1 0.0000000
4 2 3 2 -0.0551012
4 2 3 3 0.0000000
4 2 4 0 0.0000000
4 2 4 1 0.0000000
4 2 4 2 0.0574938
4 2 4 3 0.0000000
4 2 4 4 0.0000000
4 3 0 0 0.2112916
4 3 1 0 -0.0066004
4 3 1 1 -0.0755829
4 3 2 0 -0.0000000
4 3 2 1 0.0000000
4 3 2 2 -0.0170524
4 3 3 0 0.0024516
4 3 3 1 0.0458683
4 3 3 2 0.0000000
4 3 3 3 0.0127270
4 3 4 0 0.0082892
4 3 4 1 -0.0046289
4 3 4 2 0.0000000
4 3 4 3 0.1387230
4 3 4 4 0.0852631
4 4 0 0 0.7184979
4 4 1 0 -0.0067411
