NMONOMER	2
NELEC	4
ENUC	2.756761
NBASIS	8
HOMO	-1
LUMO	-1
ENT	-1
HF_ENERGY	-2.216185
ENERGIES
-0.733699
-0.505640
0.170863
0.369337
0.782149
1.087560
1.296674
1.544297

OEI
-2.010368	
0.003273	-1.723239	
0.166157	0.041548	-1.177377	
0.024283	-0.191673	-0.017503	-0.851189	
-0.166513	0.001493	-0.076692	-0.024410	-0.745129	
-0.007130	-0.153811	0.019479	-0.043308	-0.005907	-0.413184	
-0.085575	0.011513	0.299594	0.067166	-0.044702	-0.004241	-0.387690	
-0.006548	0.054345	-0.043046	0.270029	-0.011345	-0.017525	0.020277	-0.348685	

ENV_OEI
0.002001	
-0.006662	-0.007767	
-0.016301	-0.025705	-0.049130	
0.011842	0.021298	0.046129	-0.038423	
0.000530	0.001305	0.007467	-0.008194	0.002648	
-0.004520	-0.007223	-0.011646	0.008312	0.001266	0.002197	
-0.001657	-0.004959	-0.020368	0.021037	0.008333	-0.000534	-0.009846	
0.000175	0.001434	0.014102	-0.016914	-0.006529	-0.000897	0.011721	-0.004639	

OVERLAP
1.000000	
0.658292	1.000000	
0.446368	0.505515	1.000000	
0.505515	0.850457	0.658292	1.000000	
0.020871	0.156730	0.000525	0.035401	1.000000	
0.156730	0.413996	0.035401	0.165333	0.658292	1.000000	
0.253307	0.411720	0.020871	0.156730	0.446368	0.505515	1.000000	
0.411720	0.749787	0.156730	0.413996	0.505515	0.850457	0.658292	1.000000	

MOCOEFF
-0.259582	-0.075878	-0.187022	-0.181731	-0.192244	-0.086940	-0.265611	-0.242380	
-0.210661	-0.189208	-0.263866	-0.349963	0.261247	0.235408	0.216081	0.268998	
0.177050	1.677603	-0.068374	-1.673330	-0.136583	-0.723391	0.123114	0.071316	
-0.126445	-3.529740	-0.176234	2.133072	0.077389	-2.551867	0.194518	3.837558	
-0.497820	0.491041	-0.561765	0.282543	-0.593101	0.304684	-0.528873	0.556993	
-0.484008	3.572081	-0.712264	-0.920061	0.729649	0.895612	0.416273	-3.507312	
-0.811453	1.019352	0.794649	-1.185398	0.724264	-1.262692	-0.775655	1.228227	
0.976920	-2.487825	-0.625367	1.332060	0.668745	-1.422597	-1.014468	2.561472	

ERI
0 0 0 0 0.5190270
1 0 0 0 -0.0079004
1 0 1 0 0.1709902
1 0 1 1 0.0046270
1 1 0 0 0.4643158
1 1 1 0 0.0046270
1 1 1 1 0.4599572
2 0 0 0 -0.0709984
2 0 1 0 -0.0119112
2 0 1 1 -0.0164829
2 0 2 0 0.0646222
2 0 2 1 0.0076388
2 0 2 2 -0.0182249
2 1 0 0 -0.0215383
2 1 1 0 0.0621933
2 1 1 1 -0.0103823
2 1 2 0 0.0076388
2 1 2 1 0.0643426
2 1 2 2 0.0105796
2 2 0 0 0.3753431
2 2 1 0 0.0239776
2 2 1 1 0.3632592
2 2 2 0 -0.0182249
2 2 2 1 0.0105796
2 2 2 2 0.3429023
3 0 0 0 -0.0123518
3 0 1 0 0.0485896
3 0 1 1 0.0001276
3 0 2 0 0.0042516
3 0 2 1 -0.0092515
3 0 2 2 -0.0009933
3 0 3 0 0.0358479
3 0 3 1 -0.0069464
3 0 3 2 -0.0015569
3 0 3 3 0.0004997
3 1 0 0 0.0893496
3 1 1 0 0.0121867
3 1 1 1 0.0615638
3 1 2 0 -0.0385257
3 1 2 1 0.0017356
3 1 2 2 0.0254753
3 1 3 0 -0.0069464
3 1 3 1 0.0472074
3 1 3 2 -0.0074709
3 1 3 3 0.0066262
3 2 0 0 0.0092775
3 2 1 0 -0.0769320
3 2 1 1 0.0024677
3 2 2 0 0.0010681
3 2 2 1 -0.0528935
3 2 2 2 -0.0216374
3 2 3 0 -0.0015569
3 2 3 1 -0.0074709
3 2 3 2 0.0792924
3 2 3 3 0.0313200
3 3 0 0 0.3276844
3 3 1 0 -0.0277125
3 3 1 1 0.3241061
3 3 2 0 -0.0022738
3 3 2 1 -0.0222865
3 3 2 2 0.2970028
3 3 3 0 0.0004997
3 3 3 1 0.0066262
3 3 3 2 0.0313200
3 3 3 3 0.3129982
4 0 0 0 0.0799737
4 0 1 0 -0.0032546
4 0 1 1 0.0817772
4 0 2 0 -0.0022589
4 0 2 1 -0.0067146
4 0 2 2 0.0382799
4 0 3 0 -0.0001480
4 0 3 1 0.0240803
4 0 3 2 0.0022268
4 0 3 3 0.0331845
4 0 4 0 0.0515723
4 0 4 1 -0.0028939
4 0 4 2 0.0033710
4 0 4 3 0.0009439
4 0 4 4 0.0531823
4 1 0 0 -0.0030438
4 1 1 0 0.0770148
4 1 1 1 0.0013400
4 1 2 0 -0.0073279
4 1 2 1 0.0228354
4 1 2 2 0.0043650
4 1 3 0 0.0265141
4 1 3 1 0.0063494
4 1 3 2 -0.0179379
4 1 3 3 -0.0063288
4 1 4 0 -0.0028939
4 1 4 1 0.0564201
4 1 4 2 -0.0058197
4 1 4 3 0.0222978
4 1 4 4 -0.0034386
4 2 0 0 0.0233688
4 2 1 0 -0.0103639
4 2 1 1 0.0252654
4 2 2 0 0.0013436
4 2 2 1 -0.0062354
4 2 2 2 0.0092011
4 2 3 0 -0.0016422
4 2 3 1 0.0067993
4 2 3 2 0.0073515
4 2 3 3 0.0026838
4 2 4 0 0.0033710
4 2 4 1 -0.0058197
4 2 4 2 0.0168166
4 2 4 3 -0.0002033
4 2 4 4 0.0275961
4 3 0 0 0.0055184
4 3 1 0 0.0471106
4 3 1 1 0.0097874
4 3 2 0 -0.0024093
4 3 2 1 0.0191295
4 3 2 2 0.0138613
4 3 3 0 0.0109669
4 3 3 1 0.0058662
4 3 3 2 -0.0307497
4 3 3 3 -0.0107266
4 3 4 0 0.0009439
4 3 4 1 0.0222978
4 3 4 2 -0.0002033
4 3 4 3 0.0215529
4 3 4 4 0.0052279
4 4 0 0 0.4200101
4 4 1 0 -0.0092448
4 4 1 1 0.3976252
4 4 2 0 -0.0332592
4 4 2 1 -0.0172871
4 4 2 2 0.3249147
4 4 3 0 -0.0054546
4 4 3 1 0.0579666
4 4 3 2 0.0101003
4 4 3 3 0.2920226
4 4 4 0 0.0531823
4 4 4 1 -0.0034386
4 4 4 2 0.0275961
4 4 4 3 0.0052279
4 4 4 4 0.3764768
5 0 0 0 0.0018532
5 0 1 0 0.0494080
5 0 1 1 0.0026987
5 0 2 0 -0.0065725
5 0 2 1 0.0166800
5 0 2 2 0.0046085
5 0 3 0 0.0148155
5 0 3 1 0.0061954
5 0 3 2 -0.0133038
5 0 3 3 -0.0036880
5 0 4 0 -0.0007364
5 0 4 1 0.0425316
5 0 4 2 -0.0052757
5 0 4 3 0.0169964
5 0 4 4 -0.0007998
5 0 5 0 0.0350068
5 0 5 1 0.0007394
5 0 5 2 0.0114128
5 0 5 3 0.0049768
5 0 5 4 0.0350511
5 0 5 5 0.0002547
5 1 0 0 0.0641794
5 1 1 0 0.0001208
5 1 1 1 0.0748601
5 1 2 0 0.0077550
5 1 2 1 -0.0051212
5 1 2 2 0.0372857
5 1 3 0 0.0038731
5 1 3 1 0.0143736
5 1 3 2 0.0025788
5 1 3 3 0.0311175
5 1 4 0 0.0464589
5 1 4 1 0.0000218
5 1 4 2 0.0102176
5 1 4 3 0.0037028
5 1 4 4 0.0498370
5 1 5 0 0.0007394
5 1 5 1 0.0500372
5 1 5 2 -0.0052330
5 1 5 3 0.0114017
5 1 5 4 -0.0012208
5 1 5 5 0.0487869
5 2 0 0 -0.0085059
