NMONOMER	2
NELEC	4
ENUC	2.756761
NBASIS	8
HOMO	-1
LUMO	-1
ENT	-1
HF_ENERGY	-2.231334
ENERGIES
-0.737314
-0.509879
0.166776
0.366547
0.779032
1.084348
1.293024
1.540569

OEI
-2.013579	
-0.003354	-1.727323	
0.166243	-0.041394	-1.182613	
0.023479	0.191657	-0.016639	-0.854184	
0.166535	0.001698	0.076669	0.025362	-0.747687	
-0.007553	0.153677	0.019544	-0.043010	0.006313	-0.416094	
0.085117	0.012737	-0.299545	-0.067715	-0.044413	0.003292	-0.391160	
-0.006861	-0.054039	-0.043810	0.270160	0.012290	-0.018145	-0.022012	-0.351769	

ENV_OEI
-0.001522	
0.008974	-0.012065	
-0.017252	0.027731	-0.053633	
0.011963	-0.021307	0.047707	-0.040594	
0.000110	0.000550	-0.007401	0.008827	-0.000233	
-0.005176	0.008068	-0.012016	0.008016	0.000287	-0.000911	
0.001239	-0.004074	0.020028	-0.021799	0.009143	-0.000500	-0.013547	
-0.000307	-0.000718	0.013254	-0.016730	0.007219	-0.001537	-0.013647	-0.008006	

OVERLAP
1.000000	
0.658292	1.000000	
0.446368	0.505515	1.000000	
0.505515	0.850457	0.658292	1.000000	
0.020871	0.156730	0.000525	0.035401	1.000000	
0.156730	0.413996	0.035401	0.165333	0.658292	1.000000	
0.253307	0.411720	0.020871	0.156730	0.446368	0.505515	1.000000	
0.411720	0.749787	0.156730	0.413996	0.505515	0.850457	0.658292	1.000000	

MOCOEFF
-0.264639	-0.242724	-0.191017	-0.084968	-0.189335	-0.185733	-0.260541	-0.073321	
-0.218021	-0.268860	-0.261805	-0.234171	0.264481	0.354482	0.208384	0.181366	
0.121626	0.051651	-0.137739	-0.711564	-0.067687	-1.680810	0.179250	1.694861	
0.195220	3.836462	0.075902	-2.554067	-0.177286	2.125232	-0.126123	-3.520595	
0.527704	-0.545207	0.591691	-0.309549	0.564066	-0.281094	0.497669	-0.500335	
0.418184	-3.509636	0.730118	0.896845	-0.712952	-0.916129	-0.479817	3.566061	
0.770689	-1.211579	-0.722603	1.255682	-0.794917	1.193283	0.817166	-1.037878	
-1.017954	2.570832	0.671341	-1.429301	-0.620977	1.329401	0.974171	-2.488870	

ERI
0 0 0 0 0.5187575
1 0 0 0 0.0066256
1 0 1 0 0.1712920
1 0 1 1 -0.0032719
1 1 0 0 0.4643996
1 1 1 0 -0.0032719
1 1 1 1 0.4599367
2 0 0 0 -0.0711314
2 0 1 0 0.0117263
2 0 1 1 -0.0163591
2 0 2 0 0.0649016
2 0 2 1 -0.0077261
2 0 2 2 -0.0184913
2 1 0 0 0.0210636
2 1 1 0 0.0623939
2 1 1 1 0.0109930
2 1 2 0 -0.0077261
2 1 2 1 0.0643544
2 1 2 2 -0.0105315
2 2 0 0 0.3759836
2 2 1 0 -0.0242414
2 2 1 1 0.3633385
2 2 2 0 -0.0184913
2 2 2 1 -0.0105315
2 2 2 2 0.3433830
3 0 0 0 -0.0115562
3 0 1 0 -0.0486822
3 0 1 1 -0.0000567
3 0 2 0 0.0039530
3 0 2 1 0.0092593
3 0 2 2 -0.0007949
3 0 3 0 0.0358404
3 0 3 1 0.0070422
3 0 3 2 -0.0015767
3 0 3 3 0.0005799
3 1 0 0 -0.0894497
3 1 1 0 0.0118099
3 1 1 1 -0.0614397
3 1 2 0 0.0385658
3 1 2 1 0.0018618
3 1 2 2 -0.0256733
3 1 3 0 0.0070422
3 1 3 1 0.0472985
3 1 3 2 0.0075910
3 1 3 3 -0.0065727
3 2 0 0 0.0083261
3 2 1 0 0.0768640
3 2 1 1 0.0029009
3 2 2 0 0.0011011
3 2 2 1 0.0527106
3 2 2 2 -0.0218666
3 2 3 0 -0.0015767
3 2 3 1 0.0075910
3 2 3 2 0.0788053
3 2 3 3 0.0318905
3 3 0 0 0.3275574
3 3 1 0 0.0283631
3 3 1 1 0.3243777
3 3 2 0 -0.0023448
3 3 2 1 0.0228194
3 3 2 2 0.2967591
3 3 3 0 0.0005799
3 3 3 1 -0.0065727
3 3 3 2 0.0318905
3 3 3 3 0.3135812
4 0 0 0 -0.0799414
4 0 1 0 -0.0027966
4 0 1 1 -0.0818285
4 0 2 0 0.0023024
4 0 2 1 -0.0067607
4 0 2 2 -0.0383601
4 0 3 0 -0.0001628
4 0 3 1 0.0241031
4 0 3 2 -0.0020909
4 0 3 3 -0.0331767
4 0 4 0 0.0515164
4 0 4 1 0.0027083
4 0 4 2 0.0033591
4 0 4 3 0.0011558
4 0 4 4 -0.0531349
4 1 0 0 -0.0025050
4 1 1 0 -0.0770633
4 1 1 1 0.0005157
4 1 2 0 -0.0074652
4 1 2 1 -0.0228743
4 1 2 2 0.0043031
4 1 3 0 0.0265262
4 1 3 1 -0.0062254
4 1 3 2 -0.0178953
4 1 3 3 -0.0065616
4 1 4 0 0.0027083
4 1 4 1 0.0564266
4 1 4 2 0.0059644
4 1 4 3 -0.0222737
4 1 4 4 -0.0033575
4 2 0 0 -0.0232915
4 2 1 0 -0.0106929
4 2 1 1 -0.0253288
4 2 2 0 -0.0013499
4 2 2 1 -0.0064029
4 2 2 2 -0.0091389
4 2 3 0 0.0017008
4 2 3 1 0.0067889
4 2 3 2 -0.0075170
4 2 3 3 -0.0027897
4 2 4 0 0.0033591
4 2 4 1 0.0059644
4 2 4 2 0.0168745
4 2 4 3 -0.0002603
4 2 4 4 -0.0275819
4 3 0 0 -0.0062166
4 3 1 0 0.0471820
4 3 1 1 -0.0096584
4 3 2 0 0.0024701
4 3 2 1 0.0191454
4 3 2 2 -0.0141341
4 3 3 0 -0.0109701
4 3 3 1 0.0059068
4 3 3 2 0.0307019
4 3 3 3 0.0109776
4 3 4 0 0.0011558
4 3 4 1 -0.0222737
4 3 4 2 -0.0002603
4 3 4 3 0.0216205
4 3 4 4 -0.0055369
4 4 0 0 0.4197418
4 4 1 0 0.0089843
4 4 1 1 0.3975888
4 4 2 0 -0.0333037
4 4 2 1 0.0172982
4 4 2 2 0.3251434
4 4 3 0 -0.0050826
4 4 3 1 -0.0579365
4 4 3 2 0.0098232
4 4 3 3 0.2920577
4 4 4 0 -0.0531349
4 4 4 1 -0.0033575
4 4 4 2 -0.0275819
4 4 4 3 -0.0055369
4 4 4 4 0.3762370
5 0 0 0 0.0024369
5 0 1 0 -0.0494226
5 0 1 1 0.0025396
5 0 2 0 -0.0065284
5 0 2 1 -0.0167386
5 0 2 2 0.0047203
5 0 3 0 0.0148209
5 0 3 1 -0.0061930
5 0 3 2 -0.0132773
5 0 3 3 -0.0037229
5 0 4 0 0.0003479
5 0 4 1 0.0425235
5 0 4 2 0.0053499
5 0 4 3 -0.0169908
5 0 4 4 -0.0005595
5 0 5 0 0.0350052
5 0 5 1 -0.0007054
5 0 5 2 0.0114411
5 0 5 3 0.0050497
5 0 5 4 -0.0350229
5 0 5 5 0.0003124
5 1 0 0 -0.0641259
5 1 1 0 -0.0000367
5 1 1 1 -0.0748479
5 1 2 0 -0.0078405
5 1 2 1 -0.0053077
5 1 2 2 -0.0372585
5 1 3 0 -0.0039146
5 1 3 1 0.0142856
5 1 3 2 -0.0026594
5 1 3 3 -0.0311532
5 1 4 0 0.0464424
5 1 4 1 0.0003162
5 1 4 2 0.0102515
5 1 4 3 0.0036859
5 1 4 4 -0.0497827
5 1 5 0 -0.0007054
5 1 5 1 0.0500173
5 1 5 2 0.0053964
5 1 5 3 -0.0113234
5 1 5 4 -0.0013629
5 1 5 5 -0.0487647
5 2 0 0 -0.0083796
5 2 1 0 -0.0184631
5 2 1 1 -0.0073102
5 2 2 0 -0.0003530
5 2 2 1 -0.0161695
5 2 2 2 -0.0029010
5 2 3 0 -0.0002901
5 2 3 1 -0.0015293
5 2 3 2 -0.0065793
5 2 3 3 -0.0058921
5 2 4 0 0.0062044
5 2 4 1 0.0151846
5 2 4 2 0.0009388
5 2 4 3 -0.0015485
5 2 4 4 -0.0059320
5 2 5 0 0.0114411
5 2 5 1 0.0053964
5 2 5 2 0.0131823
5 2 5 3 0.0012357
5 2 5 4 -0.0171745
5 2 5 5 -0.0056149
5 3 0 0 0.0182747
5 3 1 0 -0.0090784
5 3 1 1 0.0177837
5 3 2 0 -0.0029423
5 3 2 1 -0.0036584
5 3 2 2 0.0071195
5 3 3 0 0.0011856
5 3 3 1 -0.0088857
5 3 3 2 -0.0036990
5 3 3 3 0.0042360
5 3 4 0 -0.0146019
5 3 4 1 0.0058139
5 3 4 2 0.0030992
5 3 4 3 -0.0018045
5 3 4 4 0.0109592
5 3 5 0 0.0050497
5 3 5 1 -0.0113234
5 3 5 2 0.0012357
5 3 5 3 0.0081472
5 3 5 4 -0.0076997
5 3 5 5 0.0094475
5 4 0 0 0.0006949
5 4 1 0 0.1265387
5 4 1 1 -0.0035191
5 4 2 0 0.0119098
5 4 2 1 0.0536869
5 4 2 2 -0.0182946
5 4 3 0 -0.0303858
5 4 3 1 0.0129818
5 4 3 2 0.0576186
5 4 3 3 0.0212401
5 4 4 0 -0.0020654
5 4 4 1 -0.0557433
5 4 4 2 -0.0076687
5 4 4 3 0.0331569
5 4 4 4 0.0053055
5 4 5 0 -0.0350229
5 4 5 1 -0.0013629
5 4 5 2 -0.0171745
5 4 5 3 -0.0076997
5 4 5 4 0.1085958
5 4 5 5 -0.0008468
5 5 0 0 0.3990329
5 5 1 0 -0.0005342
5 5 1 1 0.3936995
5 5 2 0 -0.0151542
5 5 2 1 0.0132715
5 5 2 2 0.3206035
