NMONOMER	1
NELEC	10
ENUC	9.194967
NBASIS	7
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-83.853940
ENERGIES
-21.234361
-2.215667
-1.582906
-1.378505
-1.318257
-0.416700
-0.159618

OEI
-33.567725	
-0.533246	-8.500201	
-0.140667	-0.354330	-7.116424	
-0.250244	-0.476807	0.179842	-7.823573	
-0.050265	-0.017282	-0.012603	0.044339	-8.309687	
0.234222	1.233678	-0.717498	-0.797661	-0.037809	-6.991109	
0.151003	0.528930	1.400498	-0.661397	-0.077371	0.475243	-6.128350	

ENV_OEI
-0.863981	
0.000934	-0.927637	
-0.004136	0.145604	-0.971067	
-0.000760	0.040950	-0.072862	-0.877266	
-0.003654	0.036736	-0.003222	0.009739	-0.854084	
-0.007166	-0.034440	0.175597	0.086616	0.002609	-1.037866	
0.005207	0.023632	-0.010202	-0.071243	-0.008814	0.082533	-0.779852	

OVERLAP
1.000000	
0.236704	1.000000	
0.053978	0.474807	1.000000	
0.053978	0.474807	0.251717	1.000000	
0.000000	0.000000	0.000000	0.380885	1.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	
0.000000	0.000000	0.393452	-0.098645	0.000000	0.000000	1.000000	

MOCOEFF
0.994232	0.026140	-0.005786	-0.006068	0.003671	0.000154	0.002459	
0.225403	-0.796740	-0.102886	-0.253294	-0.131002	-0.039885	-0.067863	
0.059926	-0.304399	-0.339590	0.639908	0.282485	0.011833	-0.438020	
0.110414	-0.576389	0.259356	0.343875	0.443634	-0.132294	0.604485	
0.021805	-0.097616	0.029555	0.018591	0.059735	0.990284	0.084425	
-0.103593	0.704524	-0.339416	-0.965797	0.923495	-0.010197	0.006002	
-0.066045	0.447431	-1.153275	0.338072	-0.296021	-0.001299	0.844621	

ERI
0 0 0 0 4.7452274
1 0 0 0 0.4029098
1 0 1 0 0.0546799
1 0 1 1 0.0109860
1 1 0 0 0.9821205
1 1 1 0 0.0109860
1 1 1 1 0.7236107
2 0 0 0 0.1070883
2 0 1 0 0.0140229
2 0 1 1 0.0055443
2 0 2 0 0.0122456
2 0 2 1 -0.0130704
2 0 2 2 -0.0032462
2 1 0 0 0.1034455
2 1 1 0 0.0041293
2 1 1 1 0.0100305
2 1 2 0 -0.0130704
2 1 2 1 0.1426660
2 1 2 2 0.0187329
2 2 0 0 0.7628191
2 2 1 0 0.0041123
2 2 1 1 0.6270987
2 2 2 0 -0.0032462
2 2 2 1 0.0187329
2 2 2 2 0.6217626
3 0 0 0 0.1964368
3 0 1 0 0.0235953
3 0 1 1 0.0152572
3 0 2 0 0.0033726
3 0 2 1 0.0067767
3 0 2 2 0.0082710
3 0 3 0 0.0287626
3 0 3 1 -0.0170622
3 0 3 2 -0.0033437
3 0 3 3 -0.0115397
3 1 0 0 0.1414724
3 1 1 0 0.0089216
3 1 1 1 0.0021793
3 1 2 0 0.0057741
3 1 2 1 -0.0023625
3 1 2 2 -0.0158728
3 1 3 0 -0.0170622
3 1 3 1 0.1177819
3 1 3 2 0.0061903
3 1 3 3 0.1103060
3 2 0 0 -0.0365485
3 2 1 0 0.0011518
3 2 1 1 -0.0190449
3 2 2 0 -0.0015996
3 2 2 1 -0.0348551
3 2 2 2 -0.0042143
3 2 3 0 -0.0033437
3 2 3 1 0.0061903
3 2 3 2 0.0496366
3 2 3 3 -0.0153456
3 3 0 0 0.9951223
3 3 1 0 0.0133077
3 3 1 1 0.6638656
3 3 2 0 0.0064805
3 3 2 1 0.0282673
3 3 2 2 0.5762280
3 3 3 0 -0.0115397
3 3 3 1 0.1103060
3 3 3 2 -0.0153456
3 3 3 3 0.7791741
4 0 0 0 0.0385556
4 0 1 0 0.0037576
4 0 1 1 0.0049518
4 0 2 0 0.0011462
4 0 2 1 0.0010424
4 0 2 2 0.0010813
4 0 3 0 0.0012269
4 0 3 1 0.0026157
4 0 3 2 0.0004373
4 0 3 3 0.0025400
4 0 4 0 0.0262982
4 0 4 1 -0.0310241
4 0 4 2 -0.0076992
4 0 4 3 -0.0140795
4 0 4 4 -0.0048183
4 1 0 0 0.0092745
4 1 1 0 0.0023691
4 1 1 1 -0.0128677
4 1 2 0 0.0005746
4 1 2 1 -0.0033178
4 1 2 2 -0.0014567
4 1 3 0 0.0020834
4 1 3 1 -0.0074971
4 1 3 2 -0.0016332
4 1 3 3 -0.0021457
4 1 4 0 -0.0310241
4 1 4 1 0.1357850
4 1 4 2 0.0282562
4 1 4 3 0.0479332
4 1 4 4 0.0244342
4 2 0 0 0.0046124
4 2 1 0 0.0007398
4 2 1 1 -0.0028470
4 2 2 0 -0.0007519
4 2 2 1 0.0012868
4 2 2 2 0.0008683
4 2 3 0 0.0007906
4 2 3 1 -0.0018416
4 2 3 2 0.0006315
4 2 3 3 -0.0002878
4 2 4 0 -0.0076992
4 2 4 1 0.0282562
4 2 4 2 0.0313042
4 2 4 3 0.0063177
4 2 4 4 0.0067525
4 3 0 0 -0.0080772
4 3 1 0 0.0012267
4 3 1 1 -0.0125316
4 3 2 0 0.0005128
4 3 2 1 -0.0024814
4 3 2 2 -0.0044016
4 3 3 0 -0.0009755
4 3 3 1 0.0006478
4 3 3 2 0.0001127
4 3 3 3 -0.0025652
4 3 4 0 -0.0140795
4 3 4 1 0.0479332
4 3 4 2 0.0063177
4 3 4 3 0.0573482
4 3 4 4 0.0027110
4 4 0 0 1.1146755
4 4 1 0 0.0116164
4 4 1 1 0.7326444
4 4 2 0 0.0029698
4 4 2 1 0.0549705
4 4 2 2 0.6074811
4 4 3 0 0.0057523
4 4 3 1 0.0745631
4 4 3 2 -0.0206675
4 4 3 3 0.7246166
4 4 4 0 -0.0048183
4 4 4 1 0.0244342
4 4 4 2 0.0067525
4 4 4 3 0.0027110
4 4 4 4 0.8827367
5 0 0 0 -0.1867953
5 0 1 0 -0.0285673
5 0 1 1 0.0042435
5 0 2 0 0.0004469
5 0 2 1 -0.0133581
5 0 2 2 -0.0024154
5 0 3 0 -0.0018907
5 0 3 1 -0.0151033
5 0 3 2 -0.0053928
5 0 3 3 -0.0153275
5 0 4 0 -0.0013222
5 0 4 1 -0.0013248
5 0 4 2 -0.0012554
5 0 4 3 -0.0018550
5 0 4 4 -0.0051486
5 0 5 0 0.0312936
5 0 5 1 -0.0159106
5 0 5 2 -0.0056904
