NMONOMER	1
NELEC	10
ENUC	9.194968
NBASIS	7
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-83.470875
ENERGIES
-21.017268
-2.086653
-1.419980
-1.288302
-1.203260
-0.165235
-0.030717

OEI
-33.565109	
-0.571019	-8.572757	
0.037263	0.050830	-7.323358	
0.176995	0.407178	0.117742	-7.901643	
-0.108154	-0.042130	0.014688	-0.098594	-8.287659	
-0.302603	-1.325972	-0.276275	-1.098419	0.184046	-6.107068	
0.078651	0.223866	-1.700636	0.130568	-0.077710	-0.199525	-6.196069	

ENV_OEI
-0.862164	
0.000712	-0.863473	
0.003670	-0.054345	-0.818186	
-0.005758	0.071787	-0.001554	-0.872912	
-0.007142	0.064725	0.003038	-0.016753	-0.843211	
-0.001821	-0.015142	0.024432	-0.021138	0.015837	-0.797720	
0.004151	0.000088	-0.059582	0.033430	-0.012504	-0.049869	-0.770677	

OVERLAP
1.000000	
0.236704	1.000000	
0.053978	0.474807	1.000000	
0.053978	0.474807	0.251717	1.000000	
0.000000	0.000000	-0.226162	0.171162	1.000000	
0.000000	0.000000	0.300144	-0.128471	0.000000	1.000000	
0.000000	0.000000	-0.116484	-0.330157	0.000000	0.000000	1.000000	

MOCOEFF
0.994063	0.026825	-0.006051	-0.005909	-0.000914	0.001382	-0.003831	
0.236376	-0.854024	-0.166336	-0.119871	0.107282	0.002608	0.089111	
-0.015287	0.064983	-0.422674	0.400449	0.426582	-0.394841	-0.279956	
-0.077590	0.423441	-0.307034	-0.196539	-0.149738	-0.467450	0.662628	
0.046190	-0.207424	0.050226	0.055249	-0.734491	-0.520019	-0.386812	
0.130720	-0.872020	0.961889	0.604766	0.222758	-0.429864	0.562336	
-0.033838	0.222244	0.641051	-1.028174	0.582699	-0.598107	-0.443963	

ERI
0 0 0 0 4.7440206
1 0 0 0 0.4234292
1 0 1 0 0.0600760
1 0 1 1 0.0137246
1 1 0 0 1.0181989
1 1 1 0 0.0137246
1 1 1 1 0.7367016
2 0 0 0 -0.0272194
2 0 1 0 -0.0032695
2 0 1 1 -0.0027113
2 0 2 0 0.0124687
2 0 2 1 -0.0191461
2 0 2 2 0.0022787
2 1 0 0 -0.0166598
2 1 1 0 -0.0016373
2 1 1 1 0.0075768
2 1 2 0 -0.0191461
2 1 2 1 0.1429585
2 1 2 2 -0.0198455
2 2 0 0 0.8301579
2 2 1 0 0.0054885
2 2 1 1 0.6549665
2 2 2 0 0.0022787
2 2 2 1 -0.0198455
2 2 2 2 0.6507222
3 0 0 0 -0.1384454
3 0 1 0 -0.0180981
3 0 1 1 -0.0105110
3 0 2 0 -0.0003506
3 0 2 1 0.0020997
3 0 2 2 -0.0059939
3 0 3 0 0.0248406
3 0 3 1 -0.0232854
3 0 3 2 0.0007028
3 0 3 3 0.0095559
3 1 0 0 -0.1159751
3 1 1 0 -0.0064620
3 1 1 1 -0.0117413
3 1 2 0 0.0021359
3 1 2 1 -0.0002845
3 1 2 2 0.0051667
3 1 3 0 -0.0232854
3 1 3 1 0.1408374
3 1 3 2 0.0055966
3 1 3 3 -0.0901594
3 2 0 0 -0.0265034
3 2 1 0 -0.0002187
3 2 1 1 -0.0093597
3 2 2 0 0.0023047
3 2 2 1 0.0212166
3 2 2 2 -0.0100990
3 2 3 0 0.0007028
3 2 3 1 0.0055966
3 2 3 2 0.0472741
3 2 3 3 -0.0092339
3 3 0 0 1.0042759
3 3 1 0 0.0112858
3 3 1 1 0.7018247
3 3 2 0 -0.0021849
3 3 2 1 0.0038962
3 3 2 2 0.6168529
3 3 3 0 0.0095559
3 3 3 1 -0.0901594
3 3 3 2 -0.0092339
3 3 3 3 0.7769364
4 0 0 0 0.0818048
4 0 1 0 0.0084448
4 0 1 1 0.0113300
4 0 2 0 -0.0007090
4 0 2 1 -0.0004749
4 0 2 2 0.0023644
4 0 3 0 -0.0014442
4 0 3 1 -0.0043724
4 0 3 2 0.0001406
4 0 3 3 0.0041036
4 0 4 0 0.0272881
4 0 4 1 -0.0306881
4 0 4 2 0.0019905
4 0 4 3 0.0089751
4 0 4 4 -0.0097617
4 1 0 0 0.0217358
4 1 1 0 0.0055113
4 1 1 1 -0.0304233
4 1 2 0 -0.0003427
4 1 2 1 0.0023016
4 1 2 2 -0.0022899
4 1 3 0 -0.0034618
4 1 3 1 0.0105078
4 1 3 2 -0.0015338
4 1 3 3 0.0014553
4 1 4 0 -0.0306881
4 1 4 1 0.1377953
4 1 4 2 -0.0071979
4 1 4 3 -0.0307540
4 1 4 4 0.0520126
4 2 0 0 -0.0043173
4 2 1 0 -0.0005573
4 2 1 1 0.0014350
4 2 2 0 -0.0026044
4 2 2 1 0.0050027
4 2 2 2 -0.0011237
4 2 3 0 0.0005518
4 2 3 1 -0.0014970
4 2 3 2 -0.0025252
4 2 3 3 -0.0009926
4 2 4 0 0.0019905
4 2 4 1 -0.0071979
4 2 4 2 0.0324920
4 2 4 3 -0.0003427
4 2 4 4 -0.0049060
4 3 0 0 0.0194730
4 3 1 0 -0.0015441
4 3 1 1 0.0212155
4 3 2 0 0.0003785
4 3 2 1 -0.0018558
4 3 2 2 0.0082667
4 3 3 0 -0.0034001
4 3 3 1 0.0078000
4 3 3 2 -0.0006799
4 3 3 3 0.0053634
4 3 4 0 0.0089751
4 3 4 1 -0.0307540
4 3 4 2 -0.0003427
4 3 4 3 0.0497165
4 3 4 4 0.0017928
4 4 0 0 1.1116336
4 4 1 0 0.0136046
4 4 1 1 0.7405600
4 4 2 0 -0.0007390
4 4 2 1 -0.0089666
4 4 2 2 0.6418812
4 4 3 0 -0.0051286
4 4 3 1 -0.0556590
4 4 3 2 -0.0138430
4 4 3 3 0.7266399
4 4 4 0 -0.0097617
4 4 4 1 0.0520126
4 4 4 2 -0.0049060
4 4 4 3 0.0017928
4 4 4 4 0.8903236
5 0 0 0 0.2350627
5 0 1 0 0.0353295
5 0 1 1 0.0024294
5 0 2 0 0.0006960
5 0 2 1 -0.0049777
5 0 2 2 0.0010838
5 0 3 0 0.0022826
5 0 3 1 -0.0193949
5 0 3 2 0.0010191
5 0 3 3 0.0143687
5 0 4 0 0.0026941
5 0 4 1 0.0053223
5 0 4 2 -0.0010086
5 0 4 3 -0.0044616
5 0 4 4 0.0079964
5 0 5 0 0.0307774
5 0 5 1 -0.0066251
5 0 5 2 0.0012344
5 0 5 3 -0.0000196
5 0 5 4 -0.0006461
5 0 5 5 -0.0082861
5 1 0 0 0.2950108
5 1 1 0 0.0071140
5 1 1 1 0.1354995
5 1 2 0 -0.0036368
5 1 2 1 0.0056387
5 1 2 2 0.0770664
5 1 3 0 -0.0159062
5 1 3 1 0.0191487
5 1 3 2 -0.0151303
5 1 3 3 0.0952741
5 1 4 0 0.0068532
5 1 4 1 -0.0126884
5 1 4 2 0.0022328
5 1 4 3 0.0178026
5 1 4 4 0.1445125
5 1 5 0 -0.0066251
5 1 5 1 0.0951046
5 1 5 2 0.0181237
5 1 5 3 0.0596568
5 1 5 4 -0.0107221
5 1 5 5 0.0858102
5 2 0 0 0.0564042
5 2 1 0 0.0008367
5 2 1 1 0.0189431
5 2 2 0 -0.0035932
5 2 2 1 -0.0337705
5 2 2 2 0.0201616
5 2 3 0 0.0021445
5 2 3 1 -0.0239940
5 2 3 2 -0.0256659
5 2 3 3 0.0207348
5 2 4 0 -0.0001845
5 2 4 1 0.0028731
5 2 4 2 0.0038064
5 2 4 3 -0.0005957
5 2 4 4 0.0314172
5 2 5 0 0.0012344
5 2 5 1 0.0181237
5 2 5 2 0.0695017
5 2 5 3 0.0247399
5 2 5 4 -0.0040805
5 2 5 5 -0.0226426
5 3 0 0 0.2235704
5 3 1 0 0.0032430
5 3 1 1 0.0951336
5 3 2 0 0.0023316
5 3 2 1 -0.0247239
5 3 2 2 0.0532621
5 3 3 0 -0.0052849
5 3 3 1 -0.0189144
5 3 3 2 -0.0095188
5 3 3 3 0.1139152
5 3 4 0 -0.0028228
5 3 4 1 0.0203837
5 3 4 2 -0.0016877
5 3 4 3 -0.0007068
5 3 4 4 0.1214740
5 3 5 0 -0.0000196
5 3 5 1 0.0596568
5 3 5 2 0.0247399
5 3 5 3 0.0745751
5 3 5 4 -0.0035207
5 3 5 5 0.0389749
5 4 0 0 -0.0353127
5 4 1 0 0.0013740
5 4 1 1 -0.0258877
5 4 2 0 -0.0006475
5 4 2 1 0.0044358
5 4 2 2 -0.0076019
5 4 3 0 -0.0046472
5 4 3 1 0.0238706
5 4 3 2 0.0005320
5 4 3 3 -0.0220327
5 4 4 0 -0.0140434
5 4 4 1 0.0504685
5 4 4 2 0.0022095
5 4 4 3 0.0063860
5 4 4 4 -0.0094778
5 4 5 0 -0.0006461
5 4 5 1 -0.0107221
5 4 5 2 -0.0040805
5 4 5 3 -0.0035207
5 4 5 4 0.0376107
5 4 5 5 -0.0038405
5 5 0 0 0.7976090
5 5 1 0 0.0077669
5 5 1 1 0.6096947
5 5 2 0 -0.0038462
5 5 2 1 0.0327313
5 5 2 2 0.5711476
5 5 3 0 -0.0189152
5 5 3 1 0.0615233
5 5 3 2 0.0136253
5 5 3 3 0.5655511
5 5 4 0 0.0063448
5 5 4 1 -0.0160680
5 5 4 2 -0.0011917
5 5 4 3 0.0129904
5 5 4 4 0.5807123
5 5 5 0 -0.0082861
5 5 5 1 0.0858102
5 5 5 2 -0.0226426
5 5 5 3 0.0389749
5 5 5 4 -0.0038405
5 5 5 5 0.6095684
6 0 0 0 -0.0605389
6 0 1 0 -0.0080698
6 0 1 1 -0.0037051
6 0 2 0 0.0158709
6 0 2 1 -0.0224030
6 0 2 2 0.0023229
6 0 3 0 0.0005237
6 0 3 1 0.0032102
