NMONOMER	1
NELEC	10
ENUC	9.194968
NBASIS	7
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-81.356227
ENERGIES
-20.832222
-1.884567
-1.226518
-1.081561
-1.007689
0.017436
0.151440

OEI
-33.349634	
-0.566948	-8.338450	
0.027823	0.044545	-7.072171	
0.199939	0.412758	0.085494	-7.672769	
-0.082314	-0.041709	0.016973	-0.083591	-8.085643	
-0.304714	-1.350487	-0.216108	-1.086487	0.154487	-5.920176	
0.058781	0.173380	-1.706313	0.112723	-0.058803	-0.160434	-6.082162	

ENV_OEI
-0.646577	
0.000226	-0.642672	
0.002448	-0.039030	-0.618823	
-0.003430	0.043722	-0.002804	-0.653778	
-0.005107	0.047241	0.003604	-0.014534	-0.637823	
-0.001281	-0.009416	0.022619	-0.015374	0.010114	-0.604599	
0.002947	0.000495	-0.038174	0.026296	-0.006679	-0.037921	-0.591413	

OVERLAP
1.000000	
0.236704	1.000000	
0.053978	0.474807	1.000000	
0.053978	0.474807	0.251717	1.000000	
0.000000	0.000000	-0.226162	0.171162	1.000000	
0.000000	0.000000	0.300144	-0.128471	0.000000	1.000000	
0.000000	0.000000	-0.116484	-0.330157	0.000000	0.000000	1.000000	

MOCOEFF
0.994086	0.026734	-0.006029	-0.005928	-0.000781	0.001444	-0.003903	
0.235306	-0.847275	-0.166999	-0.131539	0.077115	-0.014334	0.100738	
-0.011452	0.050170	-0.435505	0.412373	0.414454	-0.400820	-0.256423	
-0.087601	0.466915	-0.298702	-0.221342	-0.100613	-0.421075	0.683626	
0.035321	-0.160652	0.040091	0.049371	-0.748631	-0.552989	-0.330401	
0.131854	-0.879690	0.922128	0.658776	0.191199	-0.390660	0.598443	
-0.025316	0.166309	0.693245	-0.983118	0.599743	-0.625118	-0.421658	

ERI
0 0 0 0 4.7441860
1 0 0 0 0.4213616
1 0 1 0 0.0594360
1 0 1 1 0.0136122
1 1 0 0 1.0128815
1 1 1 0 0.0136122
1 1 1 1 0.7319521
2 0 0 0 -0.0204085
2 0 1 0 -0.0025147
2 0 1 1 -0.0018381
2 0 2 0 0.0119063
2 0 2 1 -0.0186754
2 0 2 2 0.0015741
2 1 0 0 -0.0140978
2 1 1 0 -0.0011611
2 1 1 1 0.0044497
2 1 2 0 -0.0186754
2 1 2 1 0.1440027
2 1 2 2 -0.0137841
2 2 0 0 0.8189585
2 2 1 0 0.0050676
2 2 1 1 0.6515148
2 2 2 0 0.0015741
2 2 2 1 -0.0137841
2 2 2 2 0.6436517
3 0 0 0 -0.1561152
3 0 1 0 -0.0198109
3 0 1 1 -0.0128761
3 0 2 0 -0.0001394
3 0 2 1 0.0016581
3 0 2 2 -0.0061989
3 0 3 0 0.0259480
3 0 3 1 -0.0217936
3 0 3 2 0.0004622
3 0 3 3 0.0105180
3 1 0 0 -0.1199126
3 1 1 0 -0.0076387
3 1 1 1 -0.0042878
3 1 2 0 0.0016210
3 1 2 1 -0.0003996
3 1 2 2 0.0060596
3 1 3 0 -0.0217936
3 1 3 1 0.1348196
3 1 3 2 0.0041236
3 1 3 3 -0.0968747
3 2 0 0 -0.0191534
3 2 1 0 -0.0000944
3 2 1 1 -0.0070381
3 2 2 0 0.0028002
3 2 2 1 0.0204686
3 2 2 2 -0.0066180
3 2 3 0 0.0004622
3 2 3 1 0.0041236
3 2 3 2 0.0470735
3 2 3 3 -0.0070620
3 3 0 0 1.0040912
3 3 1 0 0.0121651
3 3 1 1 0.6925124
3 3 2 0 -0.0017316
3 3 2 1 0.0022755
3 3 2 2 0.6104101
3 3 3 0 0.0105180
3 3 3 1 -0.0968747
3 3 3 2 -0.0070620
3 3 3 3 0.7808933
4 0 0 0 0.0625620
4 0 1 0 0.0065340
4 0 1 1 0.0083490
4 0 2 0 -0.0005041
4 0 2 1 -0.0001676
4 0 2 2 0.0017831
4 0 3 0 -0.0012692
4 0 3 1 -0.0037005
4 0 3 2 0.0000364
4 0 3 3 0.0035209
4 0 4 0 0.0267535
4 0 4 1 -0.0314852
4 0 4 2 0.0015270
4 0 4 3 0.0106770
4 0 4 4 -0.0075966
4 1 0 0 0.0187932
4 1 1 0 0.0041141
4 1 1 1 -0.0214203
4 1 2 0 -0.0000892
4 1 2 1 0.0011336
4 1 2 2 -0.0016612
4 1 3 0 -0.0030526
4 1 3 1 0.0093188
4 1 3 2 -0.0005404
4 1 3 3 0.0004431
4 1 4 0 -0.0314852
4 1 4 1 0.1411939
4 1 4 2 -0.0056878
4 1 4 3 -0.0368265
4 1 4 4 0.0417097
4 2 0 0 -0.0044957
4 2 1 0 -0.0003442
4 2 1 1 -0.0000304
4 2 2 0 -0.0018819
4 2 2 1 0.0029533
4 2 2 2 -0.0009431
4 2 3 0 0.0003148
4 2 3 1 -0.0004271
4 2 3 2 -0.0024132
4 2 3 3 -0.0013360
4 2 4 0 0.0015270
4 2 4 1 -0.0056878
4 2 4 2 0.0310541
4 2 4 3 0.0000805
4 2 4 4 -0.0040520
4 3 0 0 0.0164979
4 3 1 0 -0.0013864
4 3 1 1 0.0184476
4 3 2 0 0.0001583
4 3 2 1 -0.0007187
4 3 2 2 0.0066810
4 3 3 0 -0.0022740
4 3 3 1 0.0042427
4 3 3 2 -0.0003751
4 3 3 3 0.0051517
4 3 4 0 0.0106770
4 3 4 1 -0.0368265
4 3 4 2 0.0000805
4 3 4 3 0.0516346
4 3 4 4 0.0008216
4 4 0 0 1.1127124
4 4 1 0 0.0127778
4 4 1 1 0.7437856
4 4 2 0 -0.0005108
4 4 2 1 -0.0078216
4 4 2 2 0.6371369
4 4 3 0 -0.0051762
4 4 3 1 -0.0600319
4 4 3 2 -0.0099442
4 4 3 3 0.7278799
4 4 4 0 -0.0075966
4 4 4 1 0.0417097
4 4 4 2 -0.0040520
4 4 4 3 0.0008216
4 4 4 4 0.8855672
5 0 0 0 0.2371252
5 0 1 0 0.0356567
5 0 1 1 0.0019060
5 0 2 0 0.0005693
5 0 2 1 -0.0038758
5 0 2 2 0.0005810
5 0 3 0 0.0011193
5 0 3 1 -0.0197828
5 0 3 2 0.0009238
5 0 3 3 0.0162617
5 0 4 0 0.0019894
5 0 4 1 0.0042187
5 0 4 2 -0.0006278
5 0 4 3 -0.0036651
5 0 4 4 0.0073083
5 0 5 0 0.0310483
5 0 5 1 -0.0065809
5 0 5 2 0.0009286
5 0 5 3 0.0000096
5 0 5 4 -0.0004324
5 0 5 5 -0.0082669
5 1 0 0 0.3008163
5 1 1 0 0.0070340
5 1 1 1 0.1382378
5 1 2 0 -0.0027657
5 1 2 1 0.0040327
5 1 2 2 0.0768205
5 1 3 0 -0.0170159
5 1 3 1 0.0202348
5 1 3 2 -0.0116278
5 1 3 3 0.0934593
5 1 4 0 0.0053182
5 1 4 1 -0.0093513
5 1 4 2 0.0008091
5 1 4 3 0.0149764
5 1 4 4 0.1503225
5 1 5 0 -0.0065809
5 1 5 1 0.0976306
5 1 5 2 0.0143023
5 1 5 3 0.0601747
5 1 5 4 -0.0091004
5 1 5 5 0.0900628
5 2 0 0 0.0442750
5 2 1 0 0.0006989
5 2 1 1 0.0144899
5 2 2 0 -0.0034369
5 2 2 1 -0.0364150
5 2 2 2 0.0144761
5 2 3 0 0.0015597
5 2 3 1 -0.0180944
5 2 3 2 -0.0267612
5 2 3 3 0.0174736
5 2 4 0 -0.0000275
5 2 4 1 0.0011727
5 2 4 2 0.0034355
5 2 4 3 -0.0004538
5 2 4 4 0.0245830
5 2 5 0 0.0009286
5 2 5 1 0.0143023
5 2 5 2 0.0702689
5 2 5 3 0.0190066
5 2 5 4 -0.0023850
5 2 5 5 -0.0167412
5 3 0 0 0.2208131
5 3 1 0 0.0027543
5 3 1 1 0.0954351
5 3 2 0 0.0018487
5 3 2 1 -0.0191874
5 3 2 2 0.0490564
5 3 3 0 -0.0042936
5 3 3 1 -0.0227435
