NMONOMER	1
NELEC	10
ENUC	9.194967
NBASIS	7
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-83.854692
ENERGIES
-21.233824
-2.214959
-1.583341
-1.378306
-1.317993
-0.416326
-0.158658

OEI
-33.567877	
-0.533469	-8.499755	
0.141287	0.355379	-7.118809	
-0.249519	-0.477185	-0.182407	-7.823358	
0.049627	0.018194	-0.010540	-0.044570	-8.309836	
-0.233849	-1.231927	-0.718992	0.797528	-0.039143	-6.994938	
-0.151876	-0.530030	1.399491	0.662288	-0.075918	0.474892	-6.121736	

ENV_OEI
-0.864135	
0.000912	-0.927410	
0.004188	-0.146550	-0.971328	
-0.000664	0.039981	0.073158	-0.877596	
0.003569	-0.035946	-0.003186	-0.009471	-0.854273	
0.007154	0.034695	0.175937	-0.086917	0.002908	-1.038155	
-0.005288	-0.023370	-0.009025	0.071914	-0.008864	0.082768	-0.778093	

OVERLAP
1.000000	
0.236704	1.000000	
0.053978	0.474807	1.000000	
0.053978	0.474807	0.251717	1.000000	
0.000000	0.000000	-0.144609	-0.220978	1.000000	
0.000000	0.000000	-0.290722	-0.005356	0.000000	1.000000	
0.000000	0.000000	0.222202	-0.325491	0.000000	0.000000	1.000000	

MOCOEFF
0.994232	0.026142	-0.006068	-0.005783	-0.003207	-0.002943	-0.000738	
0.225486	-0.797120	-0.253740	-0.102218	0.080837	0.125972	0.023214	
-0.060179	0.305436	-0.639667	0.339138	-0.105731	0.216833	-0.462638	
0.110092	-0.575068	0.345014	0.258033	-0.656893	-0.264439	-0.281200	
-0.021531	0.096613	-0.019487	-0.029027	-0.555185	0.682368	0.466576	
0.103428	-0.703315	0.966343	0.336420	0.493692	0.702567	-0.342652	
0.066425	-0.449861	-0.335409	1.154655	0.320444	-0.214578	0.805932	

ERI
0 0 0 0 4.7452243
1 0 0 0 0.4030570
1 0 1 0 0.0547075
1 0 1 1 0.0110260
1 1 0 0 0.9821632
1 1 1 0 0.0110260
1 1 1 1 0.7233940
2 0 0 0 -0.1075404
2 0 1 0 -0.0140806
2 0 1 1 -0.0055860
2 0 2 0 0.0122882
2 0 2 1 -0.0130706
2 0 2 2 0.0032812
2 1 0 0 -0.1037714
2 1 1 0 -0.0041598
2 1 1 1 -0.0098739
2 1 2 0 -0.0130706
2 1 2 1 0.1426126
2 1 2 2 -0.0191513
2 2 0 0 0.7632820
2 2 1 0 0.0041404
2 2 1 1 0.6271108
2 2 2 0 0.0032812
2 2 2 1 -0.0191513
2 2 2 2 0.6219770
3 0 0 0 0.1958703
3 0 1 0 0.0235533
3 0 1 1 0.0151817
3 0 2 0 -0.0033521
3 0 2 1 -0.0068064
3 0 2 2 0.0082976
3 0 3 0 0.0287079
3 0 3 1 -0.0171200
3 0 3 2 0.0033614
3 0 3 3 -0.0115240
3 1 0 0 0.1415086
3 1 1 0 0.0088945
3 1 1 1 0.0023791
3 1 2 0 -0.0058124
3 1 2 1 0.0022768
3 1 2 2 -0.0159832
3 1 3 0 -0.0171200
3 1 3 1 0.1181035
3 1 3 2 -0.0060465
3 1 3 3 0.1102388
3 2 0 0 0.0371654
3 2 1 0 -0.0011368
3 2 1 1 0.0191451
3 2 2 0 -0.0015759
3 2 2 1 -0.0350486
3 2 2 2 0.0044451
3 2 3 0 0.0033614
3 2 3 1 -0.0060465
3 2 3 2 0.0497552
3 2 3 3 0.0155651
3 3 0 0 0.9949620
3 3 1 0 0.0132647
3 3 1 1 0.6641529
3 3 2 0 -0.0065141
3 3 2 1 -0.0281795
3 3 2 2 0.5764631
3 3 3 0 -0.0115240
3 3 3 1 0.1102388
3 3 3 2 0.0155651
3 3 3 3 0.7788445
4 0 0 0 -0.0380746
4 0 1 0 -0.0037248
4 0 1 1 -0.0048642
4 0 2 0 0.0011153
4 0 2 1 0.0010521
4 0 2 2 -0.0010857
4 0 3 0 -0.0011986
4 0 3 1 -0.0025798
4 0 3 2 0.0004479
4 0 3 3 -0.0025100
4 0 4 0 0.0262909
4 0 4 1 -0.0310477
4 0 4 2 0.0077336
4 0 4 3 -0.0140419
