NMONOMER	1
NELEC	10
ENUC	9.194967
NBASIS	7
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-82.014897
ENERGIES
-21.034969
-2.021341
-1.385796
-1.187124
-1.129797
-0.210450
0.015355

OEI
-33.389514	
-0.539285	-8.333081	
0.111848	0.282329	-6.961597	
-0.251818	-0.475311	-0.157079	-7.631081	
0.035928	0.013993	-0.011562	-0.033216	-8.135558	
-0.248143	-1.256670	-0.688542	0.867853	-0.032175	-6.658672	
-0.138827	-0.501686	1.460103	0.594873	-0.054754	0.431300	-6.037840	

ENV_OEI
-0.685842	
0.000654	-0.730771	
0.003468	-0.114010	-0.766722	
-0.001047	0.036187	0.058100	-0.695445	
0.002566	-0.025825	-0.002979	-0.006767	-0.679129	
0.005470	0.028720	0.140799	-0.071512	0.001059	-0.835666	
-0.004380	-0.020546	-0.012998	0.060915	-0.005353	0.078310	-0.628450	

OVERLAP
1.000000	
0.236704	1.000000	
0.053978	0.474807	1.000000	
0.053978	0.474807	0.251717	1.000000	
0.000000	0.000000	-0.144609	-0.220978	1.000000	
0.000000	0.000000	-0.290722	-0.005356	0.000000	1.000000	
0.000000	0.000000	0.222202	-0.325491	0.000000	0.000000	1.000000	

MOCOEFF
0.994217	0.026203	-0.006046	-0.005818	-0.003245	-0.002893	-0.000776	
0.227450	-0.806918	-0.232861	-0.113258	0.087887	0.115399	0.024213	
-0.047573	0.242462	-0.601471	0.359538	-0.101255	0.233721	-0.481003	
0.111069	-0.579762	0.341220	0.265153	-0.635480	-0.311659	-0.264377	
-0.015597	0.070187	-0.013432	-0.022602	-0.580328	0.672597	0.454248	
0.109243	-0.739170	0.978903	0.379774	0.499361	0.680854	-0.292226	
0.060650	-0.410397	-0.385276	1.132322	0.309701	-0.238873	0.827461	

ERI
0 0 0 0 4.7451176
1 0 0 0 0.4066486
1 0 1 0 0.0556266
1 0 1 1 0.0115116
1 1 0 0 0.9884815
1 1 1 0 0.0115116
1 1 1 1 0.7247342
2 0 0 0 -0.0850146
2 0 1 0 -0.0112284
2 0 1 1 -0.0045081
2 0 2 0 0.0114994
2 0 2 1 -0.0144300
2 0 2 2 0.0028435
2 1 0 0 -0.0824684
2 1 1 0 -0.0033513
2 1 1 1 -0.0083306
2 1 2 0 -0.0144300
2 1 2 1 0.1428811
2 1 2 2 -0.0165747
2 2 0 0 0.7699056
2 2 1 0 0.0040446
2 2 1 1 0.6311104
2 2 2 0 0.0028435
2 2 2 1 -0.0165747
2 2 2 2 0.6228685
3 0 0 0 0.1975771
3 0 1 0 0.0238706
3 0 1 1 0.0158286
3 0 2 0 -0.0025476
3 0 2 1 -0.0056192
3 0 2 2 0.0076888
3 0 3 0 0.0287130
3 0 3 1 -0.0169555
3 0 3 2 0.0025246
3 0 3 3 -0.0114034
3 1 0 0 0.1413611
3 1 1 0 0.0092263
3 1 1 1 0.0007843
3 1 2 0 -0.0047826
3 1 2 1 0.0023723
3 1 2 2 -0.0128557
3 1 3 0 -0.0169555
3 1 3 1 0.1182852
3 1 3 2 -0.0037002
3 1 3 3 0.1094342
3 2 0 0 0.0323367
3 2 1 0 -0.0008813
3 2 1 1 0.0168684
3 2 2 0 -0.0022700
3 2 2 1 -0.0308131
