NMONOMER	1
NELEC	8
ENUC	8.484879
NBASIS	8
HOMO	1
LUMO	1
ENT	5
HF_ENERGY	-35.684328
ENERGIES
-11.052800
-0.802579
-0.531492
-0.528971
0.752619
0.753466
0.800342
1000000.638521

OEI
-18.482072	
-0.261332	-4.537961	
-0.002425	-0.001780	-4.116367	
0.000787	0.000185	0.000489	-4.116576	
0.008694	0.031760	-0.656284	0.419422	-3.530780	
0.005166	0.016809	-0.418250	-0.657505	-0.002467	-3.530115	
-0.310476	-0.924417	-0.032914	0.003348	-0.000033	-0.000592	-3.424340	
-0.160630	0.151369	0.001249	-0.000356	0.000408	-0.000194	0.000730	999996.184005	

ENV_OEI
-4.809235	
-0.504880	-0.286315	
-0.004850	0.001498	-0.180576	
0.001532	-0.000442	0.000068	-0.178269	
0.018015	0.007523	-0.109149	0.071097	-0.255041	
0.010727	0.003981	-0.068935	-0.110859	-0.001061	-0.254436	
-0.651430	-0.237879	-0.007477	0.001039	0.004882	0.002332	-0.349289	
-0.312224	0.004326	0.002479	-0.000686	0.002258	0.000555	-0.018930	-0.259610	

OVERLAP
1.000000	
0.248362	1.000000	
0.068397	0.514086	1.000000	
0.068399	0.514093	0.187054	1.000000	
0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	-0.359412	0.147430	-0.153210	1.000000	
0.000000	0.000000	0.111715	-0.449159	0.033386	0.000000	1.000000	
0.000000	0.000000	-0.298976	-0.086993	0.454141	0.000000	0.000000	1.000000	

MOCOEFF
0.996527	0.018351	-0.007009	-0.007026	-0.006996	-0.020921	-0.017452	0.003913	
0.177450	-0.451836	-0.242563	-0.247736	-0.240569	0.290271	0.246662	-0.052331	
0.001665	-0.005460	-0.251207	0.495358	-0.247233	0.338022	-0.431000	-0.135984	
-0.000523	0.001775	-0.426886	-0.000859	0.429053	0.146960	-0.055163	0.544743	
-0.006329	0.042416	-0.064650	-0.897241	0.896048	0.399020	-0.685395	-0.812550	
-0.003758	0.024482	1.023250	-0.566664	-0.494709	0.606420	-0.567681	0.774589	
0.226986	-1.506716	0.800684	0.750752	0.802054	0.425718	0.309482	-0.085122	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.647102	-0.538791	0.121573	

ERI
0 0 0 0 3.5230006
1 0 0 0 0.2345912
1 0 1 0 0.0286090
1 0 1 1 -0.0030297
1 1 0 0 0.6942605
1 1 1 0 -0.0030297
1 1 1 1 0.5715754
2 0 0 0 0.0021873
2 0 1 0 0.0002013
2 0 1 1 0.0001598
2 0 2 0 0.0083466
2 0 2 1 -0.0117330
2 0 2 2 0.0028043
2 1 0 0 0.0007472
2 1 1 0 0.0000570
2 1 1 1 -0.0012092
2 1 2 0 -0.0117330
2 1 2 1 0.1153788
2 1 2 2 -0.0506813
2 2 0 0 0.6402316
2 2 1 0 0.0015391
2 2 1 1 0.5089490
2 2 2 0 0.0028043
2 2 2 1 -0.0506813
2 2 2 2 0.5432494
3 0 0 0 -0.0006911
3 0 1 0 -0.0000587
3 0 1 1 -0.0000590
3 0 2 0 -0.0000127
3 0 2 1 0.0000014
3 0 2 2 -0.0000414
3 0 3 0 0.0084022
3 0 3 1 -0.0117347
3 0 3 2 -0.0030890
3 0 3 3 0.0000868
3 1 0 0 -0.0001215
3 1 1 0 -0.0000200
3 1 1 1 0.0004247
