NMONOMER	1
NELEC	8
ENUC	8.486917
NBASIS	8
HOMO	1
LUMO	1
ENT	5
HF_ENERGY	-35.684655
ENERGIES
-11.052870
-0.802905
-0.531404
-0.529339
0.752843
0.753594
0.800975
1000000.638510

OEI
-18.482412	
-0.261368	-4.538616	
-0.002309	-0.001984	-4.116618	
-0.000698	-0.000289	-0.000992	-4.117407	
0.012522	0.042410	-0.773483	0.083260	-3.533006	
0.003853	0.013836	-0.083251	-0.774980	0.000757	-3.528017	
0.310325	0.924251	0.039076	0.008278	0.001234	0.000323	-3.424634	
0.160651	-0.151337	-0.001120	-0.000314	-0.000222	-0.000348	0.001158	999996.183932	

ENV_OEI
-4.809240	
-0.504951	-0.286351	
-0.004641	0.001489	-0.180525	
-0.001367	0.000462	0.000056	-0.178442	
0.025976	0.010221	-0.128315	0.013473	-0.255861	
0.008006	0.003460	-0.014624	-0.130875	0.000005	-0.253731	
0.651225	0.237839	0.008471	0.001861	-0.005942	-0.001935	-0.349324	
0.312225	-0.004307	-0.002440	-0.000696	-0.002291	-0.001186	-0.018854	-0.259648	

OVERLAP
1.000000	
0.248362	1.000000	
0.068434	0.514224	1.000000	
0.068355	0.513931	0.187098	1.000000	
0.068404	0.514114	0.187337	0.187153	1.000000	
0.000000	0.000000	0.196034	-0.193587	0.339751	1.000000	
0.000000	0.000000	0.317411	-0.362003	-0.171707	0.000000	1.000000	
0.000000	0.000000	-0.303212	-0.249878	0.293504	0.000000	0.000000	1.000000	

MOCOEFF
0.996527	0.018359	-0.007005	-0.007023	-0.007011	0.019569	-0.012397	-0.014879	
0.177474	-0.451848	-0.240756	-0.247292	-0.242695	-0.270985	0.176322	0.207821	
0.001593	-0.005118	-0.276491	0.494419	-0.220391	-0.377376	-0.383039	-0.171918	
0.000467	-0.001445	-0.410389	-0.034099	0.443587	0.128594	-0.328338	0.443932	
-0.009108	0.059902	0.450315	-1.065832	0.521935	-0.763400	-0.706960	-0.455498	
-0.002813	0.018627	0.908840	-0.051373	-0.886969	0.182238	-0.738486	0.842592	
-0.226915	1.506805	-0.815932	-0.741705	-0.795798	0.407396	-0.202828	-0.280441	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	-0.605123	0.382416	0.459783	

ERI
0 0 0 0 3.5229966
1 0 0 0 0.2346238
1 0 1 0 0.0286137
1 0 1 1 -0.0030279
1 1 0 0 0.6942844
1 1 1 0 -0.0030279
1 1 1 1 0.5716305
2 0 0 0 0.0020898
2 0 1 0 0.0001939
2 0 1 1 0.0001467
2 0 2 0 0.0083500
2 0 2 1 -0.0117340
2 0 2 2 0.0027556
2 1 0 0 0.0007865
2 1 1 0 0.0000518
2 1 1 1 -0.0010542
2 1 2 0 -0.0117340
2 1 2 1 0.1152641
2 1 2 2 -0.0497253
2 2 0 0 0.6402907
2 2 1 0 0.0015424
2 2 1 1 0.5088755
2 2 2 0 0.0027556
2 2 2 1 -0.0497253
2 2 2 2 0.5434331
3 0 0 0 0.0006136
3 0 1 0 0.0000529
3 0 1 1 0.0000488
3 0 2 0 0.0000197
3 0 2 1 -0.0000062
3 0 2 2 -0.0005861
3 0 3 0 0.0084048
3 0 3 1 -0.0117441
3 0 3 2 -0.0030241
3 0 3 3 0.0005492
3 1 0 0 0.0001563
3 1 1 0 0.0000168
3 1 1 1 -0.0003141
3 1 2 0 -0.0000087
3 1 2 1 -0.0003576
3 1 2 2 0.0104713
3 1 3 0 -0.0117441
3 1 3 1 0.1137952
