NMONOMER	1
NELEC	8
ENUC	8.484879
NBASIS	8
HOMO	1
LUMO	1
ENT	5
HF_ENERGY	-35.578305
ENERGIES
-11.037377
-0.794447
-0.523767
-0.522050
0.761379
0.762026
0.808175
1000000.646922

OEI
-18.457874	
-0.260420	-4.523424	
-0.001535	-0.001084	-4.102899	
0.000412	-0.000099	0.000315	-4.102427	
0.003053	0.012410	-0.578362	0.519167	-3.523674	
0.004641	0.015449	-0.518385	-0.578526	-0.001286	-3.524479	
-0.311089	-0.923691	-0.018236	-0.002196	0.000344	-0.000494	-3.419338	
-0.160479	0.151180	0.000750	-0.000155	0.000409	-0.000121	0.001143	999996.196192	

ENV_OEI
-4.784989	
-0.502799	-0.275145	
-0.003039	0.000888	-0.170117	
0.000772	-0.000225	0.000058	-0.168469	
0.006324	0.002856	-0.093889	0.084944	-0.244566	
0.009640	0.003613	-0.083557	-0.094300	-0.000594	-0.244720	
-0.652334	-0.233930	-0.004196	-0.000158	0.002039	0.002128	-0.341060	
-0.312748	0.004006	0.001677	-0.000349	0.001204	0.000578	-0.018465	-0.247423	

OVERLAP
1.000000	
0.248362	1.000000	
0.068397	0.514086	1.000000	
0.068399	0.514093	0.187054	1.000000	
0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	-0.359412	0.147430	-0.153210	1.000000	
0.000000	0.000000	0.111715	-0.449159	0.033386	0.000000	1.000000	
0.000000	0.000000	-0.298976	-0.086993	0.454141	0.000000	0.000000	1.000000	

MOCOEFF
0.996511	0.018433	-0.007035	-0.007043	-0.007025	-0.020957	-0.017466	0.003926	
0.176938	-0.448166	-0.244830	-0.248078	-0.243720	0.290081	0.244675	-0.053093	
0.001051	-0.003475	-0.231116	0.497635	-0.268511	0.328094	-0.426795	-0.160604	
-0.000264	0.000965	-0.441461	0.022532	0.419655	0.162251	-0.075064	0.533954	
-0.002222	0.015333	-0.265981	-0.747093	0.989424	0.269150	-0.547390	-0.959561	
-0.003378	0.022098	0.991299	-0.736020	-0.289631	0.680428	-0.697259	0.587504	
0.227545	-1.508372	0.796759	0.766138	0.789658	0.418051	0.322479	-0.076221	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.647102	-0.538791	0.121573	

ERI
0 0 0 0 3.5229131
1 0 0 0 0.2339653
1 0 1 0 0.0284523
1 0 1 1 -0.0030262
1 1 0 0 0.6929236
1 1 1 0 -0.0030262
1 1 1 1 0.5705168
2 0 0 0 0.0013845
2 0 1 0 0.0001259
2 0 1 1 0.0001024
2 0 2 0 0.0082871
2 0 2 1 -0.0116629
2 0 2 2 0.0028515
2 1 0 0 0.0004410
2 1 1 0 0.0000361
2 1 1 1 -0.0007738
2 1 2 0 -0.0116629
2 1 2 1 0.1152419
2 1 2 2 -0.0511669
2 2 0 0 0.6390927
2 2 1 0 0.0015177
2 2 1 1 0.5081087
2 2 2 0 0.0028515
2 2 2 1 -0.0511669
2 2 2 2 0.5434913
3 0 0 0 -0.0003521
3 0 1 0 -0.0000280
3 0 1 1 -0.0000331
3 0 2 0 -0.0000093
3 0 2 1 0.0000007
3 0 2 2 0.0003891
3 0 3 0 0.0083155
3 0 3 1 -0.0116587
3 0 3 2 -0.0030295
3 0 3 3 -0.0003690
3 1 0 0 -0.0000133
3 1 1 0 -0.0000106
3 1 1 1 0.0002329
3 1 2 0 0.0000029
3 1 2 1 0.0002031
3 1 2 2 -0.0069610
3 1 3 0 -0.0116587
3 1 3 1 0.1141921
3 1 3 2 0.0523647
3 1 3 3 0.0067562
3 2 0 0 -0.0001389
3 2 1 0 -0.0000097
3 2 1 1 0.0001760
3 2 2 0 0.0004129
3 2 2 1 -0.0070232
3 2 2 2 -0.0000352
3 2 3 0 -0.0030295
3 2 3 1 0.0523647
3 2 3 2 0.0454049
3 2 3 3 -0.0001672
3 3 0 0 0.6396038
3 3 1 0 0.0015578
3 3 1 1 0.5071991
3 3 2 0 -0.0029501
3 3 2 1 0.0523130
3 3 2 2 0.4551761
3 3 3 0 -0.0003690
3 3 3 1 0.0067562
3 3 3 2 -0.0001672
3 3 3 3 0.5445137
4 0 0 0 -0.0029232
4 0 1 0 -0.0004138
4 0 1 1 0.0001694
4 0 2 0 0.0097121
4 0 2 1 -0.0122756
4 0 2 2 0.0023836
4 0 3 0 -0.0087204
4 0 3 1 0.0109813
4 0 3 2 0.0030328
4 0 3 3 -0.0025748
4 0 4 0 0.0206586
4 0 4 1 -0.0091724
4 0 4 2 0.0000486
4 0 4 3 -0.0043719
4 0 4 4 0.0010673
4 1 0 0 -0.0038129
4 1 1 0 -0.0000070
4 1 1 1 -0.0011683
4 1 2 0 -0.0046447
4 1 2 1 -0.0075649
4 1 2 2 0.0161217
4 1 3 0 0.0041838
4 1 3 1 0.0063269
4 1 3 2 0.0197344
4 1 3 3 -0.0177116
4 1 4 0 -0.0091724
4 1 4 1 0.0423788
4 1 4 2 -0.0007306
4 1 4 3 -0.0122606
4 1 4 4 -0.0214295
4 2 0 0 0.1840208
4 2 1 0 0.0044603
4 2 1 1 0.0367989
4 2 2 0 -0.0017614
4 2 2 1 0.0320101
4 2 2 2 0.0241337
4 2 3 0 -0.0020989
4 2 3 1 0.0369288
4 2 3 2 0.0120230
4 2 3 3 0.0508707
4 2 4 0 0.0000486
4 2 4 1 -0.0007306
4 2 4 2 0.0827241
4 2 4 3 -0.0409913
4 2 4 4 0.0398690
4 3 0 0 -0.1651613
4 3 1 0 -0.0039866
4 3 1 1 -0.0336663
4 3 2 0 -0.0021337
4 3 2 1 0.0369959
4 3 2 2 -0.0451578
4 3 3 0 0.0018564
4 3 3 1 -0.0311511
4 3 3 2 -0.0130675
4 3 3 3 -0.0216427
4 3 4 0 -0.0043719
4 3 4 1 -0.0122606
4 3 4 2 -0.0409913
4 3 4 3 0.0730848
4 3 4 4 -0.0371317
4 4 0 0 0.7431317
4 4 1 0 0.0071774
4 4 1 1 0.5039132
4 4 2 0 0.0002211
4 4 2 1 -0.0006402
4 4 2 2 0.5067238
4 4 3 0 -0.0006601
4 4 3 1 -0.0305728
4 4 3 2 -0.0336759
4 4 3 3 0.4982714
4 4 4 0 0.0010673
4 4 4 1 -0.0214295
4 4 4 2 0.0398690
4 4 4 3 -0.0371317
4 4 4 4 0.5624789
5 0 0 0 -0.0044212
5 0 1 0 -0.0005647
5 0 1 1 0.0001044
5 0 2 0 0.0087040
5 0 2 1 -0.0110249
5 0 2 2 0.0028140
5 0 3 0 0.0097201
5 0 3 1 -0.0122572
5 0 3 2 -0.0025777
5 0 3 3 -0.0029590
5 0 4 0 0.0000240
5 0 4 1 0.0000109
5 0 4 2 -0.0044166
5 0 4 3 0.0000070
5 0 4 4 -0.0009923
5 0 5 0 0.0206847
5 0 5 1 -0.0091718
5 0 5 2 -0.0001597
5 0 5 3 0.0044130
5 0 5 4 -0.0006498
5 0 5 5 0.0012598
5 1 0 0 -0.0046913
5 1 1 0 -0.0000132
5 1 1 1 -0.0016385
5 1 2 0 -0.0041599
5 1 2 1 -0.0069312
5 1 2 2 0.0187812
5 1 3 0 -0.0046558
5 1 3 1 -0.0072350
5 1 3 2 -0.0168529
5 1 3 3 -0.0207863
5 1 4 0 0.0000081
5 1 4 1 0.0001396
5 1 4 2 -0.0144783
5 1 4 3 0.0000354
5 1 4 4 0.0209775
5 1 5 0 -0.0091718
5 1 5 1 0.0424282
5 1 5 2 -0.0014914
5 1 5 3 0.0117789
5 1 5 4 0.0210665
5 1 5 5 -0.0227612
5 2 0 0 0.1649632
5 2 1 0 0.0040045
5 2 1 1 0.0327456
5 2 2 0 -0.0020438
5 2 2 1 0.0374362
5 2 2 2 0.0215458
5 2 3 0 0.0017772
5 2 3 1 -0.0314923
5 2 3 2 -0.0136124
5 2 3 3 0.0458620
5 2 4 0 -0.0043487
5 2 4 1 -0.0143908
5 2 4 2 0.0416795
5 2 4 3 -0.0043416
5 2 4 4 0.0516770
5 2 5 0 -0.0001597
5 2 5 1 -0.0014914
5 2 5 2 0.0739066
5 2 5 3 0.0408822
5 2 5 4 -0.0104071
5 2 5 5 0.0357432
5 3 0 0 0.1840703
5 3 1 0 0.0044508
5 3 1 1 0.0372495
5 3 2 0 0.0018401
5 3 2 1 -0.0316267
5 3 2 2 0.0501970
5 3 3 0 0.0021968
5 3 3 1 -0.0364428
5 3 3 2 -0.0115315
5 3 3 3 0.0244323
5 3 4 0 -0.0002255
5 3 4 1 -0.0005193
5 3 4 2 0.0136161
5 3 4 3 -0.0418251
5 3 4 4 0.0579333
5 3 5 0 0.0044130
5 3 5 1 0.0117789
5 3 5 2 0.0408822
5 3 5 3 0.0817847
5 3 5 4 0.0088402
5 3 5 5 0.0420703
5 4 0 0 0.0003490
5 4 1 0 0.0000097
5 4 1 1 0.0004158
5 4 2 0 -0.0002906
5 4 2 1 -0.0339776
5 4 2 2 0.0348702
5 4 3 0 -0.0000441
5 4 3 1 -0.0005733
5 4 3 2 0.0040087
5 4 3 3 -0.0349826
5 4 4 0 -0.0006095
5 4 4 1 0.0224385
5 4 4 2 -0.0090036
5 4 4 3 -0.0101732
5 4 4 4 0.0004966
5 4 5 0 -0.0006498
5 4 5 1 0.0210665
5 4 5 2 -0.0104071
5 4 5 3 0.0088402
5 4 5 4 0.0390944
5 4 5 5 0.0009165
5 5 0 0 0.7435282
5 5 1 0 0.0071888
5 5 1 1 0.5041647
5 5 2 0 0.0002577
5 5 2 1 -0.0025623
5 5 2 2 0.4998310
5 5 3 0 0.0007512
5 5 3 1 0.0296469
5 5 3 2 0.0333725
5 5 3 3 0.5052168
5 5 4 0 -0.0009074
5 5 4 1 0.0198693
5 5 4 2 0.0572562
5 5 4 3 -0.0522547
5 5 4 4 0.4890379
5 5 5 0 0.0012598
5 5 5 1 -0.0227612
5 5 5 2 0.0357432
5 5 5 3 0.0420703
5 5 5 4 0.0009165
5 5 5 5 0.5621523
6 0 0 0 0.2975258
6 0 1 0 0.0360846
6 0 1 1 -0.0019616
6 0 2 0 0.0004285
6 0 2 1 -0.0002909
6 0 2 2 0.0021146
6 0 3 0 0.0000102
6 0 3 1 -0.0000723
6 0 3 2 -0.0000136
6 0 3 3 0.0019997
6 0 4 0 -0.0002592
6 0 4 1 -0.0001353
6 0 4 2 0.0049402
6 0 4 3 -0.0045325
6 0 4 4 0.0082317
6 0 5 0 -0.0003803
6 0 5 1 -0.0001790
6 0 5 2 0.0044426
6 0 5 3 0.0050686
6 0 5 4 -0.0000058
6 0 5 5 0.0082570
6 0 6 0 0.0459486
6 0 6 1 0.0020589
6 0 6 2 0.0000044
6 0 6 3 -0.0000079
6 0 6 4 -0.0001088
6 0 6 5 -0.0001684
6 0 6 6 0.0023339
6 1 0 0 0.2781850
6 1 1 0 0.0009317
6 1 1 1 0.1066981
6 1 2 0 -0.0000656
6 1 2 1 0.0001980
6 1 2 2 0.0598137
6 1 3 0 -0.0000417
6 1 3 1 -0.0001117
6 1 3 2 -0.0001519
6 1 3 3 0.0592973
6 1 4 0 -0.0000687
6 1 4 1 -0.0010997
6 1 4 2 0.0519076
6 1 4 3 -0.0467652
6 1 4 4 0.0670452
6 1 5 0 -0.0001441
6 1 5 1 -0.0011726
6 1 5 2 0.0466298
6 1 5 3 0.0522161
6 1 5 4 0.0004634
6 1 5 5 0.0668197
6 1 6 0 0.0020589
6 1 6 1 0.1031983
6 1 6 2 0.0022275
6 1 6 3 0.0004427
6 1 6 4 -0.0003046
6 1 6 5 -0.0005336
6 1 6 6 0.0870003
6 2 0 0 0.0056904
6 2 1 0 0.0001337
6 2 1 1 0.0016939
6 2 2 0 -0.0051229
6 2 2 1 -0.0285113
6 2 2 2 0.0321574
6 2 3 0 0.0000138
6 2 3 1 -0.0002188
6 2 3 2 0.0041310
6 2 3 3 -0.0299784
6 2 4 0 -0.0055071
6 2 4 1 0.0324596
6 2 4 2 -0.0154728
6 2 4 3 -0.0203353
6 2 4 4 0.0011455
6 2 5 0 -0.0049187
6 2 5 1 0.0291892
6 2 5 2 -0.0184970
6 2 5 3 0.0177095
6 2 5 4 0.0360798
6 2 5 5 0.0029704
6 2 6 0 0.0000044
6 2 6 1 0.0022275
6 2 6 2 0.0528951
6 2 6 3 0.0001301
6 2 6 4 -0.0261782
6 2 6 5 -0.0237450
6 2 6 6 -0.0001962
6 3 0 0 0.0007354
6 3 1 0 0.0000164
6 3 1 1 0.0000216
6 3 2 0 0.0000134
6 3 2 1 -0.0002084
6 3 2 2 0.0044047
6 3 3 0 -0.0050455
6 3 3 1 -0.0297994
6 3 3 2 -0.0318885
6 3 3 3 -0.0040980
6 3 4 0 0.0048447
6 3 4 1 -0.0293086
6 3 4 2 -0.0200052
6 3 4 3 0.0163532
6 3 4 4 0.0356139
6 3 5 0 -0.0053803
6 3 5 1 0.0327590
6 3 5 2 0.0173831
6 3 5 3 0.0194400
6 3 5 4 0.0008027
6 3 5 5 -0.0348540
6 3 6 0 -0.0000079
6 3 6 1 0.0004427
6 3 6 2 0.0001301
6 3 6 3 0.0546606
6 3 6 4 0.0255094
6 3 6 5 -0.0287140
6 3 6 6 -0.0002820
6 4 0 0 0.0000310
6 4 1 0 0.0001090
6 4 1 1 -0.0012888
6 4 2 0 -0.0087927
6 4 2 1 0.0741887
6 4 2 2 -0.0308495
6 4 3 0 0.0078900
6 4 3 1 -0.0670370
6 4 3 2 -0.0383004
6 4 3 3 0.0316957
6 4 4 0 -0.0174167
6 4 4 1 -0.0176795
6 4 4 2 -0.0010736
6 4 4 3 0.0498964
6 4 4 4 0.0228675
6 4 5 0 -0.0000272
6 4 5 1 0.0003780
6 4 5 2 0.0508470
6 4 5 3 0.0012578
6 4 5 4 -0.0267198
6 4 5 5 -0.0243963
6 4 6 0 -0.0001088
6 4 6 1 -0.0003046
6 4 6 2 -0.0261782
6 4 6 3 0.0255094
6 4 6 4 0.1039930
6 4 6 5 -0.0013691
6 4 6 6 0.0016731
6 5 0 0 0.0002589
6 5 1 0 0.0001153
6 5 1 1 -0.0010014
6 5 2 0 -0.0078750
6 5 2 1 0.0667259
6 5 2 2 -0.0364950
6 5 3 0 -0.0087868
6 5 3 1 0.0749375
6 5 3 2 0.0329362
6 5 3 3 0.0371745
6 5 4 0 -0.0000264
6 5 4 1 0.0003652
6 5 4 2 0.0509491
6 5 4 3 0.0010107
6 5 4 4 -0.0259864
6 5 5 0 -0.0174164
6 5 5 1 -0.0179637
6 5 5 2 0.0015035
6 5 5 3 -0.0496413
6 5 5 4 -0.0248367
6 5 5 5 0.0235924
6 5 6 0 -0.0001684
6 5 6 1 -0.0005336
6 5 6 2 -0.0237450
6 5 6 3 -0.0287140
6 5 6 4 -0.0013691
6 5 6 5 0.1044586
6 5 6 6 0.0025889
6 6 0 0 0.7194792
6 6 1 0 0.0010547
6 6 1 1 0.5379778
6 6 2 0 -0.0003865
6 6 2 1 0.0037405
6 6 2 2 0.4905652
6 6 3 0 -0.0001155
6 6 3 1 0.0008662
6 6 3 2 0.0001954
6 6 3 3 0.4941299
6 6 4 0 -0.0003539
6 6 4 1 -0.0014043
6 6 4 2 0.0290311
