NMONOMER	1
NELEC	8
ENUC	8.486917
NBASIS	8
HOMO	1
LUMO	1
ENT	5
HF_ENERGY	-35.578598
ENERGIES
-11.037341
-0.794739
-0.523684
-0.522173
0.761556
0.762032
0.808777
1000000.646945

OEI
-18.458202	
-0.260460	-4.524081	
-0.001405	-0.001239	-4.103281	
-0.000278	0.000012	-0.000795	-4.103097	
0.008043	0.026929	-0.767690	0.116267	-3.525457	
0.001545	0.005793	-0.116522	-0.768200	0.000611	-3.522849	
0.311007	0.923701	0.024468	0.001496	0.000963	0.000137	-3.419624	
0.160501	-0.151136	-0.000618	-0.000092	-0.000219	-0.000327	0.001576	999996.196123	

ENV_OEI
-4.784982	
-0.502871	-0.275181	
-0.002797	0.000912	-0.170097	
-0.000518	0.000189	0.000055	-0.168602	
0.016704	0.006438	-0.124247	0.018545	-0.245238	
0.003223	0.001479	-0.019525	-0.125416	0.000020	-0.244112	
0.652244	0.233931	0.005178	0.000384	-0.003663	-0.000790	-0.341144	
0.312749	-0.003987	-0.001656	-0.000278	-0.001418	-0.000695	-0.018402	-0.247457	

OVERLAP
1.000000	
0.248362	1.000000	
0.068434	0.514224	1.000000	
0.068355	0.513931	0.187098	1.000000	
0.068404	0.514114	0.187337	0.187153	1.000000	
0.000000	0.000000	0.196034	-0.193587	0.339751	1.000000	
0.000000	0.000000	0.317411	-0.362003	-0.171707	0.000000	1.000000	
0.000000	0.000000	-0.303212	-0.249878	0.293504	0.000000	0.000000	1.000000	

MOCOEFF
0.996510	0.018443	-0.007035	-0.007041	-0.007037	0.019606	-0.012401	-0.014899	
0.176962	-0.448175	-0.243988	-0.247623	-0.244892	-0.271024	0.174274	0.207077	
0.000967	-0.003094	-0.313973	0.492098	-0.179435	-0.361505	-0.409707	-0.131446	
0.000177	-0.000548	-0.386376	-0.078819	0.464913	0.161656	-0.290227	0.454595	
-0.005853	0.038368	0.504273	-1.054829	0.490540	-0.760718	-0.738984	-0.411206	
-0.001132	0.007507	0.889407	0.003456	-0.904976	0.216341	-0.704200	0.866205	
-0.227514	1.508705	-0.802880	-0.757075	-0.792934	0.398213	-0.217832	-0.282294	
