NMONOMER	1
NELEC	8
ENUC	8.484879
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.660729
ENERGIES
-11.058071
-0.803496
-0.531673
-0.528842
0.749896
0.750638
0.798878
1000000.635552

OEI
-18.480496	
-0.261039	-4.537381	
-0.002538	-0.001931	-4.116083	
0.000827	0.000225	0.000407	-4.115921	
0.010300	0.037210	-0.718342	0.299524	-3.531270	
0.003601	0.011175	-0.298505	-0.719956	-0.001969	-3.529062	
-0.310385	-0.924065	-0.035516	0.004322	-0.000566	-0.000620	-3.424051	
-0.160504	0.151051	0.001297	-0.000374	0.000327	-0.000262	0.000890	999996.184222	

ENV_OEI
-4.807669	
-0.504710	-0.285821	
-0.005064	0.001439	-0.180256	
0.001611	-0.000439	0.000078	-0.177895	
0.021402	0.008834	-0.119188	0.050756	-0.255009	
0.007501	0.002642	-0.048992	-0.121250	-0.000842	-0.253694	
-0.651337	-0.237536	-0.007901	0.001213	0.005426	0.001437	-0.348871	
-0.312247	0.004245	0.002478	-0.000705	0.002369	0.000142	-0.018943	-0.259392	

OVERLAP
1.000000	
0.248362	1.000000	
0.068397	0.514086	1.000000	
0.068399	0.514093	0.187054	1.000000	
0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	-0.359412	0.147430	-0.153210	1.000000	
0.000000	0.000000	0.111715	-0.449159	0.033386	0.000000	1.000000	
0.000000	0.000000	-0.298976	-0.086993	0.454141	0.000000	0.000000	1.000000	

MOCOEFF
0.996531	0.018341	-0.007012	-0.007027	-0.006999	-0.020917	-0.017446	0.003912	
0.177418	-0.451735	-0.242519	-0.248056	-0.240444	0.290048	0.246908	-0.052166	
0.001741	-0.005551	-0.254874	0.495074	-0.243953	0.339387	-0.431362	-0.131462	
-0.000551	0.001826	-0.424918	-0.004943	0.431357	0.144122	-0.051655	0.545591	
-0.007512	0.050206	0.119316	-0.986946	0.789601	0.500920	-0.777556	-0.658948	
-0.002625	0.016896	1.017755	-0.395371	-0.648731	0.524146	-0.434481	0.908875	
0.226975	-1.506610	0.801309	0.747996	0.803926	0.427292	0.307214	-0.086647	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.647102	-0.538791	0.121573	

ERI
0 0 0 0 3.5230179
1 0 0 0 0.2345278
1 0 1 0 0.0285966
1 0 1 1 -0.0030324
1 1 0 0 0.6942160
1 1 1 0 -0.0030324
1 1 1 1 0.5715510
2 0 0 0 0.0022888
2 0 1 0 0.0002086
2 0 1 1 0.0001718
2 0 2 0 0.0083470
2 0 2 1 -0.0117332
2 0 2 2 0.0027902
2 1 0 0 0.0007426
2 1 1 0 0.0000611
2 1 1 1 -0.0013172
2 1 2 0 -0.0117332
2 1 2 1 0.1154428
2 1 2 2 -0.0505387
2 2 0 0 0.6402439
2 2 1 0 0.0015355
2 2 1 1 0.5090050
2 2 2 0 0.0027902
2 2 2 1 -0.0505387
2 2 2 2 0.5431250
3 0 0 0 -0.0007279
3 0 1 0 -0.0000615
3 0 1 1 -0.0000629
3 0 2 0 -0.0000108
3 0 2 1 -0.0000002
3 0 2 2 -0.0001149
3 0 3 0 0.0083962
3 0 3 1 -0.0117259
3 0 3 2 -0.0030923
3 0 3 3 0.0001644
3 1 0 0 -0.0001228
3 1 1 0 -0.0000213
3 1 1 1 0.0004576
3 1 2 0 0.0000020
3 1 2 1 0.0002582
3 1 2 2 0.0017382
3 1 3 0 -0.0117259
3 1 3 1 0.1135901
3 1 3 2 0.0526008
3 1 3 3 -0.0022755
3 2 0 0 -0.0001618
3 2 1 0 -0.0000121
3 2 1 1 0.0002272
3 2 2 0 -0.0000690
3 2 2 1 0.0016546
3 2 2 2 0.0001695
3 2 3 0 -0.0030923
3 2 3 1 0.0526008
3 2 3 2 0.0455318
3 2 3 3 -0.0004378
3 3 0 0 0.6411587
3 3 1 0 0.0016071
3 3 1 1 0.5073967
3 3 2 0 -0.0029592
3 3 2 1 0.0525100
3 3 2 2 0.4562395
3 3 3 0 0.0001644
3 3 3 1 -0.0022755
3 3 3 2 -0.0004378
3 3 3 3 0.5449802
4 0 0 0 -0.0098504
4 0 1 0 -0.0013108
4 0 1 1 0.0003537
4 0 2 0 0.0120539
4 0 2 1 -0.0152421
4 0 2 2 0.0032798
4 0 3 0 -0.0050265
4 0 3 1 0.0063037
4 0 3 2 0.0014544
4 0 3 3 -0.0037134
4 0 4 0 0.0206337
4 0 4 1 -0.0091316
4 0 4 2 -0.0032822
4 0 4 3 -0.0029776
4 0 4 4 0.0003804
4 1 0 0 -0.0113370
4 1 1 0 -0.0000277
4 1 1 1 -0.0037844
4 1 2 0 -0.0057682
4 1 2 1 -0.0095309
4 1 2 2 0.0219192
4 1 3 0 0.0024219
4 1 3 1 0.0033962
4 1 3 2 0.0090834
4 1 3 3 -0.0267674
4 1 4 0 -0.0091316
4 1 4 1 0.0426070
4 1 4 2 -0.0137026
4 1 4 3 -0.0073666
4 1 4 4 0.0109905
4 2 0 0 0.2282598
4 2 1 0 0.0055585
4 2 1 1 0.0454705
4 2 2 0 -0.0024582
4 2 2 1 0.0466498
4 2 2 2 0.0301923
4 2 3 0 -0.0009783
4 2 3 1 0.0170754
4 2 3 2 0.0068495
4 2 3 3 0.0639380
4 2 4 0 -0.0032822
4 2 4 1 -0.0137026
4 2 4 2 0.1086682
4 2 4 3 -0.0289142
4 2 4 4 0.0458360
4 3 0 0 -0.0950925
4 3 1 0 -0.0022943
4 3 1 1 -0.0197502
4 3 2 0 -0.0009904
4 3 2 1 0.0170910
4 3 2 2 -0.0260108
4 3 3 0 0.0027946
4 3 3 1 -0.0442484
4 3 3 2 -0.0155488
4 3 3 3 -0.0125510
