NMONOMER	1
NELEC	8
ENUC	8.486917
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.653189
ENERGIES
-11.057474
-0.803610
-0.530682
-0.528500
0.749251
0.750216
0.799371
1000000.635728

OEI
-18.480932	
-0.261115	-4.538087	
-0.002403	-0.002122	-4.116244	
-0.000787	-0.000371	-0.000875	-4.116812	
0.013258	0.045017	-0.773883	0.076447	-3.532637	
0.004370	0.015633	-0.076337	-0.775599	0.000576	-3.528025	
0.310338	0.923881	0.041544	0.010013	0.001667	0.000489	-3.424394	
0.160532	-0.150932	-0.001156	-0.000355	-0.000169	-0.000338	0.001356	999996.184071	

ENV_OEI
-4.807763	
-0.504799	-0.285903	
-0.004811	0.001411	-0.180234	
-0.001542	0.000496	-0.000003	-0.178105	
0.027552	0.010858	-0.128200	0.012393	-0.255498	
0.009096	0.003896	-0.013368	-0.130777	-0.000072	-0.253442	
0.651145	0.237510	0.008853	0.002203	-0.006095	-0.002122	-0.348950	
0.312245	-0.004225	-0.002414	-0.000774	-0.002308	-0.001255	-0.018875	-0.259509	

OVERLAP
1.000000	
0.248362	1.000000	
0.068434	0.514224	1.000000	
0.068355	0.513931	0.187098	1.000000	
0.068404	0.514114	0.187337	0.187153	1.000000	
0.000000	0.000000	0.196034	-0.193587	0.339751	1.000000	
0.000000	0.000000	0.317411	-0.362003	-0.171707	0.000000	1.000000	
0.000000	0.000000	-0.303212	-0.249878	0.293504	0.000000	0.000000	1.000000	

MOCOEFF
0.996528	0.018362	-0.007013	-0.007030	-0.007019	0.019569	-0.012394	-0.014878	
0.177446	-0.451753	-0.240632	-0.247590	-0.242664	-0.270731	0.176578	0.207878	
0.001654	-0.005163	-0.263296	0.495054	-0.234866	-0.381472	-0.372034	-0.186218	
0.000527	-0.001599	-0.419464	-0.018008	0.436336	0.116236	-0.340389	0.437924	
-0.009657	0.063575	0.426412	-1.066358	0.540596	-0.766381	-0.689850	-0.476060	
-0.003194	0.021152	0.918513	-0.077102	-0.874864	0.164428	-0.755267	0.831470	
-0.226903	1.506650	-0.817726	-0.738757	-0.796618	0.409438	-0.200329	-0.279758	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	-0.605123	0.382416	0.459783	

ERI
0 0 0 0 3.5230019
1 0 0 0 0.2345674
1 0 1 0 0.0286030
1 0 1 1 -0.0030309
1 1 0 0 0.6942435
1 1 1 0 -0.0030309
1 1 1 1 0.5716070
2 0 0 0 0.0021718
2 0 1 0 0.0001994
2 0 1 1 0.0001574
2 0 2 0 0.0083483
2 0 2 1 -0.0117327
2 0 2 2 0.0027891
2 1 0 0 0.0007738
2 1 1 0 0.0000555
2 1 1 1 -0.0011524
2 1 2 0 -0.0117327
2 1 2 1 0.1153423
2 1 2 2 -0.0503991
