NMONOMER	1
NELEC	8
ENUC	8.484879
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.681132
ENERGIES
-11.052314
-0.802390
-0.531328
-0.528990
0.753039
0.753683
0.800576
1000000.638675

OEI
-18.481238	
-0.261299	-4.537539	
-0.002446	-0.001846	-4.115937	
0.000761	0.000139	0.000452	-4.116275	
0.008802	0.032082	-0.659955	0.413509	-3.530709	
0.005257	0.017104	-0.412329	-0.661119	-0.002501	-3.529854	
-0.310474	-0.924358	-0.033293	0.002999	-0.000066	-0.000608	-3.424218	
-0.160626	0.151375	0.001252	-0.000346	0.000395	-0.000201	0.000737	999996.184301	

ENV_OEI
-4.808400	
-0.504807	-0.286003	
-0.004895	0.001474	-0.180298	
0.001478	-0.000443	0.000057	-0.178017	
0.018233	0.007595	-0.109662	0.070043	-0.254800	
0.010915	0.004046	-0.067888	-0.111376	-0.001065	-0.254146	
-0.651432	-0.237741	-0.007547	0.000963	0.004904	0.002350	-0.349057	
-0.312230	0.004308	0.002458	-0.000670	0.002241	0.000542	-0.018929	-0.259314	

OVERLAP
1.000000	
0.248362	1.000000	
0.068397	0.514086	1.000000	
0.068399	0.514093	0.187054	1.000000	
0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	-0.359412	0.147430	-0.153210	1.000000	
0.000000	0.000000	0.111715	-0.449159	0.033386	0.000000	1.000000	
0.000000	0.000000	-0.298976	-0.086993	0.454141	0.000000	0.000000	1.000000	

MOCOEFF
0.996527	0.018353	-0.007010	-0.007027	-0.006997	-0.020922	-0.017453	0.003913	
0.177433	-0.451717	-0.242568	-0.247840	-0.240646	0.290223	0.246651	-0.052339	
0.001682	-0.005522	-0.249659	0.495483	-0.248907	0.337427	-0.430671	-0.137945	
-0.000505	0.001713	-0.427839	0.000941	0.428174	0.148241	-0.056763	0.544184	
-0.006404	0.042906	-0.059521	-0.900300	0.893222	0.402101	-0.688465	-0.808524	
-0.003823	0.024897	1.023227	-0.562272	-0.499701	0.604167	-0.564256	0.778850	
0.226998	-1.506730	0.801086	0.750275	0.802040	0.426081	0.309109	-0.084999	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.647102	-0.538791	0.121573	

ERI
0 0 0 0 3.5229980
1 0 0 0 0.2345716
1 0 1 0 0.0286041
1 0 1 1 -0.0030295
1 1 0 0 0.6942174
1 1 1 0 -0.0030295
1 1 1 1 0.5715419
2 0 0 0 0.0022094
2 0 1 0 0.0002036
2 0 1 1 0.0001610
2 0 2 0 0.0083437
2 0 2 1 -0.0117302
2 0 2 2 0.0028031
2 1 0 0 0.0007595
2 1 1 0 0.0000573
2 1 1 1 -0.0012182
2 1 2 0 -0.0117302
2 1 2 1 0.1153908
2 1 2 2 -0.0506881
2 2 0 0 0.6401742
2 2 1 0 0.0015376
2 2 1 1 0.5089326
2 2 2 0 0.0028031
2 2 2 1 -0.0506881
2 2 2 2 0.5432224
3 0 0 0 -0.0006668
3 0 1 0 -0.0000563
3 0 1 1 -0.0000574
3 0 2 0 -0.0000121
3 0 2 1 0.0000010
3 0 2 2 -0.0000078
3 0 3 0 0.0084012
3 0 3 1 -0.0117334
3 0 3 2 -0.0030903
3 0 3 3 0.0000515
3 1 0 0 -0.0001099
3 1 1 0 -0.0000194
3 1 1 1 0.0004121
3 1 2 0 0.0000032
3 1 2 1 0.0002618
3 1 2 2 -0.0001122
3 1 3 0 -0.0117334
3 1 3 1 0.1136465
3 1 3 2 0.0525884
3 1 3 3 -0.0003552
3 2 0 0 -0.0001880
3 2 1 0 -0.0000128
3 2 1 1 0.0002242
3 2 2 0 0.0000348
3 2 2 1 -0.0001915
3 2 2 2 0.0001083
3 2 3 0 -0.0030903
3 2 3 1 0.0525884
3 2 3 2 0.0454796
3 2 3 3 -0.0003824
3 3 0 0 0.6412459
3 3 1 0 0.0016093
3 3 1 1 0.5074742
3 3 2 0 -0.0029606
3 3 2 1 0.0525125
3 3 2 2 0.4561937
3 3 3 0 0.0000515
3 3 3 1 -0.0003552
3 3 3 2 -0.0003824
3 3 3 3 0.5449843
4 0 0 0 -0.0084032
4 0 1 0 -0.0011242
4 0 1 1 0.0003173
4 0 2 0 0.0110714
4 0 2 1 -0.0139944
4 0 2 2 0.0029836
4 0 3 0 -0.0069430
4 0 3 1 0.0087094
4 0 3 2 0.0021561
4 0 3 3 -0.0033684
4 0 4 0 0.0206157
4 0 4 1 -0.0091407
4 0 4 2 -0.0020004
4 0 4 3 -0.0039270
4 0 4 4 0.0008524
4 1 0 0 -0.0097743
4 1 1 0 -0.0000234
4 1 1 1 -0.0032376
4 1 2 0 -0.0052997
4 1 2 1 -0.0086837
4 1 2 2 0.0199625
4 1 3 0 0.0033392
4 1 3 1 0.0047842
4 1 3 2 0.0137344
4 1 3 3 -0.0241093
4 1 4 0 -0.0091407
4 1 4 1 0.0425002
4 1 4 2 -0.0089626
4 1 4 3 -0.0098838
4 1 4 4 -0.0045863
4 2 0 0 0.2096421
4 2 1 0 0.0051048
4 2 1 1 0.0418560
4 2 2 0 -0.0022341
4 2 2 1 0.0422171
4 2 2 2 0.0276973
4 2 3 0 -0.0014723
4 2 3 1 0.0257629
4 2 3 2 0.0094989
4 2 3 3 0.0586627
4 2 4 0 -0.0020004
4 2 4 1 -0.0089626
4 2 4 2 0.0972798
4 2 4 3 -0.0366636
4 2 4 4 0.0432814
4 3 0 0 -0.1313044
4 3 1 0 -0.0031737
4 3 1 1 -0.0271465
4 3 2 0 -0.0015040
4 3 2 1 0.0258160
4 3 2 2 -0.0359018
4 3 3 0 0.0025216
4 3 3 1 -0.0400910
4 3 3 2 -0.0143238
4 3 3 3 -0.0174635
4 3 4 0 -0.0039270
4 3 4 1 -0.0098838
4 3 4 2 -0.0366636
4 3 4 3 0.0585297
4 3 4 4 -0.0316012
4 4 0 0 0.7419938
4 4 1 0 0.0071562
4 4 1 1 0.5042742
4 4 2 0 0.0004101
4 4 2 1 -0.0188233
4 4 2 2 0.5195715
4 4 3 0 -0.0008073
4 4 3 1 -0.0257352
4 4 3 2 -0.0296928
4 4 3 3 0.4854971
4 4 4 0 0.0008524
4 4 4 1 -0.0045863
4 4 4 2 0.0432814
4 4 4 3 -0.0316012
4 4 4 4 0.5627063
5 0 0 0 -0.0050019
5 0 1 0 -0.0006323
5 0 1 1 0.0000991
5 0 2 0 0.0069166
5 0 2 1 -0.0087660
5 0 2 2 0.0018673
5 0 3 0 0.0111056
5 0 3 1 -0.0139542
5 0 3 2 -0.0033644
5 0 3 3 -0.0020134
5 0 4 0 0.0000500
5 0 4 1 0.0000151
5 0 4 2 -0.0039395
5 0 4 3 0.0021457
5 0 4 4 -0.0012997
5 0 5 0 0.0206000
5 0 5 1 -0.0091523
5 0 5 2 0.0018327
5 0 5 3 0.0039924
5 0 5 4 0.0003615
5 0 5 5 0.0016037
5 1 0 0 -0.0051754
5 1 1 0 -0.0000154
5 1 1 1 -0.0018430
5 1 2 0 -0.0033066
5 1 2 1 -0.0055940
5 1 2 2 0.0126873
5 1 3 0 -0.0053270
5 1 3 1 -0.0079370
5 1 3 2 -0.0219379
5 1 3 3 -0.0149153
5 1 4 0 0.0000118
5 1 4 1 0.0002498
5 1 4 2 -0.0137814
5 1 4 3 0.0052043
5 1 4 4 0.0290328
5 1 5 0 -0.0091523
5 1 5 1 0.0423350
5 1 5 2 0.0048296
5 1 5 3 0.0100561
5 1 5 4 0.0037991
5 1 5 5 -0.0309735
5 2 0 0 0.1310063
5 2 1 0 0.0031968
5 2 1 1 0.0258885
5 2 2 0 -0.0014038
5 2 2 1 0.0262944
5 2 2 2 0.0173402
5 2 3 0 0.0023222
5 2 3 1 -0.0410323
5 2 3 2 -0.0155365
5 2 3 3 0.0368238
5 2 4 0 -0.0039423
5 2 4 1 -0.0138583
5 2 4 2 0.0379685
5 2 4 3 0.0088871
5 2 4 4 0.0390623
5 2 5 0 0.0018327
5 2 5 1 0.0048296
5 2 5 2 0.0601807
5 2 5 3 0.0367277
5 2 5 4 -0.0112938
5 2 5 5 0.0288974
5 3 0 0 0.2099703
5 3 1 0 0.0050873
5 3 1 1 0.0429862
5 3 2 0 0.0024327
5 3 2 1 -0.0412498
5 3 2 2 0.0571998
5 3 3 0 0.0015803
5 3 3 1 -0.0252083
5 3 3 2 -0.0088742
5 3 3 3 0.0284389
5 3 4 0 0.0016987
5 3 4 1 0.0041676
5 3 4 2 0.0268608
5 3 4 3 -0.0382435
5 3 4 4 0.0670971
5 3 5 0 0.0039924
5 3 5 1 0.0100561
5 3 5 2 0.0367277
5 3 5 3 0.0957223
5 3 5 4 0.0087740
5 3 5 5 0.0471502
5 4 0 0 0.0006734
5 4 1 0 0.0000163
5 4 1 1 0.0007337
5 4 2 0 -0.0000923
5 4 2 1 -0.0320487
5 4 2 2 0.0321341
5 4 3 0 0.0003888
