NMONOMER	1
NELEC	8
ENUC	8.484879
NBASIS	8
HF_ENERGY	-31.776035
ENERGIES
-9.824107
-0.613992
-0.416437
-0.412219
0.897889
0.900684
1.014725
1000000.535787

OEI
-17.056437	
-0.250670	-4.154077	
-0.002906	-0.001636	-3.889238	
-0.007186	-0.004095	0.000017	-3.894210	
-0.008337	-0.029859	0.723545	0.113001	-3.409010	
-0.013475	-0.047251	-0.113800	0.726434	0.001914	-3.394568	
0.361161	0.879021	0.021924	0.051788	0.003207	0.007186	-3.343071	
-0.157852	0.144241	0.001695	0.003902	0.000608	0.000561	-0.012229	999996.155662	

OVERLAP
1.000000	
0.248362	1.000000	
0.068397	0.514086	1.000000	
0.068399	0.514093	0.187054	1.000000	
0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	-0.359412	0.147430	-0.153210	1.000000	
0.000000	0.000000	0.111715	-0.449159	0.033386	0.000000	1.000000	
0.000000	0.000000	-0.298976	-0.086993	0.454141	0.000000	0.000000	1.000000	

MOCOEFF
0.992312	0.038865	-0.013229	-0.013174	-0.013236	-0.028088	-0.023286	0.005303	
0.164402	-0.313198	-0.317544	-0.298172	-0.325233	0.259964	0.203508	-0.054052	
0.001947	-0.004517	-0.441750	-0.061346	0.495381	0.103876	-0.005264	0.500064	
0.004790	-0.012371	0.311657	-0.538570	0.210878	-0.313605	0.408200	0.069542	
0.005791	-0.033909	-0.697334	-0.247292	0.994049	-0.105866	-0.111765	-1.150737	
0.009342	-0.055142	0.745788	-0.953956	0.287443	0.758413	-0.874294	0.017157	
-0.253528	1.540503	-0.748854	-0.801558	-0.726280	-0.406007	-0.390209	0.055884	
0.117784	-0.542251	-0.000000	-0.000000	-0.000000	-0.647102	-0.538791	0.121573	

ERI
0 0 0 0 3.5004214
1 0 0 0 0.2261396
1 0 1 0 0.0258631
1 0 1 1 -0.0026741
1 1 0 0 0.6479447
1 1 1 0 -0.0026741
1 1 1 1 0.5359691
2 0 0 0 0.0026516
2 0 1 0 0.0002329
2 0 1 1 0.0001876
2 0 2 0 0.0074537
2 0 2 1 -0.0108992
2 0 2 2 0.0007919
2 1 0 0 0.0007441
2 1 1 0 0.0000719
2 1 1 1 -0.0020548
2 1 2 0 -0.0108992
2 1 2 1 0.1244013
2 1 2 2 -0.0173115
2 2 0 0 0.6172697
2 2 1 0 0.0012059
2 2 1 1 0.4969900
2 2 2 0 0.0007919
2 2 2 1 -0.0173115
2 2 2 2 0.5388218
3 0 0 0 0.0065397
3 0 1 0 0.0005845
3 0 1 1 0.0004429
3 0 2 0 0.0000079
3 0 2 1 -0.0000018
3 0 2 2 0.0030868
3 0 3 0 0.0076637
3 0 3 1 -0.0108845
3 0 3 2 -0.0011440
3 0 3 3 -0.0035441
3 1 0 0 0.0019655
3 1 1 0 0.0001562
3 1 1 1 -0.0044987
3 1 2 0 -0.0000029
3 1 2 1 0.0001637
3 1 2 2 -0.0559679
3 1 3 0 -0.0108845
3 1 3 1 0.1171931
3 1 3 2 0.0200101
3 1 3 3 0.0614686
3 2 0 0 0.0000139
3 2 1 0 -0.0000034
3 2 1 1 0.0001638
3 2 2 0 0.0027146
3 2 2 1 -0.0556535
3 2 2 2 -0.0021359
3 2 3 0 -0.0011440
3 2 3 1 0.0200101
3 2 3 2 0.0458274
3 2 3 3 0.0019333
3 3 0 0 0.6210431
3 3 1 0 0.0014619
3 3 1 1 0.4907959
3 3 2 0 -0.0009928
3 3 2 1 0.0198684
3 3 2 2 0.4416601
3 3 3 0 -0.0035441
3 3 3 1 0.0614686
3 3 3 2 0.0019333
3 3 3 3 0.5457599
4 0 0 0 0.0078951
4 0 1 0 0.0010655
4 0 1 1 -0.0004950
4 0 2 0 -0.0126872
4 0 2 1 0.0167061
4 0 2 2 -0.0017666
4 0 3 0 -0.0019707
4 0 3 1 0.0025624
4 0 3 2 -0.0037226
4 0 3 3 0.0023581
4 0 4 0 0.0224159
4 0 4 1 -0.0084086
4 0 4 2 -0.0028825
4 0 4 3 -0.0040368
4 0 4 4 0.0004677
4 1 0 0 0.0095622
4 1 1 0 0.0000360
4 1 1 1 0.0019101
4 1 2 0 0.0054163
4 1 2 1 0.0215413
4 1 2 2 -0.0115145
4 1 3 0 0.0008636
4 1 3 1 0.0029569
4 1 3 2 -0.0258895
4 1 3 3 0.0155292
4 1 4 0 -0.0084086
4 1 4 1 0.0449734
4 1 4 2 -0.0128444
4 1 4 3 -0.0126354
4 1 4 4 -0.0199281
4 2 0 0 -0.2382862
4 2 1 0 -0.0059952
4 2 1 1 -0.0343108
4 2 2 0 0.0010590
4 2 2 1 -0.0241126
4 2 2 2 -0.0222313
4 2 3 0 0.0021511
4 2 3 1 -0.0441090
4 2 3 2 0.0025209
4 2 3 3 -0.0647991
4 2 4 0 -0.0028825
4 2 4 1 -0.0128444
4 2 4 2 0.1149990
4 2 4 3 0.0129423
4 2 4 4 -0.0605764
4 3 0 0 -0.0371710
4 3 1 0 -0.0009284
4 3 1 1 -0.0059105
4 3 2 0 0.0024430
4 3 2 1 -0.0446566
4 3 2 2 -0.0102082
4 3 3 0 -0.0013432
4 3 3 1 0.0222679
4 3 3 2 0.0180363
4 3 3 3 -0.0029609
4 3 4 0 -0.0040368
4 3 4 1 -0.0126354
4 3 4 2 0.0129423
4 3 4 3 0.0365332
4 3 4 4 -0.0079334
4 4 0 0 0.7648165
4 4 1 0 0.0083041
4 4 1 1 0.4976167
4 4 2 0 0.0001828
4 4 2 1 -0.0240466
4 4 2 2 0.5330459
4 4 3 0 -0.0003142
4 4 3 1 -0.0252216
4 4 3 2 0.0114443
4 4 3 3 0.4674749
4 4 4 0 0.0004677
4 4 4 1 -0.0199281
4 4 4 2 -0.0605764
4 4 4 3 -0.0079334
4 4 4 4 0.5757051
5 0 0 0 0.0127486
5 0 1 0 0.0017044
5 0 1 1 -0.0007766
5 0 2 0 0.0020089
5 0 2 1 -0.0026193
5 0 2 2 -0.0041516
5 0 3 0 -0.0127617
5 0 3 1 0.0164095
5 0 3 2 0.0022880
5 0 3 3 0.0050855
5 0 4 0 0.0000026
5 0 4 1 0.0000066
5 0 4 2 -0.0040838
5 0 4 3 0.0029190
5 0 4 4 0.0015335
5 0 5 0 0.0222794
5 0 5 1 -0.0084826
5 0 5 2 0.0026806
5 0 5 3 0.0035043
5 0 5 4 -0.0015190
5 0 5 5 -0.0020165
5 1 0 0 0.0151532
5 1 1 0 0.0000533
5 1 1 1 0.0031349
5 1 2 0 -0.0008508
5 1 2 1 -0.0031828
5 1 2 2 -0.0228751
5 1 3 0 0.0055381
5 1 3 1 0.0177457
5 1 3 2 0.0135204
5 1 3 3 0.0290394
5 1 4 0 0.0000073
5 1 4 1 0.0000045
5 1 4 2 -0.0160284
5 1 4 3 0.0072851
5 1 4 4 -0.0171250
5 1 5 0 -0.0084826
5 1 5 1 0.0436073
5 1 5 2 0.0104202
5 1 5 3 0.0071815
5 1 5 4 0.0213252
5 1 5 5 0.0245058
5 2 0 0 0.0374857
5 2 1 0 0.0009347
5 2 1 1 0.0056588
5 2 2 0 0.0020888
5 2 2 1 -0.0463942
5 2 2 2 0.0025981
5 2 3 0 -0.0011202
5 2 3 1 0.0231730
5 2 3 2 0.0203619
5 2 3 3 0.0108274
5 2 4 0 -0.0034458
5 2 4 1 -0.0145429
5 2 4 2 -0.0118001
5 2 4 3 0.0302655
5 2 4 4 0.0150031
5 2 5 0 0.0026806
5 2 5 1 0.0104202
5 2 5 2 0.0393340
5 2 5 3 -0.0129170
5 2 5 4 0.0116707
5 2 5 5 0.0070733
5 3 0 0 -0.2389963
5 3 1 0 -0.0059159
5 3 1 1 -0.0396504
5 3 2 0 -0.0012977
5 3 2 1 0.0234925
5 3 2 2 -0.0610792
5 3 3 0 -0.0025538
5 3 3 1 0.0432271
5 3 3 2 -0.0021435
5 3 3 3 -0.0219212
5 3 4 0 0.0026479
5 3 4 1 0.0066409
5 3 4 2 0.0476076
5 3 4 3 0.0118810
5 3 4 4 -0.0818595
5 3 5 0 0.0035043
5 3 5 1 0.0071815
5 3 5 2 -0.0129170
5 3 5 3 0.1140498
