NMONOMER	1
NELEC	8
ENUC	8.486917
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.682182
ENERGIES
-11.051791
-0.802528
-0.530451
-0.528453
0.752350
0.753069
0.801001
1000000.638783

OEI
-18.481724	
-0.261378	-4.538297	
-0.002285	-0.001949	-4.116278	
-0.000680	-0.000264	-0.000991	-4.117038	
0.012427	0.042049	-0.773401	0.084046	-3.532953	
0.003746	0.013471	-0.084065	-0.774870	0.000763	-3.528010	
0.310456	0.924238	0.038729	0.007952	0.001235	0.000316	-3.424554	
0.160653	-0.151247	-0.001108	-0.000305	-0.000225	-0.000349	0.001209	999996.184105	

ENV_OEI
-4.808544	
-0.504906	-0.286118	
-0.004581	0.001482	-0.180317	
-0.001327	0.000456	0.000060	-0.178243	
0.025783	0.010130	-0.128226	0.013589	-0.255671	
0.007787	0.003372	-0.014756	-0.130748	0.000010	-0.253558	
0.651279	0.237740	0.008394	0.001790	-0.005892	-0.001886	-0.349171	
0.312227	-0.004287	-0.002410	-0.000678	-0.002257	-0.001166	-0.018867	-0.259475	

OVERLAP
1.000000	
0.248362	1.000000	
0.068434	0.514224	1.000000	
0.068355	0.513931	0.187098	1.000000	
0.068404	0.514114	0.187337	0.187153	1.000000	
0.000000	0.000000	0.196034	-0.193587	0.339751	1.000000	
0.000000	0.000000	0.317411	-0.362003	-0.171707	0.000000	1.000000	
0.000000	0.000000	-0.303212	-0.249878	0.293504	0.000000	0.000000	1.000000	

MOCOEFF
0.996524	0.018375	-0.007012	-0.007029	-0.007018	0.019575	-0.012399	-0.014883	
0.177464	-0.451756	-0.240853	-0.247283	-0.242752	-0.270999	0.176258	0.207796	
0.001573	-0.005056	-0.278284	0.494399	-0.218527	-0.376711	-0.384367	-0.170024	
0.000453	-0.001400	-0.409317	-0.036199	0.444635	0.130181	-0.326627	0.444543	
-0.009040	0.059451	0.453488	-1.065688	0.519320	-0.762987	-0.709304	-0.452708	
-0.002736	0.018121	0.907498	-0.047784	-0.888430	0.184620	-0.736211	0.844164	
-0.226939	1.506857	-0.815568	-0.742069	-0.795791	0.407197	-0.203223	-0.280432	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	-0.605123	0.382416	0.459783	

ERI
0 0 0 0 3.5229813
1 0 0 0 0.2346148
1 0 1 0 0.0286114
1 0 1 1 -0.0030281
1 1 0 0 0.6942526
1 1 1 0 -0.0030281
1 1 1 1 0.5716036
2 0 0 0 0.0020643
2 0 1 0 0.0001916
2 0 1 1 0.0001447
2 0 2 0 0.0083475
2 0 2 1 -0.0117312
2 0 2 2 0.0027503
2 1 0 0 0.0007773
2 1 1 0 0.0000511
2 1 1 1 -0.0010382
2 1 2 0 -0.0117312
2 1 2 1 0.1152563
2 1 2 2 -0.0496239
2 2 0 0 0.6402405
2 2 1 0 0.0015415
2 2 1 1 0.5088449
2 2 2 0 0.0027503
2 2 2 1 -0.0496239
2 2 2 2 0.5434424
3 0 0 0 0.0005961
3 0 1 0 0.0000512
3 0 1 1 0.0000476
3 0 2 0 0.0000197
3 0 2 1 -0.0000063
3 0 2 2 -0.0006236
