NMONOMER	2
NELEC	16
ENUC	29.167358
NBASIS	16
HF_ENERGY	-70.875018
ENERGIES
-11.051611
-11.049637
-0.804269
-0.800305
-0.553423
-0.536411
-0.521633
-0.500665
0.728877
0.747659
0.761414
0.771141
0.787828
0.831383
875086.988049
1124914.316050

OEI
-20.042581	
-0.000390	-20.041450	
0.280028	-0.001945	-5.920989	
0.000269	0.264412	0.000508	-5.904647	
0.001794	0.029898	0.005604	0.126526	-5.624932	
-0.002041	-0.000262	0.004809	-0.002471	-0.002264	-5.533201	
-0.000039	-0.000949	-0.002443	-0.003205	-0.043100	-0.004689	-5.515533	
0.012159	-0.000507	-0.174816	0.010308	-0.004419	0.056108	0.002119	-5.641089	
-0.006876	-0.086233	0.021317	0.287127	-0.686231	-0.012571	-0.267848	-0.002426	-5.123228	
-0.030045	0.002051	0.101445	-0.004147	-0.014397	0.890459	-0.026334	0.336483	0.001074	-4.938851	
-0.006029	0.041141	0.021688	-0.090509	-0.387496	0.019846	0.887875	-0.021065	-0.004083	-0.000862	-4.938826	
-0.094290	0.000052	0.287358	-0.001546	0.025472	0.207255	-0.040017	-0.793955	-0.000740	0.012054	-0.001933	-4.963120	
-0.013871	-0.308486	0.037236	0.909210	0.290695	0.002822	0.190975	0.012237	-0.053681	-0.003510	-0.072259	0.002343	-4.768616	
-0.300824	0.014431	0.905882	-0.039834	0.010081	-0.144955	-0.006201	0.108996	0.003980	-0.022078	0.006379	0.164225	0.000148	-4.857754	
0.163967	-0.009269	0.064446	-0.003336	-0.000460	0.000280	-0.002543	-0.151128	-0.000502	0.043391	0.001077	-0.067194	0.000808	0.042231	875080.675599	
-0.007576	-0.133752	-0.005224	-0.099232	-0.063906	0.001197	0.003554	-0.000276	-0.075729	-0.002225	-0.028163	0.000754	-0.041079	0.000776	0.000171	1124908.191950	

OVERLAP
1.000000	
0.248362	1.000000	
0.068434	0.514224	1.000000	
0.068355	0.513931	0.187098	1.000000	
0.068404	0.514114	0.187337	0.187153	1.000000	
0.000000	0.001278	0.000123	0.002177	0.000376	1.000000	
0.001278	0.049588	0.007745	0.051136	0.015833	0.248362	1.000000	
0.000326	0.014444	0.003644	0.022869	0.002815	0.068397	0.514086	1.000000	
0.002292	0.052990	0.007033	0.096608	0.025562	0.068399	0.514093	0.187054	1.000000	
0.000135	0.008204	0.001164	0.006996	0.004423	0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	0.196034	-0.193587	0.339751	-0.002756	-0.067352	-0.022380	-0.057749	-0.010492	1.000000	
0.000000	0.000000	0.317411	-0.362003	-0.171707	-0.000344	-0.008412	-0.000286	-0.037549	-0.000847	0.000000	1.000000	
0.000000	0.000000	-0.303212	-0.249878	0.293504	0.001280	0.031268	0.002927	0.025607	0.008249	0.000000	0.000000	1.000000	
0.002756	0.067352	0.010228	0.052658	0.024327	0.000000	0.000000	-0.359412	0.147430	-0.153210	-0.079998	-0.012526	0.046564	1.000000	
0.000344	0.008412	0.003706	-0.014515	-0.000744	0.000000	0.000000	0.111715	-0.449159	0.033386	-0.012526	0.018735	0.005815	0.000000	1.000000	
-0.001280	-0.031268	-0.006508	-0.045658	-0.003324	0.000000	0.000000	-0.298976	-0.086993	0.454141	0.046564	0.005815	-0.001318	0.000000	0.000000	1.000000	

MOCOEFF
0.743194	0.014163	-0.005138	-0.005200	-0.005235	-0.663547	-0.012729	0.004664	0.004628	0.004578	0.013962	-0.009374	-0.010802	0.013244	0.011578	-0.002262	
0.663842	0.011815	-0.004735	-0.004619	-0.004672	0.743459	0.013333	-0.005238	-0.005191	-0.005271	0.013589	-0.008115	-0.010110	-0.016082	-0.012991	0.003141	
-0.135115	0.347846	0.180826	0.182401	0.182739	0.122254	-0.315482	-0.164786	-0.163953	-0.163240	0.193143	-0.125986	-0.146777	0.184682	0.156206	-0.032407	
-0.115531	0.290066	0.158133	0.168503	0.160956	-0.129028	0.324904	0.178979	0.187184	0.176175	0.187768	-0.123224	-0.144462	-0.221773	-0.189253	0.039450	
-0.009588	0.037104	0.253744	-0.322335	0.081456	-0.009517	0.036898	0.096501	-0.326525	0.242749	0.219114	0.317329	0.049239	-0.184926	0.284619	0.186674	
0.000835	-0.002905	-0.222316	-0.123713	0.342917	-0.000664	0.002262	-0.333190	0.106423	0.229902	0.163122	-0.148759	0.337570	0.169324	-0.128363	0.334545	
0.000032	-0.000005	-0.237056	-0.105458	0.343559	0.000182	-0.000793	0.345935	-0.091463	-0.253500	0.150873	-0.158973	0.331216	-0.165217	0.118179	-0.349580	
-0.009343	0.039673	-0.279001	0.342038	-0.057287	0.009193	-0.038998	0.074950	-0.347650	0.268040	-0.256891	-0.321859	-0.019158	-0.223214	0.273219	0.215429	
0.049861	-0.327957	-0.120797	0.844189	-0.223883	0.048061	-0.316605	-0.235281	0.837024	-0.118806	0.436313	0.507453	0.388427	-0.373642	0.666600	0.100859	
0.017354	-0.110925	-0.564678	0.038496	0.687184	-0.017318	0.110513	-0.694957	-0.048037	0.585100	-0.164335	0.502033	-0.580325	-0.224358	0.052772	-0.769784	
-0.013182	0.084100	-0.697265	0.012901	0.565426	-0.021333	0.136876	0.482890	0.072603	-0.754887	-0.104983	0.518623	-0.608333	0.097987	-0.000114	0.795016	
0.043407	-0.290013	0.570987	-0.565900	0.453308	-0.038365	0.256819	-0.506151	0.565237	-0.469223	-0.605279	-0.494149	-0.164073	-0.547944	0.525863	0.177089	
0.151043	-0.998531	0.543333	0.286601	0.707408	0.154407	-1.020742	0.725383	0.289496	0.558817	-0.424042	0.078302	0.019525	0.443220	0.028980	-0.001976	
0.154084	-1.031041	0.501625	0.763076	0.379412	-0.151724	1.015065	-0.371353	-0.767413	-0.479867	-0.106424	0.241491	0.339112	-0.125157	-0.404669	0.073528	
-0.089032	0.409883	-0.000000	-0.000000	-0.000000	0.089032	-0.409883	0.000000	0.000000	0.000000	-0.457408	0.289065	0.347546	-0.489139	-0.407267	0.091896	
0.078526	-0.361514	0.000000	0.000000	0.000000	0.078526	-0.361514	0.000000	0.000000	0.000000	0.403431	-0.254954	-0.306534	-0.431418	-0.359208	0.081052	

ERI
0 0 0 0 1.8872245
1 0 0 0 0.1857157
1 0 1 0 1.6352668
1 0 1 1 -0.1856736
1 1 0 0 1.8454458
1 1 1 0 -0.1856736
1 1 1 1 1.8880146
2 0 0 0 -0.1227581
2 0 1 0 -0.0126378
2 0 1 1 -0.1199240
2 0 2 0 0.0150092
2 0 2 1 0.0014891
2 0 2 2 0.0006310
2 1 0 0 -0.0126555
2 1 1 0 -0.1185719
2 1 1 1 0.0142739
2 1 2 0 0.0014891
2 1 2 1 0.0146547
2 1 2 2 0.0001891
2 2 0 0 0.4423931
2 2 1 0 0.0266486
2 2 1 1 0.4363607
2 2 2 0 0.0006310
2 2 2 1 0.0001891
2 2 2 2 0.3694013
3 0 0 0 -0.0128656
3 0 1 0 -0.1119458
3 0 1 1 0.0125587
3 0 2 0 0.0015525
3 0 2 1 0.0141245
3 0 2 2 0.0002745
3 0 3 0 0.0136378
3 0 3 1 -0.0014850
3 0 3 2 0.0023529
3 0 3 3 -0.0002199
3 1 0 0 -0.1137490
3 1 1 0 0.0125904
3 1 1 1 -0.1166412
3 1 2 0 0.0141515
3 1 2 1 -0.0016556
3 1 2 2 0.0010159
3 1 3 0 -0.0014850
3 1 3 1 0.0140119
3 1 3 2 -0.0002064
3 1 3 3 0.0012711
3 2 0 0 0.0285590
3 2 1 0 0.2530084
3 2 1 1 -0.0289025
3 2 2 0 0.0002257
3 2 2 1 0.0016115
3 2 2 2 0.0212327
3 2 3 0 0.0023529
3 2 3 1 -0.0002064
3 2 3 2 0.2018305
3 2 3 3 -0.0212318
3 3 0 0 0.4331823
3 3 1 0 -0.0265986
3 3 1 1 0.4392422
3 3 2 0 0.0008043
3 3 2 1 -0.0001510
3 3 2 2 0.3645012
3 3 3 0 -0.0002199
3 3 3 1 0.0012711
3 3 3 2 -0.0212318
3 3 3 3 0.3688070
4 0 0 0 -0.0015739
4 0 1 0 -0.0087997
4 0 1 1 0.0004254
4 0 2 0 0.0001443
4 0 2 1 0.0008769
4 0 2 2 -0.0000709
4 0 3 0 0.0007887
4 0 3 1 -0.0000420
4 0 3 2 -0.0002319
4 0 3 3 -0.0000333
4 0 4 0 0.0040503
4 0 4 1 0.0000135
4 0 4 2 0.0055207
4 0 4 3 0.0000497
4 0 4 4 0.0000019
4 1 0 0 -0.0094909
4 1 1 0 0.0004635
4 1 1 1 -0.0095832
4 1 2 0 0.0008727
4 1 2 1 -0.0000536
4 1 2 2 -0.0007988
4 1 3 0 -0.0000418
4 1 3 1 0.0008148
4 1 3 2 0.0000011
4 1 3 3 -0.0010013
4 1 4 0 0.0000135
4 1 4 1 0.0040419
4 1 4 2 0.0000022
4 1 4 3 0.0057016
4 1 4 4 -0.0011291
4 2 0 0 0.0019007
4 2 1 0 0.0185803
4 2 1 1 -0.0023178
4 2 2 0 -0.0000181
4 2 2 1 -0.0001008
4 2 2 2 0.0012459
4 2 3 0 -0.0001689
4 2 3 1 0.0000147
4 2 3 2 0.0142647
4 2 3 3 -0.0019056
4 2 4 0 0.0055207
4 2 4 1 0.0000022
4 2 4 2 0.0531242
4 2 4 3 0.0004818
4 2 4 4 -0.0000281
4 3 0 0 -0.0058386
4 3 1 0 -0.0009763
4 3 1 1 -0.0055924
4 3 2 0 -0.0000822
4 3 2 1 0.0000097
4 3 2 2 -0.0065364
4 3 3 0 0.0000141
4 3 3 1 -0.0000082
4 3 3 2 -0.0008925
4 3 3 3 -0.0095871
4 3 4 0 0.0000497
4 3 4 1 0.0057016
4 3 4 2 0.0004818
4 3 4 3 0.0607516
4 3 4 4 -0.0249398
4 4 0 0 0.4172787
4 4 1 0 0.0008429
4 4 1 1 0.4170802
4 4 2 0 -0.0015176
4 4 2 1 0.0000064
4 4 2 2 0.3408618
4 4 3 0 -0.0000058
4 4 3 1 -0.0014343
4 4 3 2 0.0006149
4 4 3 3 0.3413649
4 4 4 0 0.0000019
4 4 4 1 -0.0011291
4 4 4 2 -0.0000281
4 4 4 3 -0.0249398
4 4 4 4 0.3664088
5 0 0 0 0.0007456
5 0 1 0 0.0001156
5 0 1 1 0.0007194
5 0 2 0 -0.0000660
5 0 2 1 -0.0000089
5 0 2 2 0.0000666
5 0 3 0 -0.0000106
5 0 3 1 -0.0000697
5 0 3 2 0.0000021
5 0 3 3 0.0000398
5 0 4 0 0.0000125
5 0 4 1 0.0001399
5 0 4 2 0.0000245
5 0 4 3 0.0002191
5 0 4 4 -0.0009854
5 0 5 0 0.0041914
5 0 5 1 0.0000737
5 0 5 2 0.0058452
5 0 5 3 0.0001295
5 0 5 4 0.0000110
5 0 5 5 0.0011553
5 1 0 0 0.0001286
5 1 1 0 0.0006849
5 1 1 1 -0.0000274
5 1 2 0 -0.0000087
5 1 2 1 -0.0000634
5 1 2 2 0.0000170
5 1 3 0 -0.0000692
5 1 3 1 0.0000049
5 1 3 2 0.0000193
5 1 3 3 0.0000119
5 1 4 0 0.0001416
5 1 4 1 -0.0000197
5 1 4 2 0.0002631
5 1 4 3 -0.0000300
5 1 4 4 -0.0000061
5 1 5 0 0.0000737
5 1 5 1 0.0041678
5 1 5 2 0.0000842
5 1 5 3 0.0058293
5 1 5 4 0.0011575
5 1 5 5 0.0000336
5 2 0 0 -0.0005122
5 2 1 0 -0.0001707
5 2 1 1 -0.0004736
5 2 2 0 0.0000093
5 2 2 1 0.0000039
5 2 2 2 -0.0000290
5 2 3 0 0.0000020
5 2 3 1 -0.0000010
5 2 3 2 -0.0001449
