NMONOMER	1
NELEC	8
ENUC	8.484879
NBASIS	8
HF_ENERGY	-35.676297
ENERGIES
-11.051633
-0.802037
-0.531044
-0.528727
0.753500
0.754143
0.800942
1000000.639065

OEI
-18.480129	
-0.261256	-4.536896	
-0.002407	-0.001818	-4.115321	
0.000744	0.000128	0.000447	-4.115617	
0.008555	0.031232	-0.657708	0.416947	-3.530383	
0.005261	0.017132	-0.415777	-0.658820	-0.002453	-3.529618	
-0.310489	-0.924319	-0.032646	0.002740	-0.000049	-0.000605	-3.423977	
-0.160620	0.151376	0.001230	-0.000336	0.000395	-0.000199	0.000753	999996.184878	

OVERLAP
1.000000	
0.248362	1.000000	
0.068397	0.514086	1.000000	
0.068399	0.514093	0.187054	1.000000	
0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	-0.359412	0.147430	-0.153210	1.000000	
0.000000	0.000000	0.111715	-0.449159	0.033386	0.000000	1.000000	
0.000000	0.000000	-0.298976	-0.086993	0.454141	0.000000	0.000000	1.000000	

MOCOEFF
0.996526	0.018356	-0.007011	-0.007027	-0.006998	-0.020923	-0.017453	0.003913	
0.177412	-0.451564	-0.242664	-0.247852	-0.240779	0.290218	0.246564	-0.052373	
0.001655	-0.005435	-0.248962	0.495611	-0.249683	0.337056	-0.430519	-0.138827	
-0.000493	0.001676	-0.428411	0.001773	0.427889	0.148789	-0.057473	0.543769	
-0.006224	0.041717	-0.066133	-0.895787	0.897177	0.398164	-0.684323	-0.814080	
-0.003827	0.024922	1.022862	-0.568401	-0.493243	0.607083	-0.569039	0.773216	
0.227022	-1.506810	0.800915	0.750968	0.801494	0.425739	0.309689	-0.084604	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.647102	-0.538791	0.121573	

ERI
0 0 0 0 3.5229952
1 0 0 0 0.2345452
1 0 1 0 0.0285974
1 0 1 1 -0.0030293
1 1 0 0 0.6941615
1 1 1 0 -0.0030293
1 1 1 1 0.5714975
2 0 0 0 0.0021742
2 0 1 0 0.0002003
2 0 1 1 0.0001584
2 0 2 0 0.0083408
2 0 2 1 -0.0117270
2 0 2 2 0.0028063
2 1 0 0 0.0007465
2 1 1 0 0.0000564
2 1 1 1 -0.0011990
2 1 2 0 -0.0117270
2 1 2 1 0.1153848
2 1 2 2 -0.0507294
2 2 0 0 0.6401208
2 2 1 0 0.0015366
2 2 1 1 0.5088957
2 2 2 0 0.0028063
2 2 2 1 -0.0507294
2 2 2 2 0.5432315
3 0 0 0 -0.0006514
3 0 1 0 -0.0000549
3 0 1 1 -0.0000562
3 0 2 0 -0.0000120
3 0 2 1 0.0000010
3 0 2 2 0.0000077
3 0 3 0 0.0083971
3 0 3 1 -0.0117297
3 0 3 2 -0.0030888
3 0 3 3 0.0000349
3 1 0 0 -0.0001050
3 1 1 0 -0.0000190
3 1 1 1 0.0004035
3 1 2 0 0.0000032
3 1 2 1 0.0002599
3 1 2 2 -0.0003763
3 1 3 0 -0.0117297
3 1 3 1 0.1136704
3 1 3 2 0.0525997
3 1 3 3 -0.0000785
3 2 0 0 -0.0001863
3 2 1 0 -0.0000127
3 2 1 1 0.0002226
3 2 2 0 0.0000494
3 2 2 1 -0.0004549
3 2 2 2 0.0001002
3 2 3 0 -0.0030888
3 2 3 1 0.0525997
3 2 3 2 0.0454782
3 2 3 3 -0.0003719
3 3 0 0 0.6411661
3 3 1 0 0.0016068
3 3 1 1 0.5074605
3 3 2 0 -0.0029613
3 3 2 1 0.0525252
3 3 2 2 0.4561462
3 3 3 0 0.0000349
3 3 3 1 -0.0000785
3 3 3 2 -0.0003719
3 3 3 3 0.5449604
4 0 0 0 -0.0081673
4 0 1 0 -0.0010935
4 0 1 1 0.0003110
4 0 2 0 0.0110342
4 0 2 1 -0.0139474
4 0 2 2 0.0029696
4 0 3 0 -0.0070009
4 0 3 1 0.0087835
4 0 3 2 0.0021895
4 0 3 3 -0.0033461
4 0 4 0 0.0206174
4 0 4 1 -0.0091426
4 0 4 2 -0.0019371
4 0 4 3 -0.0039570
4 0 4 4 0.0008564
4 1 0 0 -0.0095171
4 1 1 0 -0.0000227
4 1 1 1 -0.0031479
4 1 2 0 -0.0052817
4 1 2 1 -0.0086509
4 1 2 2 0.0198744
4 1 3 0 0.0033667
4 1 3 1 0.0048341
4 1 3 2 0.0139639
4 1 3 3 -0.0239101
4 1 4 0 -0.0091426
4 1 4 1 0.0424928
4 1 4 2 -0.0086791
4 1 4 3 -0.0100096
4 1 4 4 -0.0051890
4 2 0 0 0.2089442
4 2 1 0 0.0050867
4 2 1 1 0.0417201
4 2 2 0 -0.0022218
4 2 2 1 0.0419217
4 2 2 2 0.0275927
4 2 3 0 -0.0014963
4 2 3 1 0.0261904
4 2 3 2 0.0095806
4 2 3 3 0.0584363
4 2 4 0 -0.0019371
4 2 4 1 -0.0086791
4 2 4 2 0.0968437
4 2 4 3 -0.0368639
4 2 4 4 0.0432528
4 3 0 0 -0.1324074
4 3 1 0 -0.0032001
4 3 1 1 -0.0273584
4 3 2 0 -0.0015283
4 3 2 1 0.0262443
4 3 2 2 -0.0362037
4 3 3 0 0.0025009
4 3 3 1 -0.0398498
4 3 3 2 -0.0143005
4 3 3 3 -0.0175958
4 3 4 0 -0.0039570
4 3 4 1 -0.0100096
4 3 4 2 -0.0368639
4 3 4 3 0.0589671
4 3 4 4 -0.0317802
4 4 0 0 0.7420486
4 4 1 0 0.0071574
4 4 1 1 0.5042571
4 4 2 0 0.0003982
4 4 2 1 -0.0182138
4 4 2 2 0.5191726
4 4 3 0 -0.0008036
4 4 3 1 -0.0260074
4 4 3 2 -0.0298691
4 4 3 3 0.4858928
4 4 4 0 0.0008564
4 4 4 1 -0.0051890
4 4 4 2 0.0432528
4 4 4 3 -0.0317802
4 4 4 4 0.5626484
5 0 0 0 -0.0050063
5 0 1 0 -0.0006331
5 0 1 1 0.0000999
5 0 2 0 0.0069747
5 0 2 1 -0.0088395
5 0 2 2 0.0019033
5 0 3 0 0.0110670
5 0 3 1 -0.0139081
5 0 3 2 -0.0033423
5 0 3 3 -0.0020501
5 0 4 0 0.0000490
5 0 4 1 0.0000150
5 0 4 2 -0.0039709
5 0 4 3 0.0020785
5 0 4 4 -0.0012983
5 0 5 0 0.0206043
5 0 5 1 -0.0091535
5 0 5 2 0.0017718
5 0 5 3 0.0040212
5 0 5 4 0.0003234
5 0 5 5 0.0016024
5 1 0 0 -0.0051846
5 1 1 0 -0.0000154
5 1 1 1 -0.0018449
5 1 2 0 -0.0033344
5 1 2 1 -0.0056369
5 1 2 2 0.0129146
5 1 3 0 -0.0053083
5 1 3 1 -0.0079227
5 1 3 2 -0.0217954
5 1 3 3 -0.0151457
5 1 4 0 0.0000117
5 1 4 1 0.0002458
5 1 4 2 -0.0138540
5 1 4 3 0.0050611
5 1 4 4 0.0289520
5 1 5 0 -0.0091535
5 1 5 1 0.0423394
5 1 5 2 0.0046275
5 1 5 3 0.0101492
5 1 5 4 0.0044192
5 1 5 5 -0.0308973
5 2 0 0 0.1321117
5 2 1 0 0.0032231
5 2 1 1 0.0261121
5 2 2 0 -0.0014279
5 2 2 1 0.0267244
5 2 2 2 0.0174739
5 2 3 0 0.0023067
5 2 3 1 -0.0407648
5 2 3 2 -0.0154841
5 2 3 3 0.0371171
5 2 4 0 -0.0039702
5 2 4 1 -0.0139226
5 2 4 2 0.0381550
5 2 4 3 0.0085138
5 2 4 4 0.0394754
5 2 5 0 0.0017718
5 2 5 1 0.0046275
5 2 5 2 0.0605805
5 2 5 3 0.0369214
5 2 5 4 -0.0112947
5 2 5 5 0.0291262
5 3 0 0 0.2092577
5 3 1 0 0.0050696
5 3 1 1 0.0428192
5 3 2 0 0.0024152
5 3 2 1 -0.0409788
5 3 2 2 0.0570075
5 3 3 0 0.0016044
5 3 3 1 -0.0256358
5 3 3 2 -0.0089611
5 3 3 3 0.0283148
5 3 4 0 0.0016406
5 3 4 1 0.0040453
