NMONOMER	1
NELEC	8
ENUC	8.486917
NBASIS	8
HF_ENERGY	-35.682256
ENERGIES
-11.052396
-0.802744
-0.531274
-0.529215
0.753000
0.753749
0.801131
1000000.638599

OEI
-18.481750	
-0.261347	-4.538298	
-0.002292	-0.001975	-4.116370	
-0.000688	-0.000279	-0.000995	-4.117126	
0.012414	0.042040	-0.773434	0.083453	-3.532874	
0.003782	0.013598	-0.083460	-0.774907	0.000765	-3.527935	
0.310346	0.924239	0.038727	0.008092	0.001215	0.000317	-3.424559	
0.160648	-0.151333	-0.001110	-0.000309	-0.000222	-0.000348	0.001168	999996.184102	

OVERLAP
1.000000	
0.248362	1.000000	
0.068434	0.514224	1.000000	
0.068355	0.513931	0.187098	1.000000	
0.068404	0.514114	0.187337	0.187153	1.000000	
0.000000	0.000000	0.196034	-0.193587	0.339751	1.000000	
0.000000	0.000000	0.317411	-0.362003	-0.171707	0.000000	1.000000	
0.000000	0.000000	-0.303212	-0.249878	0.293504	0.000000	0.000000	1.000000	

MOCOEFF
0.996526	0.018363	-0.007006	-0.007024	-0.007012	0.019571	-0.012397	-0.014880	
0.177461	-0.451753	-0.240829	-0.247311	-0.242752	-0.270987	0.176275	0.207795	
0.001581	-0.005083	-0.277556	0.494395	-0.219267	-0.376989	-0.383848	-0.170786	
0.000460	-0.001422	-0.409746	-0.035360	0.444215	0.129544	-0.327313	0.444302	
-0.009030	0.059378	0.452688	-1.065641	0.520194	-0.763152	-0.708589	-0.453476	
-0.002761	0.018286	0.907886	-0.048834	-0.888022	0.183934	-0.736867	0.843700	
-0.226932	1.506859	-0.815619	-0.742102	-0.795707	0.407152	-0.203203	-0.280511	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	-0.605123	0.382416	0.459783	

ERI
0 0 0 0 3.5229928
1 0 0 0 0.2346091
1 0 1 0 0.0286099
1 0 1 1 -0.0030278
1 1 0 0 0.6942500
1 1 1 0 -0.0030278
1 1 1 1 0.5716029
2 0 0 0 0.0020747
2 0 1 0 0.0001926
2 0 1 1 0.0001455
2 0 2 0 0.0083488
2 0 2 1 -0.0117325
2 0 2 2 0.0027525
2 1 0 0 0.0007824
2 1 1 0 0.0000513
2 1 1 1 -0.0010443
2 1 2 0 -0.0117325
2 1 2 1 0.1152609
2 1 2 2 -0.0496646
2 2 0 0 0.6402675
2 2 1 0 0.0015421
2 2 1 1 0.5088554
2 2 2 0 0.0027525
2 2 2 1 -0.0496646
2 2 2 2 0.5434408
3 0 0 0 0.0006048
3 0 1 0 0.0000521
3 0 1 1 0.0000482
3 0 2 0 0.0000197
3 0 2 1 -0.0000063
3 0 2 2 -0.0006086
3 0 3 0 0.0084028
3 0 3 1 -0.0117424
3 0 3 2 -0.0030188
3 0 3 3 0.0005723
3 1 0 0 0.0001528
3 1 1 0 0.0000165
3 1 1 1 -0.0003097
3 1 2 0 -0.0000088
3 1 2 1 -0.0003585
