NMONOMER	1
NELEC	8
ENUC	8.484879
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.681372
ENERGIES
-11.052345
-0.802410
-0.531349
-0.529010
0.753016
0.753660
0.800557
1000000.638642

OEI
-18.481286	
-0.261301	-4.537569	
-0.002447	-0.001846	-4.115973	
0.000761	0.000139	0.000452	-4.116309	
0.008803	0.032083	-0.660152	0.413204	-3.530727	
0.005253	0.017089	-0.412024	-0.661316	-0.002501	-3.529868	
-0.310473	-0.924361	-0.033289	0.002996	-0.000065	-0.000608	-3.424234	
-0.160626	0.151376	0.001252	-0.000346	0.000395	-0.000201	0.000737	999996.184260	

ENV_OEI
-4.808448	
-0.504811	-0.286028	
-0.004895	0.001474	-0.180324	
0.001478	-0.000443	0.000057	-0.178043	
0.018234	0.007596	-0.109702	0.069996	-0.254826	
0.010906	0.004042	-0.067842	-0.111416	-0.001065	-0.254170	
-0.651431	-0.237749	-0.007547	0.000963	0.004905	0.002348	-0.349078	
-0.312229	0.004307	0.002457	-0.000670	0.002240	0.000541	-0.018932	-0.259354	

OVERLAP
1.000000	
0.248362	1.000000	
0.068397	0.514086	1.000000	
0.068399	0.514093	0.187054	1.000000	
0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	-0.359412	0.147430	-0.153210	1.000000	
0.000000	0.000000	0.111715	-0.449159	0.033386	0.000000	1.000000	
0.000000	0.000000	-0.298976	-0.086993	0.454141	0.000000	0.000000	1.000000	

MOCOEFF
0.996527	0.018353	-0.007010	-0.007027	-0.006997	-0.020922	-0.017453	0.003913	
0.177434	-0.451723	-0.242565	-0.247837	-0.240643	0.290225	0.246652	-0.052340	
0.001682	-0.005523	-0.249634	0.495476	-0.248924	0.337425	-0.430674	-0.137973	
-0.000505	0.001713	-0.427845	0.000965	0.428156	0.148260	-0.056784	0.544185	
-0.006404	0.042907	-0.059091	-0.900532	0.893022	0.402354	-0.688695	-0.808198	
-0.003820	0.024878	1.023256	-0.561898	-0.500074	0.603998	-0.563967	0.779183	
0.226997	-1.506729	0.801086	0.750282	0.802036	0.426077	0.309113	-0.084995	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.647102	-0.538791	0.121573	

ERI
0 0 0 0 3.5229981
1 0 0 0 0.2345726
1 0 1 0 0.0286043
1 0 1 1 -0.0030295
1 1 0 0 0.6942194
1 1 1 0 -0.0030295
1 1 1 1 0.5715435
2 0 0 0 0.0022096
2 0 1 0 0.0002036
2 0 1 1 0.0001610
2 0 2 0 0.0083438
2 0 2 1 -0.0117303
2 0 2 2 0.0028031
2 1 0 0 0.0007597
2 1 1 0 0.0000573
2 1 1 1 -0.0012181
2 1 2 0 -0.0117303
2 1 2 1 0.1153905
2 1 2 2 -0.0506872
2 2 0 0 0.6401776
2 2 1 0 0.0015377
2 2 1 1 0.5089337
2 2 2 0 0.0028031
2 2 2 1 -0.0506872
2 2 2 2 0.5432234
3 0 0 0 -0.0006666
3 0 1 0 -0.0000563
3 0 1 1 -0.0000574
3 0 2 0 -0.0000121
3 0 2 1 0.0000010
3 0 2 2 -0.0000073
3 0 3 0 0.0084014
3 0 3 1 -0.0117335
3 0 3 2 -0.0030903
3 0 3 3 0.0000511
3 1 0 0 -0.0001098
3 1 1 0 -0.0000194
3 1 1 1 0.0004119
3 1 2 0 0.0000032
3 1 2 1 0.0002619
3 1 2 2 -0.0001198
