NMONOMER	1
NELEC	8
ENUC	8.484879
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.576850
ENERGIES
-11.037221
-0.794364
-0.523674
-0.521971
0.761477
0.762121
0.808255
1000000.647084

OEI
-18.457519	
-0.260409	-4.523250	
-0.001524	-0.001066	-4.102692	
0.000422	-0.000089	0.000316	-4.102243	
0.002973	0.012147	-0.571976	0.526159	-3.523574	
0.004575	0.015248	-0.525385	-0.572120	-0.001289	-3.524427	
-0.311104	-0.923675	-0.017979	-0.002006	0.000356	-0.000459	-3.419267	
-0.160476	0.151176	0.000746	-0.000160	0.000412	-0.000114	0.001149	999996.196442	

ENV_OEI
-4.784633	
-0.502773	-0.275008	
-0.003014	0.000891	-0.169980	
0.000793	-0.000226	0.000061	-0.168334	
0.006161	0.002792	-0.092814	0.086043	-0.244418	
0.009505	0.003560	-0.084653	-0.093209	-0.000594	-0.244594	
-0.652344	-0.233878	-0.004150	-0.000122	0.002006	0.002117	-0.340955	
-0.312754	0.004006	0.001668	-0.000353	0.001190	0.000576	-0.018447	-0.247172	

OVERLAP
1.000000	
0.248362	1.000000	
0.068397	0.514086	1.000000	
0.068399	0.514093	0.187054	1.000000	
0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	-0.359412	0.147430	-0.153210	1.000000	
0.000000	0.000000	0.111715	-0.449159	0.033386	0.000000	1.000000	
0.000000	0.000000	-0.298976	-0.086993	0.454141	0.000000	0.000000	1.000000	

MOCOEFF
0.996510	0.018435	-0.007036	-0.007044	-0.007026	-0.020959	-0.017466	0.003926	
0.176933	-0.448125	-0.244874	-0.248075	-0.243743	0.290092	0.244643	-0.053078	
0.001042	-0.003453	-0.231879	0.497739	-0.267816	0.328321	-0.426887	-0.159675	
-0.000272	0.000984	-0.441094	0.021695	0.420154	0.161672	-0.074341	0.534186	
-0.002164	0.014958	-0.276297	-0.739234	0.992462	0.262040	-0.540024	-0.965704	
-0.003331	0.021791	0.988680	-0.743566	-0.278980	0.683362	-0.702885	0.577383	
0.227553	-1.508393	0.796471	0.766432	0.789644	0.417822	0.322755	-0.076312	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.647102	-0.538791	0.121573	

ERI
0 0 0 0 3.5229107
1 0 0 0 0.2339589
1 0 1 0 0.0284508
1 0 1 1 -0.0030262
1 1 0 0 0.6929090
1 1 1 0 -0.0030262
1 1 1 1 0.5705051
2 0 0 0 0.0013735
2 0 1 0 0.0001250
2 0 1 1 0.0001014
2 0 2 0 0.0082857
2 0 2 1 -0.0116615
2 0 2 2 0.0028547
2 1 0 0 0.0004386
2 1 1 0 0.0000357
2 1 1 1 -0.0007655
2 1 2 0 -0.0116615
2 1 2 1 0.1152401
2 1 2 2 -0.0512185
2 2 0 0 0.6390658
2 2 1 0 0.0015171
2 2 1 1 0.5080956
2 2 2 0 0.0028547
2 2 2 1 -0.0512185
2 2 2 2 0.5434937
3 0 0 0 -0.0003617
3 0 1 0 -0.0000288
3 0 1 1 -0.0000339
3 0 2 0 -0.0000092
3 0 2 1 0.0000006
3 0 2 2 0.0003739
3 0 3 0 0.0083146
3 0 3 1 -0.0116579
3 0 3 2 -0.0030310
3 0 3 3 -0.0003530
3 1 0 0 -0.0000150
3 1 1 0 -0.0000109
3 1 1 1 0.0002397
3 1 2 0 0.0000028
3 1 2 1 0.0002038
3 1 2 2 -0.0066983
3 1 3 0 -0.0116579
3 1 3 1 0.1141990
3 1 3 2 0.0524023
3 1 3 3 0.0064836
3 2 0 0 -0.0001376
3 2 1 0 -0.0000097
3 2 1 1 0.0001772
3 2 2 0 0.0003982
3 2 2 1 -0.0067614
3 2 2 2 -0.0000283
3 2 3 0 -0.0030310
3 2 3 1 0.0524023
3 2 3 2 0.0454033
3 2 3 3 -0.0001751
3 3 0 0 0.6395851
3 3 1 0 0.0015572
3 3 1 1 0.5071967
3 3 2 0 -0.0029522
3 3 2 1 0.0523512
3 3 2 2 0.4551586
3 3 3 0 -0.0003530
3 3 3 1 0.0064836
3 3 3 2 -0.0001751
3 3 3 3 0.5445089
4 0 0 0 -0.0028478
4 0 1 0 -0.0004042
4 0 1 1 0.0001678
4 0 2 0 0.0096047
4 0 2 1 -0.0121402
4 0 2 2 0.0023661
4 0 3 0 -0.0088380
4 0 3 1 0.0111301
4 0 3 2 0.0030517
4 0 3 3 -0.0025548
4 0 4 0 0.0206593
4 0 4 1 -0.0091733
4 0 4 2 0.0001335
4 0 4 3 -0.0043685
