NMONOMER	1
NELEC	8
ENUC	8.486917
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.577584
ENERGIES
-11.037311
-0.794705
-0.523643
-0.522143
0.761602
0.762069
0.808809
1000000.647010

OEI
-18.457939	
-0.260451	-4.523971	
-0.001400	-0.001224	-4.103143	
-0.000277	0.000013	-0.000800	-4.102970	
0.007987	0.026743	-0.767404	0.118030	-3.525421	
0.001555	0.005835	-0.118286	-0.767900	0.000607	-3.522792	
0.311021	0.923684	0.024320	0.001502	0.000952	0.000149	-3.419572	
0.160498	-0.151132	-0.000616	-0.000092	-0.000222	-0.000327	0.001582	999996.196293	

ENV_OEI
-4.784717	
-0.502853	-0.275092	
-0.002782	0.000915	-0.170008	
-0.000516	0.000186	0.000055	-0.168513	
0.016592	0.006392	-0.124158	0.018824	-0.245149	
0.003246	0.001490	-0.019807	-0.125324	0.000018	-0.244021	
0.652249	0.233893	0.005150	0.000381	-0.003644	-0.000790	-0.341073	
0.312752	-0.003986	-0.001650	-0.000274	-0.001407	-0.000695	-0.018391	-0.247287	

OVERLAP
1.000000	
0.248362	1.000000	
0.068434	0.514224	1.000000	
0.068355	0.513931	0.187098	1.000000	
0.068404	0.514114	0.187337	0.187153	1.000000	
0.000000	0.000000	0.196034	-0.193587	0.339751	1.000000	
0.000000	0.000000	0.317411	-0.362003	-0.171707	0.000000	1.000000	
0.000000	0.000000	-0.303212	-0.249878	0.293504	0.000000	0.000000	1.000000	

MOCOEFF
0.996509	0.018445	-0.007036	-0.007042	-0.007038	0.019607	-0.012401	-0.014900	
0.176959	-0.448153	-0.244007	-0.247618	-0.244913	-0.271029	0.174266	0.207061	
0.000962	-0.003078	-0.314797	0.491978	-0.178478	-0.361130	-0.410283	-0.130495	
0.000177	-0.000543	-0.385749	-0.079854	0.465305	0.162396	-0.289357	0.454845	
-0.005813	0.038108	0.504202	-1.054682	0.490865	-0.760849	-0.738806	-0.411356	
-0.001140	0.007562	0.889480	0.003198	-0.904882	0.216188	-0.704379	0.866117	
-0.227519	1.508718	-0.802816	-0.757253	-0.792818	0.398082	-0.217935	-0.282396	
-0.117784	0.542251	-0.000000	-0.000000	-0.000000	-0.605123	0.382416	0.459783	

ERI
0 0 0 0 3.5229021
1 0 0 0 0.2339361
1 0 1 0 0.0274260
1 0 1 1 -0.0033886
1 1 0 0 0.6929190
1 1 1 0 -0.0033886
1 1 1 1 0.5704388
2 0 0 0 0.0013023
2 0 1 0 0.0007614
2 0 1 1 0.0003153
2 0 2 0 0.0097676
2 0 2 1 -0.0114013
2 0 2 2 0.0025566
2 1 0 0 0.0004819
2 1 1 0 0.0001437
2 1 1 1 -0.0005596
2 1 2 0 -0.0114013
2 1 2 1 0.1151654
2 1 2 2 -0.0458179
2 2 0 0 0.6391634
2 2 1 0 0.0015226
2 2 1 1 0.5080273
2 2 2 0 0.0025566
2 2 2 1 -0.0458179
2 2 2 2 0.5437617
3 0 0 0 0.0002799
3 0 1 0 0.0008270
3 0 1 1 0.0003059
3 0 2 0 -0.0020294
3 0 2 1 -0.0003681
3 0 2 2 -0.0013783
3 0 3 0 0.0089404
3 0 3 1 -0.0115548
3 0 3 2 -0.0027119
3 0 3 3 0.0013656
3 1 0 0 0.0000416
3 1 1 0 0.0001498
3 1 1 1 -0.0000567
3 1 2 0 -0.0003712
3 1 2 1 -0.0003219
3 1 2 2 0.0242263
3 1 3 0 -0.0115548
3 1 3 1 0.1143707
3 1 3 2 0.0468441
3 1 3 3 -0.0241356
3 2 0 0 0.0003017
3 2 1 0 0.0000148
3 2 1 1 -0.0001872
3 2 2 0 -0.0013941
3 2 2 1 0.0242716
3 2 2 2 0.0002929
3 2 3 0 -0.0027119
3 2 3 1 0.0468441
3 2 3 2 0.0452854
3 2 3 3 0.0000417
3 3 0 0 0.6396676
3 3 1 0 0.0015513
3 3 1 1 0.5074194
3 3 2 0 -0.0026398
3 3 2 1 0.0468275
3 3 2 2 0.4551271
3 3 3 0 0.0013656
3 3 3 1 -0.0241356
3 3 3 2 0.0000417
3 3 3 3 0.5445679
4 0 0 0 -0.0076773
4 0 1 0 -0.0021292
4 0 1 1 -0.0002287
4 0 2 0 0.0092725
4 0 2 1 -0.0169431
4 0 2 2 0.0034766
4 0 3 0 0.0024753
4 0 3 1 0.0033043
4 0 3 2 -0.0012480
4 0 3 3 -0.0037314
4 0 4 0 0.0294066
4 0 4 1 -0.0076085
4 0 4 2 -0.0043300
4 0 4 3 0.0007229
4 0 4 4 -0.0006219
4 1 0 0 -0.0081176
4 1 1 0 -0.0002208
4 1 1 1 -0.0029262
4 1 2 0 -0.0068091
4 1 2 1 -0.0101991
4 1 2 2 0.0229279
4 1 3 0 0.0017324
4 1 3 1 0.0017609
4 1 3 2 -0.0083555
4 1 3 3 -0.0263665
4 1 4 0 -0.0076085
4 1 4 1 0.0428234
4 1 4 2 -0.0161894
4 1 4 3 0.0028196
4 1 4 4 0.0293349
4 2 0 0 0.2441979
4 2 1 0 0.0059187
4 2 1 1 0.0487257
4 2 2 0 -0.0025202
4 2 2 1 0.0469244
4 2 2 2 0.0316887
4 2 3 0 0.0009205
4 2 3 1 -0.0156190
4 2 3 2 0.0031250
4 2 3 3 0.0678742
4 2 4 0 -0.0043300
4 2 4 1 -0.0161894
4 2 4 2 0.1186878
4 2 4 3 -0.0129332
4 2 4 4 0.0498086
4 3 0 0 -0.0375627
4 3 1 0 -0.0009185
4 3 1 1 -0.0073814
4 3 2 0 0.0008966
4 3 2 1 -0.0155973
4 3 2 2 -0.0099936
4 3 3 0 0.0027665
4 3 3 1 -0.0451381
4 3 3 2 -0.0170031
4 3 3 3 -0.0053974
4 3 4 0 0.0007229
4 3 4 1 0.0028196
4 3 4 2 -0.0129332
4 3 4 3 0.0369370
4 3 4 4 -0.0075492
4 4 0 0 0.7436222
4 4 1 0 0.0072027
4 4 1 1 0.5044334
4 4 2 0 0.0001826
4 4 2 1 -0.0366262
4 4 2 2 0.5374991
4 4 3 0 -0.0000509
4 4 3 1 0.0064193
4 4 3 2 -0.0110555
4 4 3 3 0.4675028
4 4 4 0 -0.0006219
4 4 4 1 0.0293349
4 4 4 2 0.0498086
4 4 4 3 -0.0075492
4 4 4 4 0.5674418
5 0 0 0 -0.0015999
5 0 1 0 -0.0020872
5 0 1 1 -0.0006116
5 0 2 0 0.0057398
5 0 2 1 -0.0018338
5 0 2 2 -0.0012725
5 0 3 0 0.0122883
5 0 3 1 -0.0163815
5 0 3 2 -0.0037614
5 0 3 3 0.0012164
5 0 4 0 -0.0080418
5 0 4 1 -0.0014133
5 0 4 2 0.0007278
5 0 4 3 0.0045084
5 0 4 4 0.0000756
5 0 5 0 0.0206985
5 0 5 1 -0.0091618
5 0 5 2 0.0042639
5 0 5 3 -0.0007728
5 0 5 4 0.0016454
5 0 5 5 0.0001012
5 1 0 0 -0.0017820
5 1 1 0 -0.0003375
5 1 1 1 -0.0007259
5 1 2 0 -0.0002879
5 1 2 1 -0.0013070
5 1 2 2 -0.0087034
5 1 3 0 -0.0062923
5 1 3 1 -0.0096180
5 1 3 2 -0.0245922
5 1 3 3 0.0079684
5 1 4 0 -0.0014202
5 1 4 1 -0.0002608
5 1 4 2 0.0016451
5 1 4 3 0.0118643
5 1 4 4 -0.0010863
5 1 5 0 -0.0091618
5 1 5 1 0.0422919
5 1 5 2 0.0130179
5 1 5 3 -0.0029582
5 1 5 4 -0.0299324
5 1 5 5 0.0004141
5 2 0 0 0.0376384
5 2 1 0 0.0009067
5 2 1 1 0.0077249
5 2 2 0 0.0009237
5 2 2 1 -0.0153932
5 2 2 2 0.0046217
5 2 3 0 0.0026100
5 2 3 1 -0.0459670
5 2 3 2 -0.0177626
5 2 3 3 0.0105460
5 2 4 0 0.0007660
5 2 4 1 0.0017120
5 2 4 2 0.0124382
5 2 4 3 0.0300238
5 2 4 4 0.0121756
5 2 5 0 0.0042639
5 2 5 1 0.0130179
5 2 5 2 0.0381802
5 2 5 3 0.0122278
5 2 5 4 -0.0111532
5 2 5 5 0.0088553
5 3 0 0 0.2443749
5 3 1 0 0.0059123
5 3 1 1 0.0494476
5 3 2 0 0.0026723
5 3 2 1 -0.0460824
5 3 2 2 0.0668943
5 3 3 0 -0.0008728
5 3 3 1 0.0158235
5 3 3 2 -0.0024275
5 3 3 3 0.0321248
5 3 4 0 0.0041454
5 3 4 1 0.0110747
5 3 4 2 0.0479819
5 3 4 3 -0.0124106
5 3 4 4 0.0803776
5 3 5 0 -0.0007728
5 3 5 1 -0.0029582
5 3 5 2 0.0122278
5 3 5 3 0.1176838
5 3 5 4 0.0020408
5 3 5 5 0.0527977
5 4 0 0 -0.0001671
5 4 1 0 0.0000064
5 4 1 1 -0.0000929
5 4 2 0 0.0001739
5 4 2 1 0.0045738
5 4 2 2 0.0101747
5 4 3 0 0.0007776
5 4 3 1 0.0289682
5 4 3 2 0.0316542
5 4 3 3 -0.0102050
5 4 4 0 0.0001507
5 4 4 1 -0.0005490
5 4 4 2 -0.0018409
5 4 4 3 -0.0101022
5 4 4 4 0.0001125
5 4 5 0 0.0016454
5 4 5 1 -0.0299324
5 4 5 2 -0.0111532
5 4 5 3 0.0020408
5 4 5 4 0.0360737
5 4 5 5 -0.0005592
5 5 0 0 0.7430250
5 5 1 0 0.0071794
5 5 1 1 0.5037420
5 5 2 0 0.0005324
5 5 2 1 0.0317159
5 5 2 2 0.4695963
5 5 3 0 0.0000368
5 5 3 1 -0.0066235
5 5 3 2 0.0099594
5 5 3 3 0.5355811
5 5 4 0 0.0009923
5 5 4 1 -0.0324431
5 5 4 2 0.0785604
5 5 4 3 -0.0116704
5 5 4 4 0.4860117
5 5 5 0 0.0001012
5 5 5 1 0.0004141
5 5 5 2 0.0088553
5 5 5 3 0.0527977
5 5 5 4 -0.0005592
5 5 5 5 0.5634199
6 0 0 0 -0.2976745
