NMONOMER	1
NELEC	8
ENUC	8.484879
NBASIS	8
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.684191
ENERGIES
-11.037688
-0.800789
-0.533443
-0.530170
0.752369
0.753239
0.802315
1000000.633763

OEI
-18.476127	
-0.261319	-4.532008	
-0.002961	-0.002028	-4.121097	
0.000913	0.000269	0.000291	-4.120286	
0.012529	0.045380	-0.718461	0.297102	-3.532030	
0.003550	0.011354	-0.296151	-0.720518	-0.001528	-3.529958	
-0.312402	-0.926007	-0.042362	0.006821	-0.001404	-0.000743	-3.431632	
-0.160539	0.151192	0.001541	-0.000420	0.000301	-0.000267	0.000722	999996.173451	

ENV_OEI
-4.803170	
-0.502751	-0.285266	
-0.005896	0.001566	-0.183723	
0.001781	-0.000468	0.000094	-0.181058	
0.025908	0.010939	-0.119516	0.050403	-0.257260	
0.007364	0.002733	-0.048878	-0.121639	-0.000634	-0.255954	
-0.653085	-0.235782	-0.008926	0.001626	0.006098	0.001323	-0.351658	
-0.312287	0.002827	0.003314	-0.001006	0.003350	0.000180	-0.020119	-0.270163	

OVERLAP
1.000000	
0.248362	1.000000	
0.068397	0.514086	1.000000	
0.068399	0.514093	0.187054	1.000000	
0.068288	0.513686	0.187003	0.186920	1.000000	
0.000000	0.000000	-0.359412	0.147430	-0.153210	1.000000	
0.000000	0.000000	0.111715	-0.449159	0.033386	0.000000	1.000000	
0.000000	0.000000	-0.298976	-0.086993	0.454141	0.000000	0.000000	1.000000	

MOCOEFF
0.996486	0.018552	-0.007063	-0.007084	-0.007049	-0.020989	-0.017518	0.003923	
0.176750	-0.446524	-0.244851	-0.251525	-0.242743	0.287762	0.246879	-0.051532	
0.002022	-0.005971	-0.268466	0.492654	-0.230158	0.345196	-0.433446	-0.114025	
-0.000608	0.001927	-0.415570	-0.020786	0.438266	0.133329	-0.037763	0.550558	
-0.009105	0.060764	0.149962	-1.005823	0.761202	0.515968	-0.793963	-0.625533	
-0.002581	0.016615	1.012576	-0.361286	-0.677290	0.505406	-0.406771	0.931269	
0.227633	-1.507773	0.802474	0.740216	0.807396	0.432327	0.302258	-0.090127	
0.117784	-0.542251	0.000000	0.000000	0.000000	-0.647102	-0.538791	0.121573	

ERI
0 0 0 0 3.5227814
1 0 0 0 0.2337934
1 0 1 0 0.0284037
1 0 1 1 -0.0030226
1 1 0 0 0.6923542
1 1 1 0 -0.0030226
1 1 1 1 0.5700907
2 0 0 0 0.0026567
2 0 1 0 0.0002323
2 0 1 1 0.0002162
2 0 2 0 0.0083822
2 0 2 1 -0.0117569
2 0 2 2 0.0027246
2 1 0 0 0.0006854
2 1 1 0 0.0000783
2 1 1 1 -0.0017085
2 1 2 0 -0.0117569
2 1 2 1 0.1158088
2 1 2 2 -0.0496900
2 2 0 0 0.6408278
2 2 1 0 0.0015450
2 2 1 1 0.5089153
2 2 2 0 0.0027246
2 2 2 1 -0.0496900
2 2 2 2 0.5428605
3 0 0 0 -0.0008029
3 0 1 0 -0.0000669
3 0 1 1 -0.0000710
3 0 2 0 -0.0000081
3 0 2 1 -0.0000003
3 0 2 2 -0.0004034
3 0 3 0 0.0084247
3 0 3 1 -0.0117329
3 0 3 2 -0.0030909
3 0 3 3 0.0004611
3 1 0 0 -0.0001233
3 1 1 0 -0.0000242
3 1 1 1 0.0005313
3 1 2 0 0.0000009
3 1 2 1 0.0001861
3 1 2 2 0.0067395
3 1 3 0 -0.0117329
3 1 3 1 0.1135543
3 1 3 2 0.0523134
3 1 3 3 -0.0073733
3 2 0 0 -0.0001090
3 2 1 0 -0.0000088
3 2 1 1 0.0001675
3 2 2 0 -0.0003529
3 2 2 1 0.0066441
3 2 2 2 0.0003585
3 2 3 0 -0.0030909
3 2 3 1 0.0523134
3 2 3 2 0.0456463
3 2 3 3 -0.0005495
3 3 0 0 0.6416194
3 3 1 0 0.0016284
3 3 1 1 0.5068535
3 3 2 0 -0.0029353
3 3 2 1 0.0521407
3 3 2 2 0.4567161
3 3 3 0 0.0004611
3 3 3 1 -0.0073733
3 3 3 2 -0.0005495
