NELEC	10
ENUC	11.406077
NBASIS	13

OEI
2.489683	
652.885352	21853.444877	
222.501863	7171.174569	8116.007367	
222.502160	7171.185723	-491.325110	8116.014429	
2485.275716	79311.773794	58242.493733	8823.942595	469556.920687	
-424.848027	36393.682537	7053.902869	7053.904597	70620.170435	1000634.569451	
4028.450461	135762.929736	44377.029202	44377.083915	490343.012956	260228.723836	844426.459735	
-317.773071	-10827.569899	2926.193624	-18224.674067	1105.418829	-22957.146495	-67424.831179	43205.921233	
134.075417	4568.407350	15967.990997	-585.725100	95007.019536	9686.193155	28448.176989	246.097172	43685.434735	
-788.380355	-26862.652353	-8891.973373	-3181.902707	-99451.036986	-56955.567951	-167277.478565	-1447.077591	610.579329	40199.000271	
-849.799053	-26176.269775	21512.392982	-77788.850552	90617.514785	-5307.034633	-161173.379870	190312.734439	6442.932638	-37884.880268	866358.578541	
358.550316	11044.390339	71688.048099	-6030.040643	409943.026063	2239.175130	68002.882563	6442.938808	202864.964663	15984.678578	41645.195691	947491.862681	
-2108.303459	-64941.849520	-22459.508967	4348.731598	-254905.012548	-13166.464943	-399862.054529	-37884.924990	15984.682141	111592.183256	-244876.643911	103319.989976	357533.293551	

OVERLAP
1.000000	
0.248362	1.000000	
0.063747	0.496523	1.000000	
0.063747	0.496523	0.172237	1.000000	
0.006454	0.110326	0.087909	0.026732	1.000000	
0.000001	0.037510	0.007446	0.007446	0.062028	1.000000	
0.037510	0.364644	0.122394	0.122394	0.489773	0.248362	1.000000	
0.000000	0.000000	0.237774	-0.355980	-0.014721	-0.022967	-0.143241	1.000000	
0.000000	0.000000	0.382595	-0.082106	0.079112	0.009690	0.060437	0.000000	1.000000	
0.000000	0.000000	0.136489	0.296785	-0.114555	-0.056979	-0.355373	0.000000	0.000000	1.000000	
0.022967	0.143241	0.080252	-0.022644	0.127231	0.000000	0.000000	0.139258	0.031125	-0.183015	1.000000	
-0.009690	-0.060437	0.049828	-0.030704	0.410720	0.000000	0.000000	0.031125	0.199894	0.077219	0.000000	1.000000	
0.056979	0.355373	0.120526	0.148305	-0.181438	0.000000	0.000000	-0.183015	0.077219	-0.241025	0.000000	0.000000	1.000000	

MOCOEFF
-0.991525	-0.039373	0.007950	0.007949	0.000008	-0.002278	0.013030	0.003169	-0.003657	0.001099	0.000940	-0.000251	0.002775	
0.235278	-0.700633	-0.208487	-0.200617	0.037502	0.023946	-0.005287	-0.056566	0.080703	0.032335	-0.080752	0.013919	-0.193842	
-0.008896	0.036845	-0.233180	-0.305321	-0.056228	-0.068858	0.177668	-0.111953	0.018156	-0.572044	0.135816	-0.017774	0.415806	
-0.005297	0.027725	-0.508908	0.443921	0.093505	0.001323	-0.038497	-0.385133	-0.338394	0.058490	0.126567	0.070338	0.013719	
-0.053249	0.357363	-0.196845	-0.244487	0.081774	0.023853	-0.089105	0.562958	-0.690986	-0.026092	-0.169461	0.136754	-0.042164	
0.019841	-0.132460	0.280359	-0.105978	1.309735	0.075415	-0.631855	-0.155306	-0.106234	-0.032414	-0.133269	-0.543153	0.288949	
0.135750	-0.850741	0.368615	1.161603	0.005450	0.018698	-0.134120	0.533053	-0.063505	-0.828252	-0.130533	0.034076	-0.071540	
-0.063230	0.390825	-1.110313	0.332093	0.347293	0.005243	-0.060703	0.732131	0.812418	0.196252	-0.072250	-0.263381	0.183366	
0.165539	-1.128080	0.240397	0.185670	-0.091424	-0.137173	0.971524	0.385376	-0.294858	0.786194	0.385535	-0.104679	0.928164	
-0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000004	-0.000006	0.000000	0.000000	-0.000000	-0.928719	-0.026504	0.369836	
0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.033342	0.987432	0.154489	
-0.000000	0.000000	-0.000000	0.000000	0.000000	1.025836	-0.215516	-0.000000	0.000000	-0.000000	0.038788	-0.016364	0.096221	
0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.014391	-0.882584	0.000000	0.000000	-0.000000	0.171046	-0.072167	0.424342	

ERI
0 0 0 0 3.5004364
1 0 0 0 -0.3458940
1 0 1 0 0.0481853
1 0 1 1 -0.0200582
1 1 0 0 0.6640245
1 1 1 0 -0.0200582
1 1 1 1 0.4201409
2 0 0 0 0.0775459
2 0 1 0 -0.0063312
2 0 1 1 0.0181459
2 0 2 0 0.0018447
2 0 2 1 0.0059131
2 0 2 2 -0.0043975
2 1 0 0 0.0460682
2 1 1 0 -0.0010370
2 1 1 1 0.0323095
2 1 2 0 0.0059131
2 1 2 1 0.0606994
2 1 2 2 -0.0660259
2 2 0 0 0.5577348
2 2 1 0 -0.0054772
2 2 1 1 0.4233967
