NELEC	10
ENUC	11.406077
NBASIS	13
HF_ENERGY	-40.045320
ENERGIES
-10.944853
-0.907247
-0.560560
-0.479013
-0.158363
0.135423
0.762851
0.793060
0.799920
965064.138864
965066.013803
996490.159856
1073372.953520

OEI
-19.432184	
-0.331196	-5.302815	
0.089439	0.018247	-4.750239	
0.009994	-0.004972	0.002878	-4.637645	
-0.134302	-0.051810	0.000892	-0.058429	-4.287399	
-0.113561	0.001889	0.083992	0.094798	-1.138643	-3.537020	
-0.304633	-0.816650	0.550078	0.034099	0.273325	0.089935	-4.166075	
0.090743	0.339869	0.366815	0.748827	-0.043962	0.012251	0.000868	-4.439308	
0.120410	0.390132	0.502640	-0.561003	0.027510	-0.113618	0.000018	-0.132949	-4.506415	
-0.000543	0.003546	-0.020545	-0.087647	0.009668	-0.143386	0.061833	0.086738	-0.062745	965060.558629	
-0.000315	0.054461	0.004606	0.074773	-0.220305	0.138296	0.038507	-0.018422	0.060082	0.013750	965062.419044	
0.006397	-0.019497	-0.008059	-0.004718	0.025692	-0.039819	-0.007125	0.011486	0.025112	-0.001174	0.007377	996486.030539	
0.018953	-0.190519	-0.175153	-0.002444	0.058636	-0.070832	0.039645	-0.095862	-0.094294	-0.023511	0.072923	0.179660	1073369.806916	

OVERLAP
1.000000	
0.248362	1.000000	
0.063747	0.496523	1.000000	
0.063747	0.496523	0.172237	1.000000	
0.006454	0.110326	0.087909	0.026732	1.000000	
0.000001	0.037510	0.007446	0.007446	0.062028	1.000000	
0.037510	0.364644	0.122394	0.122394	0.489773	0.248362	1.000000	
0.000000	0.000000	0.237774	-0.355980	-0.014721	-0.022967	-0.143241	1.000000	
0.000000	0.000000	0.382595	-0.082106	0.079112	0.009690	0.060437	0.000000	1.000000	
0.000000	0.000000	0.136489	0.296785	-0.114555	-0.056979	-0.355373	0.000000	0.000000	1.000000	
0.022967	0.143241	0.080252	-0.022644	0.127231	0.000000	0.000000	0.139258	0.031125	-0.183015	1.000000	
-0.009690	-0.060437	0.049828	-0.030704	0.410720	0.000000	0.000000	0.031125	0.199894	0.077219	0.000000	1.000000	
0.056979	0.355373	0.120526	0.148305	-0.181438	0.000000	0.000000	-0.183015	0.077219	-0.241025	0.000000	0.000000	1.000000	

MOCOEFF
0.992174	0.036649	-0.007550	-0.007386	-0.000068	0.002249	-0.012686	-0.003727	0.004586	-0.001364	-0.000796	0.000060	-0.002770	
0.201233	-0.525404	-0.185826	-0.172214	0.082835	0.053979	-0.145494	0.080516	-0.113970	0.052346	-0.177821	0.062219	-0.347973	
-0.054539	0.219288	0.320620	0.292178	0.057066	0.080589	-0.308056	0.069111	0.067439	0.409601	-0.175276	0.011804	-0.491767	
-0.005573	0.013301	-0.463728	0.485799	0.146698	0.008602	-0.071483	-0.399109	-0.303445	0.118235	0.119122	0.040493	-0.003438	
0.079796	-0.346070	0.008069	0.145064	-0.798793	-0.053397	0.408401	-0.434637	0.597446	0.047418	0.189222	0.208082	-0.196462	
0.066611	-0.329927	0.189709	0.011537	1.075702	0.054293	-0.490381	-0.339382	0.415138	-0.005640	-0.049925	-0.551836	0.245244	
0.205134	-1.324645	0.887167	0.899777	-0.115954	-0.036168	0.266430	0.258769	-0.475811	-0.431701	0.070989	0.063976	0.232928	
-0.063309	0.422002	-0.602953	0.737842	0.137341	0.079531	-0.602717	0.500160	0.598541	-0.866480	-0.311180	-0.024782	-0.453086	
-0.082706	0.549399	0.601331	-0.411601	-0.072485	0.088612	-0.665658	-0.825843	-0.370869	-0.743050	-0.204103	0.206116	-0.689159	
0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000004	-0.000006	0.000000	0.000000	-0.000000	-0.929260	-0.050973	0.365892	
-0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000001	-0.000000	-0.000000	-0.000000	0.010309	0.986472	0.163609	
-0.000000	0.000000	-0.000000	0.000000	0.000000	1.025836	-0.215515	-0.000000	0.000000	-0.000000	0.038788	-0.016364	0.096221	
0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.014390	-0.882584	-0.000000	-0.000000	-0.000000	0.171046	-0.072165	0.424342	

ERI
0 0 0 0 3.5020357
1 0 0 0 0.2677870
1 0 1 0 0.0327817
1 0 1 1 0.0048501
1 1 0 0 0.6849432
1 1 1 0 0.0048501
1 1 1 1 0.5405119
2 0 0 0 -0.0717748
2 0 1 0 -0.0078434
2 0 1 1 -0.0058122
2 0 2 0 0.0079388
2 0 2 1 -0.0101359
2 0 2 2 0.0006157
2 1 0 0 -0.0315591
2 1 1 0 -0.0031398
2 1 1 1 0.0458044
2 1 2 0 -0.0101359
2 1 2 1 0.1321967
2 1 2 2 0.0172298
2 2 0 0 0.5996001
2 2 1 0 0.0024789
2 2 1 1 0.5007141
2 2 2 0 0.0006157
2 2 2 1 0.0172298
2 2 2 2 0.5024592
3 0 0 0 -0.0073232
3 0 1 0 -0.0006449
3 0 1 1 -0.0008630
3 0 2 0 0.0002354
3 0 2 1 0.0001486
3 0 2 2 -0.0003325
3 0 3 0 0.0074433
3 0 3 1 -0.0110707
3 0 3 2 0.0063014
3 0 3 3 0.0008237
3 1 0 0 -0.0019215
3 1 1 0 -0.0004341
3 1 1 1 0.0035562
3 1 2 0 0.0001472
3 1 2 1 -0.0030009
3 1 2 2 0.0025460
3 1 3 0 -0.0110707
3 1 3 1 0.0898097
3 1 3 2 -0.0710059
3 1 3 3 -0.0081434
3 2 0 0 0.0009638
3 2 1 0 0.0002707
3 2 1 1 -0.0039080
3 2 2 0 0.0000903
3 2 2 1 0.0017126
3 2 2 2 -0.0038135
3 2 3 0 0.0063014
3 2 3 1 -0.0710059
3 2 3 2 0.0749842
3 2 3 3 0.0067832
3 3 0 0 0.6049273
3 3 1 0 0.0031404
3 3 1 1 0.4622199
3 3 2 0 0.0024014
3 3 2 1 -0.0684079
3 3 2 2 0.4552773
3 3 3 0 0.0008237
3 3 3 1 -0.0081434
3 3 3 2 0.0067832
3 3 3 3 0.5275179
4 0 0 0 0.1039257
4 0 1 0 0.0099190
4 0 1 1 0.0101438
4 0 2 0 -0.0026760
4 0 2 1 -0.0018471
4 0 2 2 0.0044565
4 0 3 0 -0.0003396
4 0 3 1 -0.0000497
4 0 3 2 0.0000566
4 0 3 3 0.0040962
4 0 4 0 0.0169974
4 0 4 1 -0.0105460
4 0 4 2 0.0030005
4 0 4 3 0.0004813
4 0 4 4 -0.0065514
4 1 0 0 0.0364175
4 1 1 0 0.0042829
4 1 1 1 -0.0149038
4 1 2 0 -0.0016261
4 1 2 1 0.0057110
4 1 2 2 -0.0053393
4 1 3 0 -0.0002254
4 1 3 1 0.0025402
4 1 3 2 -0.0048217
4 1 3 3 -0.0054656
4 1 4 0 -0.0105460
4 1 4 1 0.0426046
4 1 4 2 -0.0077162
4 1 4 3 -0.0007887
4 1 4 4 0.0245662
4 2 0 0 -0.0074142
4 2 1 0 -0.0015398
4 2 1 1 0.0084734
4 2 2 0 -0.0015016
4 2 2 1 0.0003020
4 2 2 2 0.0025667
4 2 3 0 0.0007308
4 2 3 1 -0.0089360
4 2 3 2 0.0065443
4 2 3 3 0.0075996
4 2 4 0 0.0030005
4 2 4 1 -0.0077162
4 2 4 2 0.0179382
4 2 4 3 0.0025179
4 2 4 4 -0.0131234
4 3 0 0 0.0104629
4 3 1 0 -0.0001412
4 3 1 1 0.0081366
4 3 2 0 0.0005558
4 3 2 1 -0.0104356
4 3 2 2 0.0100686
4 3 3 0 -0.0021504
4 3 3 1 -0.0017406
4 3 3 2 0.0047304
4 3 3 3 0.0184846
4 3 4 0 0.0004813
4 3 4 1 -0.0007887
4 3 4 2 0.0025179
4 3 4 3 0.0195465
4 3 4 4 -0.0086412
4 4 0 0 0.6376188
4 4 1 0 0.0078319
4 4 1 1 0.4291958
4 4 2 0 -0.0026569
4 4 2 1 0.0159299
4 4 2 2 0.4054309
4 4 3 0 -0.0004902
4 4 3 1 0.0042543
4 4 3 2 -0.0001090
4 4 3 3 0.3900139
4 4 4 0 -0.0065514
4 4 4 1 0.0245662
4 4 4 2 -0.0131234
4 4 4 3 -0.0086412
4 4 4 4 0.5012466
5 0 0 0 0.0871576
5 0 1 0 0.0085219
5 0 1 1 0.0082516
5 0 2 0 -0.0028721
5 0 2 1 -0.0003423
5 0 2 2 0.0034660
5 0 3 0 -0.0001595
5 0 3 1 -0.0001887
5 0 3 2 -0.0000056
5 0 3 3 0.0029611
5 0 4 0 0.0128241
5 0 4 1 -0.0074059
5 0 4 2 0.0023737
5 0 4 3 0.0003038
5 0 4 4 -0.0045163
5 0 5 0 0.0097837
5 0 5 1 -0.0051731
5 0 5 2 0.0018643
5 0 5 3 -0.0000356
5 0 5 4 -0.0044865
5 0 5 5 -0.0022048
5 1 0 0 0.0233400
5 1 1 0 0.0034016
5 1 1 1 -0.0190447
5 1 2 0 -0.0005846
5 1 2 1 -0.0000182
5 1 2 2 -0.0122628
5 1 3 0 -0.0001171
5 1 3 1 -0.0027519
5 1 3 2 0.0064132
5 1 3 3 -0.0092232
5 1 4 0 -0.0071603
5 1 4 1 0.0238434
5 1 4 2 -0.0100142
5 1 4 3 -0.0022931
5 1 4 4 0.0282134
5 1 5 0 -0.0051731
5 1 5 1 0.0237891
5 1 5 2 -0.0048274
5 1 5 3 0.0045162
5 1 5 4 0.0096814
5 1 5 5 0.0203955
5 2 0 0 -0.0260528
5 2 1 0 -0.0015522
5 2 1 1 -0.0028599
5 2 2 0 -0.0009500
5 2 2 1 -0.0047869
5 2 2 2 -0.0074951
5 2 3 0 -0.0009128
5 2 3 1 0.0122334
5 2 3 2 -0.0096930
5 2 3 3 0.0002682
5 2 4 0 0.0025037
5 2 4 1 -0.0121468
5 2 4 2 0.0077551
5 2 4 3 -0.0009390
5 2 4 4 -0.0095027
5 2 5 0 0.0018643
5 2 5 1 -0.0048274
5 2 5 2 0.0149045
5 2 5 3 -0.0001076
5 2 5 4 -0.0201146
5 2 5 5 0.0011650
5 3 0 0 -0.0169457
5 3 1 0 -0.0002396
5 3 1 1 -0.0098372
5 3 2 0 -0.0006751
5 3 2 1 0.0144172
5 3 2 2 -0.0138536
5 3 3 0 -0.0017132
5 3 3 1 -0.0022656
5 3 3 2 0.0058570
5 3 3 3 -0.0236402
5 3 4 0 0.0000125
5 3 4 1 -0.0022931
5 3 4 2 -0.0013898
5 3 4 3 0.0053979
5 3 4 4 0.0093616
5 3 5 0 -0.0000356
5 3 5 1 0.0045162
5 3 5 2 -0.0001076
5 3 5 3 0.0166874
5 3 5 4 -0.0308655
5 3 5 5 0.0253526
5 4 0 0 0.2792947
5 4 1 0 0.0066579
5 4 1 1 0.0910042
5 4 2 0 0.0000432
5 4 2 1 -0.0422687
5 4 2 2 0.0855234
5 4 3 0 0.0004283
5 4 3 1 -0.0101255
5 4 3 2 0.0035398
5 4 3 3 0.1108897
5 4 4 0 -0.0067002
5 4 4 1 0.0418676
5 4 4 2 -0.0018509
5 4 4 3 0.0224672
5 4 4 4 0.0548747
5 4 5 0 -0.0044865
5 4 5 1 0.0096814
5 4 5 2 -0.0201146
5 4 5 3 -0.0308655
5 4 5 4 0.2244250
5 4 5 5 -0.0777452
5 5 0 0 0.4650360
5 5 1 0 0.0040733
5 5 1 1 0.3727903
5 5 2 0 -0.0020750
5 5 2 1 0.0392511
5 5 2 2 0.3559507
5 5 3 0 -0.0011530
5 5 3 1 0.0165046
5 5 3 2 -0.0083840
5 5 3 3 0.3237490
5 5 4 0 -0.0030016
5 5 4 1 0.0006860
5 5 4 2 -0.0141424
5 5 4 3 -0.0225392
5 5 4 4 0.4629710
5 5 5 0 -0.0022048
5 5 5 1 0.0203955
5 5 5 2 0.0011650
5 5 5 3 0.0253526
5 5 5 4 -0.0777452
5 5 5 5 0.5066128
6 0 0 0 0.2674941
6 0 1 0 0.0337110
6 0 1 1 0.0049208
6 0 2 0 -0.0132198
6 0 2 1 0.0057573
6 0 2 2 -0.0004083
6 0 3 0 -0.0010975
6 0 3 1 0.0000937
6 0 3 2 -0.0001413
6 0 3 3 -0.0007154
6 0 4 0 0.0047401
6 0 4 1 0.0091924
6 0 4 2 -0.0012112
6 0 4 3 -0.0006452
6 0 4 4 0.0108759
6 0 5 0 0.0052949
6 0 5 1 0.0062966
6 0 5 2 -0.0013970
6 0 5 3 0.0004284
6 0 5 4 0.0077305
6 0 5 5 0.0061575
6 0 6 0 0.0415047
6 0 6 1 0.0008991
6 0 6 2 0.0003189
6 0 6 3 -0.0000296
6 0 6 4 0.0041858
6 0 6 5 0.0028172
6 0 6 6 -0.0033815
6 1 0 0 0.2281313
6 1 1 0 0.0061426
6 1 1 1 0.0695172
6 1 2 0 0.0005303
6 1 2 1 -0.0125222
6 1 2 2 0.0476973
6 1 3 0 -0.0001575
6 1 3 1 -0.0012027
6 1 3 2 0.0012652
6 1 3 3 0.0383948
6 1 4 0 0.0100494
6 1 4 1 -0.0114606
6 1 4 2 -0.0010987
6 1 4 3 -0.0000300
6 1 4 4 0.0570301
6 1 5 0 0.0073704
6 1 5 1 -0.0057378
6 1 5 2 -0.0044591
6 1 5 3 0.0003933
6 1 5 4 0.0439215
6 1 5 5 0.0281417
6 1 6 0 0.0008991
6 1 6 1 0.0665109
6 1 6 2 -0.0449073
6 1 6 3 -0.0018150
6 1 6 4 -0.0266080
6 1 6 5 -0.0158748
6 1 6 6 0.0726750
6 2 0 0 -0.1445421
6 2 1 0 -0.0041238
6 2 1 1 -0.0466901
6 2 2 0 -0.0035245
6 2 2 1 -0.0138022
6 2 2 2 -0.0458546
6 2 3 0 0.0000913
6 2 3 1 0.0010705
6 2 3 2 -0.0016944
6 2 3 3 0.0002822
6 2 4 0 -0.0024200
6 2 4 1 -0.0050584
6 2 4 2 0.0056783
6 2 4 3 0.0041412
6 2 4 4 -0.0534829
6 2 5 0 -0.0015435
6 2 5 1 -0.0055335
6 2 5 2 0.0099147
6 2 5 3 -0.0054074
6 2 5 4 -0.0208263
6 2 5 5 -0.0402583
6 2 6 0 0.0003189
6 2 6 1 -0.0449073
6 2 6 2 0.0605079
6 2 6 3 0.0014926
6 2 6 4 0.0115714
6 2 6 5 0.0092047
6 2 6 6 -0.0235938
6 3 0 0 -0.0085048
6 3 1 0 -0.0003254
6 3 1 1 -0.0039363
6 3 2 0 -0.0000046
6 3 2 1 0.0012064
6 3 2 2 -0.0042684
6 3 3 0 -0.0026966
6 3 3 1 -0.0417129
6 3 3 2 0.0513740
6 3 3 3 0.0049744
6 3 4 0 -0.0002957
6 3 4 1 -0.0032766
6 3 4 2 0.0061175
6 3 4 3 0.0096216
6 3 4 4 -0.0049839
6 3 5 0 -0.0002042
6 3 5 1 0.0049155
6 3 5 2 -0.0081878
6 3 5 3 0.0092456
6 3 5 4 0.0053209
6 3 5 5 -0.0139645
6 3 6 0 -0.0000296
6 3 6 1 -0.0018150
6 3 6 2 0.0014926
6 3 6 3 0.0751048
6 3 6 4 0.0085870
6 3 6 5 -0.0090528
6 3 6 6 0.0004230
6 4 0 0 -0.0591566
6 4 1 0 0.0019559
6 4 1 1 -0.0379867
6 4 2 0 0.0011190
6 4 2 1 -0.0057827
6 4 2 2 -0.0192546
6 4 3 0 0.0002298
6 4 3 1 -0.0057206
6 4 3 2 0.0071118
6 4 3 3 -0.0120055
6 4 4 0 -0.0078625
6 4 4 1 0.0164194
6 4 4 2 -0.0102608
6 4 4 3 -0.0006833
6 4 4 4 -0.0075670
6 4 5 0 -0.0058391
6 4 5 1 0.0150352
6 4 5 2 -0.0065493
6 4 5 3 0.0020586
6 4 5 4 -0.0122974
6 4 5 5 0.0014187
6 4 6 0 0.0041858
6 4 6 1 -0.0266080
6 4 6 2 0.0115714
6 4 6 3 0.0085870
6 4 6 4 0.0257650
6 4 6 5 0.0141878
6 4 6 6 -0.0343717
6 5 0 0 -0.0173180
6 5 1 0 0.0019856
6 5 1 1 -0.0174972
6 5 2 0 0.0014173
6 5 2 1 -0.0146789
6 5 2 2 -0.0022185
6 5 3 0 -0.0002936
6 5 3 1 0.0078277
6 5 3 2 -0.0091306
6 5 3 3 0.0067340
6 5 4 0 -0.0053193
6 5 4 1 0.0156350
6 5 4 2 -0.0064864
6 5 4 3 0.0018886
6 5 4 4 -0.0111966
6 5 5 0 -0.0039672
6 5 5 1 0.0061222
6 5 5 2 -0.0052965
6 5 5 3 -0.0067154
6 5 5 4 0.0183331
6 5 5 5 -0.0186046
6 5 6 0 0.0028172
6 5 6 1 -0.0158748
6 5 6 2 0.0092047
6 5 6 3 -0.0090528
6 5 6 4 0.0141878
6 5 6 5 0.0166509
6 5 6 6 -0.0057025
6 6 0 0 0.7255366
6 6 1 0 0.0088698
6 6 1 1 0.4836615
6 6 2 0 0.0050098
6 6 2 1 -0.0777518
6 6 2 2 0.4780402
6 6 3 0 0.0000904
6 6 3 1 -0.0027909
6 6 3 2 0.0021838
6 6 3 3 0.5177800
6 6 4 0 0.0170164
6 6 4 1 -0.0302758
6 6 4 2 0.0126427
6 6 4 3 0.0194901
6 6 4 4 0.3948868
6 6 5 0 0.0121852
6 6 5 1 -0.0255052
6 6 5 2 0.0044178
6 6 5 3 -0.0239324
6 6 5 4 0.1160379
6 6 5 5 0.3253038
6 6 6 0 -0.0033815
6 6 6 1 0.0726750
6 6 6 2 -0.0235938
6 6 6 3 0.0004230
6 6 6 4 -0.0343717
6 6 6 5 -0.0057025
6 6 6 6 0.5797405
7 0 0 0 -0.0824019
7 0 1 0 -0.0119239
7 0 1 1 0.0043288
7 0 2 0 -0.0037457
7 0 2 1 0.0108679
7 0 2 2 -0.0014929
7 0 3 0 -0.0102523
7 0 3 1 0.0140276
7 0 3 2 -0.0077830
7 0 3 3 -0.0042137
7 0 4 0 -0.0022403
7 0 4 1 -0.0012935
7 0 4 2 0.0018360
7 0 4 3 0.0027484
7 0 4 4 -0.0015152
7 0 5 0 -0.0016136
7 0 5 1 -0.0016613
7 0 5 2 0.0033026
7 0 5 3 0.0031457
7 0 5 4 -0.0043592
7 0 5 5 0.0008359
7 0 6 0 -0.0064651
7 0 6 1 -0.0034088
7 0 6 2 0.0057239
7 0 6 3 0.0036601
7 0 6 4 -0.0032721
7 0 6 5 -0.0026488
7 0 6 6 -0.0090349
7 0 7 0 0.0263345
7 0 7 1 -0.0134508
7 0 7 2 0.0028632
7 0 7 3 -0.0036011
7 0 7 4 -0.0085739
7 0 7 5 -0.0064767
7 0 7 6 -0.0159442
7 0 7 7 0.0089716
7 1 0 0 -0.0980426
7 1 1 0 -0.0015752
7 1 1 1 -0.0276269
7 1 2 0 0.0048749
7 1 2 1 0.0064477
7 1 2 2 -0.0032376
7 1 3 0 0.0071362
7 1 3 1 -0.0125930
7 1 3 2 -0.0072548
7 1 3 3 -0.0301561
7 1 4 0 -0.0024218
