NELEC	10
ENUC	11.406077
NBASIS	13
HF_ENERGY	-41.284289
ENERGIES
-11.185037
-1.157136
-0.740712
-0.604746
-0.213323
0.077268
0.526152
0.647480
0.652374
965063.917807
965065.751748
996489.629708
1073372.773258

OEI
-19.548549	
0.283791	-5.510298	
0.178508	-0.098779	-4.919901	
-0.015058	-0.006260	-0.005647	-4.803089	
0.123796	-0.008883	0.063420	-0.045558	-4.007083	
-0.149034	0.004640	-0.030477	-0.050353	1.121283	-3.993978	
-0.238125	0.814070	-0.042475	0.010325	-0.097667	0.066501	-4.848442	
0.061447	-0.110553	-0.283170	-0.886257	0.111118	0.060436	-0.068636	-4.297556	
0.213114	-0.322531	-0.797813	0.329908	0.144711	-0.074715	-0.228488	0.007916	-4.200382	
-0.000673	-0.001150	-0.021937	0.079183	-0.031011	-0.132811	0.025413	0.076059	-0.074262	965060.257330	
-0.000419	-0.058998	-0.010546	-0.065613	0.229076	0.103916	-0.022022	-0.051284	-0.024058	0.017565	965062.070679	
0.006030	0.017991	-0.000725	0.003582	-0.030449	-0.036156	-0.025605	-0.007463	-0.001525	-0.001923	0.009306	996485.359845	
0.017997	0.217943	-0.122246	0.001069	-0.074219	-0.057635	0.122132	-0.013412	0.019479	-0.032777	0.096157	0.187389	1073369.527640	

OVERLAP
1.000000	
0.248362	1.000000	
0.063747	0.496523	1.000000	
0.063747	0.496523	0.172237	1.000000	
0.006454	0.110326	0.087909	0.026732	1.000000	
0.000001	0.037510	0.007446	0.007446	0.062028	1.000000	
0.037510	0.364644	0.122394	0.122394	0.489773	0.248362	1.000000	
0.000000	0.000000	0.237774	-0.355980	-0.014721	-0.022967	-0.143241	1.000000	
0.000000	0.000000	0.382595	-0.082106	0.079112	0.009690	0.060437	0.000000	1.000000	
0.000000	0.000000	0.136489	0.296785	-0.114555	-0.056979	-0.355373	0.000000	0.000000	1.000000	
0.022967	0.143241	0.080252	-0.022644	0.127231	0.000000	0.000000	0.139258	0.031125	-0.183015	1.000000	
-0.009690	-0.060437	0.049828	-0.030704	0.410720	0.000000	0.000000	0.031125	0.199894	0.077219	0.000000	1.000000	
0.056979	0.355373	0.120526	0.148305	-0.181438	0.000000	0.000000	-0.183015	0.077219	-0.241025	0.000000	0.000000	1.000000	

MOCOEFF
0.992342	0.035959	-0.007090	-0.006911	-0.000022	0.002297	-0.013227	-0.004133	0.004550	-0.003004	-0.000975	0.000139	-0.003117	
-0.175828	0.427560	0.095872	0.086187	-0.072225	-0.074353	0.228577	-0.107539	0.111094	-0.128355	0.225702	-0.080242	0.484471	
-0.111991	0.415406	0.336283	0.291338	0.011499	0.069637	-0.304987	-0.009346	0.170570	0.337121	-0.138019	0.000983	-0.446607	
0.008683	-0.029809	0.414580	-0.437753	-0.120292	-0.009004	0.067794	0.452879	0.336703	-0.141122	-0.123963	-0.056583	0.024160	
-0.070768	0.284167	0.081971	-0.078087	0.958102	0.067578	-0.519058	0.363638	-0.536391	-0.087642	-0.208710	-0.285306	0.191727	
0.085684	-0.398654	0.134418	-0.010638	0.939916	0.040215	-0.377270	-0.392196	0.505904	0.075585	-0.004508	-0.518794	0.245397	
0.168350	-1.119746	0.274874	0.251992	-0.086255	-0.117864	0.910229	0.437904	-0.283431	0.883964	0.336224	-0.093645	0.804478	
-0.042417	0.270430	-1.080651	0.571668	0.183320	0.004315	-0.034059	0.827694	0.749833	0.030274	-0.089184	-0.168181	0.099049	
-0.144485	0.929888	-0.581676	-1.102355	0.046251	-0.014597	0.120378	-0.306810	0.141591	0.854575	0.091768	-0.058483	0.086172	
0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000004	-0.000006	0.000000	0.000000	-0.000000	-0.929080	-0.039594	0.367755	
0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000001	-0.000000	-0.000000	-0.000000	0.021024	0.986994	0.159379	
-0.000000	0.000000	-0.000000	0.000000	0.000000	1.025836	-0.215514	-0.000000	0.000000	-0.000000	0.038788	-0.016364	0.096220	
0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.014390	-0.882584	-0.000000	0.000000	0.000000	0.171046	-0.072166	0.424342	

ERI
0 0 0 0 3.5029164
1 0 0 0 -0.2342003
1 0 1 0 0.0259356
1 0 1 1 0.0000068
1 1 0 0 0.6551314
1 1 1 0 0.0000068
1 1 1 1 0.6132437
2 0 0 0 -0.1471780
2 0 1 0 0.0143945
2 0 1 1 -0.0089628
2 0 2 0 0.0142987
2 0 2 1 0.0055050
2 0 2 2 0.0038447
2 1 0 0 0.0678038
2 1 1 0 -0.0046747
2 1 1 1 -0.0787364
2 1 2 0 0.0055050
2 1 2 1 0.0987657
2 1 2 2 0.0369203
2 2 0 0 0.6217526
2 2 1 0 -0.0045575
2 2 1 1 0.4696275
2 2 2 0 0.0038447
2 2 2 1 0.0369203
2 2 2 2 0.5173459
3 0 0 0 0.0113663
3 0 1 0 -0.0009735
3 0 1 1 0.0008642
3 0 2 0 -0.0005633
3 0 2 1 0.0003483
3 0 2 2 0.0007500
3 0 3 0 0.0090383
3 0 3 1 0.0101704
3 0 3 2 0.0100201
3 0 3 3 -0.0013603
3 1 0 0 -0.0039910
3 1 1 0 0.0003594
3 1 1 1 0.0025975
3 1 2 0 0.0003154
3 1 2 1 0.0010275
3 1 2 2 0.0042212
3 1 3 0 0.0101704
3 1 3 1 0.0544444
3 1 3 2 0.0638523
3 1 3 3 -0.0096016
3 2 0 0 -0.0024599
3 2 1 0 0.0003398
3 2 1 1 0.0015135
3 2 2 0 0.0002182
3 2 2 1 0.0039915
3 2 2 2 0.0078489
3 2 3 0 0.0100201
