NELEC	10
ENUC	11.406077
NBASIS	13
HF_ENERGY	-40.790979
ENERGIES
-10.722684
-0.793689
-0.426987
-0.372283
-0.192341
0.340794
0.887869
0.906941
0.969747
965064.414028
965066.282003
996490.547131
1073373.303987

OEI
-19.617219	
-0.371316	-5.354282	
-0.058483	0.005201	-4.776024	
-0.012792	-0.012312	-0.002412	-4.673661	
0.141193	0.156742	0.058982	0.001365	-5.268147	
0.031321	0.006185	0.090061	0.081867	-0.280074	-2.329098	
0.276209	0.686824	0.692008	0.156032	0.330745	-0.087371	-4.319486	
0.026948	0.089939	0.135049	-0.982064	0.047276	-0.258981	0.019168	-4.442401	
0.228962	0.756093	-0.638529	-0.042762	0.185198	0.032833	0.115472	0.012849	-4.407375	
-0.000224	0.003653	0.018526	0.106507	0.078112	0.153250	-0.085595	0.107809	-0.003068	965060.935951	
-0.000238	0.032075	0.012294	-0.093704	0.152574	-0.266345	-0.048260	-0.066871	0.010338	0.003160	965062.802817	
0.007340	-0.023132	0.010953	0.004830	-0.004784	0.054080	0.000738	-0.009628	0.030453	0.000703	0.001965	996486.592762	
0.021522	-0.203002	0.198016	0.011338	-0.041008	0.105509	-0.003358	-0.013597	-0.170323	0.003361	0.017512	0.175163	1073370.314939	

OVERLAP
1.000000	
0.248362	1.000000	
0.063747	0.496523	1.000000	
0.063747	0.496523	0.172237	1.000000	
0.006454	0.110326	0.087909	0.026732	1.000000	
0.000001	0.037510	0.007446	0.007446	0.062028	1.000000	
0.037510	0.364644	0.122394	0.122394	0.489773	0.248362	1.000000	
0.000000	0.000000	0.237774	-0.355980	-0.014721	-0.022967	-0.143241	1.000000	
0.000000	0.000000	0.382595	-0.082106	0.079112	0.009690	0.060437	0.000000	1.000000	
0.000000	0.000000	0.136489	0.296785	-0.114555	-0.056979	-0.355373	0.000000	0.000000	1.000000	
0.022967	0.143241	0.080252	-0.022644	0.127231	0.000000	0.000000	0.139258	0.031125	-0.183015	1.000000	
-0.009690	-0.060437	0.049828	-0.030704	0.410720	0.000000	0.000000	0.031125	0.199894	0.077219	0.000000	1.000000	
