NELEC	10
ENUC	11.406077
NBASIS	13
HF_ENERGY	-40.235559
ENERGIES
-10.779151
-0.844347
-0.473192
-0.384844
-0.100166
0.231699
0.857793
0.895854
0.901168
965064.273924
965066.114917
996490.361039
1073373.142583

OEI
-19.518746	
0.334895	-5.312235	
0.105286	-0.043311	-4.714350	
0.015439	-0.012232	-0.001418	-4.617808	
0.156957	-0.079859	0.016935	0.042464	-4.893007	
-0.067066	-0.020941	0.064370	0.126894	0.811753	-2.757215	
0.355735	-0.958666	-0.395356	-0.025785	0.266644	-0.006845	-4.226008	
0.005859	0.021299	0.030128	-0.971717	-0.040006	-0.135957	0.009098	-4.398103	
-0.036775	0.328993	-0.806061	-0.025382	0.029880	0.089570	0.094751	-0.000723	-4.581122	
-0.000367	-0.004992	-0.020951	-0.102393	0.037703	-0.156845	-0.055799	-0.117021	-0.026294	965060.746976	
-0.000344	-0.046826	-0.018310	0.088779	0.193968	0.218734	-0.034842	0.058410	-0.040917	0.006242	965062.582305	
0.006979	0.022319	-0.005955	-0.005814	-0.014673	-0.051350	0.016936	0.007211	-0.026076	0.000277	0.003622	996486.315547	
0.020560	0.223441	-0.172235	-0.013569	-0.052935	-0.093836	-0.088010	0.018065	0.120890	-0.004854	0.034410	0.180049	1073370.089091	

OVERLAP
1.000000	
0.248362	1.000000	
0.063747	0.496523	1.000000	
0.063747	0.496523	0.172237	1.000000	
0.006454	0.110326	0.087909	0.026732	1.000000	
0.000001	0.037510	0.007446	0.007446	0.062028	1.000000	
0.037510	0.364644	0.122394	0.122394	0.489773	0.248362	1.000000	
0.000000	0.000000	0.237774	-0.355980	-0.014721	-0.022967	-0.143241	1.000000	
0.000000	0.000000	0.382595	-0.082106	0.079112	0.009690	0.060437	0.000000	1.000000	
0.000000	0.000000	0.136489	0.296785	-0.114555	-0.056979	-0.355373	0.000000	0.000000	1.000000	
0.022967	0.143241	0.080252	-0.022644	0.127231	0.000000	0.000000	0.139258	0.031125	-0.183015	1.000000	
-0.009690	-0.060437	0.049828	-0.030704	0.410720	0.000000	0.000000	0.031125	0.199894	0.077219	0.000000	1.000000	
0.056979	0.355373	0.120526	0.148305	-0.181438	0.000000	0.000000	-0.183015	0.077219	-0.241025	0.000000	0.000000	1.000000	

MOCOEFF
0.991841	0.038282	-0.007836	-0.007694	-0.000032	0.002318	-0.013490	-0.004548	0.005312	-0.002222	-0.000930	0.000030	-0.003295	
-0.197212	0.506644	0.172745	0.154241	-0.085311	-0.058519	0.157107	-0.089468	0.101460	-0.103626	0.185964	-0.060664	0.375786	
-0.062523	0.220255	0.371350	0.312845	0.043978	0.075692	-0.294394	0.051604	0.101485	0.384333	-0.160446	0.002532	-0.465589	
-0.009082	0.029096	-0.470826	0.504316	0.158126	0.011680	-0.087984	-0.383385	-0.289004	0.122347	0.110397	0.035716	-0.016312	
-0.096617	0.432048	-0.034293	-0.113256	0.444012	0.040491	-0.275868	0.516311	-0.693479	-0.068311	-0.181660	-0.029920	0.077914	
0.040260	-0.212518	0.181791	-0.061260	1.261108	0.065575	-0.576548	-0.207632	0.209882	-0.004695	-0.097053	-0.588440	0.304178	
