NELEC	10
ENUC	11.406077
NBASIS	13
HF_ENERGY	-41.162198
ENERGIES
-10.721826
-0.791155
-0.411401
-0.380183
-0.256686
0.439469
0.880129
0.895441
1.014570
965064.500640
965066.374723
996490.692567
1073373.410328

OEI
-19.677973	
-0.393481	-5.418750	
-0.023679	0.037244	-4.857022	
0.010205	0.014907	0.002873	-4.722444	
0.114172	0.218873	0.084221	-0.015700	-5.330828	
-0.030898	-0.040160	-0.090384	0.022906	0.169224	-2.216906	
0.240186	0.605935	0.690919	-0.306182	0.374131	0.063200	-4.378306	
-0.061510	-0.168631	-0.254652	-0.959097	-0.097883	-0.389949	-0.036774	-4.422709	
0.256864	0.771739	-0.657415	0.055150	0.282956	0.011092	0.090481	-0.021055	-4.256982	
-0.000157	-0.000420	0.017061	-0.106732	0.088133	-0.152215	-0.105356	-0.087573	-0.011794	965061.045117	
-0.000149	0.018216	0.010602	0.096091	0.146253	0.275202	-0.038209	0.067010	0.002944	0.002746	965062.918712	
0.007483	-0.022812	0.014213	-0.004106	-0.004413	-0.053043	-0.001158	0.012297	0.028899	0.000747	0.001728	996486.786873	
0.021883	-0.182113	0.208121	-0.010877	-0.048656	-0.105708	0.021497	0.007796	-0.183450	0.004429	0.014668	0.171228	1073370.446218	

OVERLAP
1.000000	
0.248362	1.000000	
0.063747	0.496523	1.000000	
0.063747	0.496523	0.172237	1.000000	
0.006454	0.110326	0.087909	0.026732	1.000000	
0.000001	0.037510	0.007446	0.007446	0.062028	1.000000	
0.037510	0.364644	0.122394	0.122394	0.489773	0.248362	1.000000	
0.000000	0.000000	0.237774	-0.355980	-0.014721	-0.022967	-0.143241	1.000000	
0.000000	0.000000	0.382595	-0.082106	0.079112	0.009690	0.060437	0.000000	1.000000	
0.000000	0.000000	0.136489	0.296785	-0.114555	-0.056979	-0.355373	0.000000	0.000000	1.000000	
0.022967	0.143241	0.080252	-0.022644	0.127231	0.000000	0.000000	0.139258	0.031125	-0.183015	1.000000	
-0.009690	-0.060437	0.049828	-0.030704	0.410720	0.000000	0.000000	0.031125	0.199894	0.077219	0.000000	1.000000	
0.056979	0.355373	0.120526	0.148305	-0.181438	0.000000	0.000000	-0.183015	0.077219	-0.241025	0.000000	0.000000	1.000000	

MOCOEFF
0.991595	0.039160	-0.007934	-0.007900	0.000002	0.002293	-0.013212	-0.003620	0.004189	-0.001457	-0.000943	0.000176	-0.002948	
0.226666	-0.648729	-0.210223	-0.197383	0.047918	0.033494	-0.042678	-0.002783	0.014532	0.058079	-0.112331	0.031944	-0.244869	
0.013644	-0.050318	-0.301119	-0.280387	-0.047854	-0.072887	0.218605	-0.136148	-0.009032	-0.509799	0.159572	-0.017030	0.442421	
-0.006189	0.026912	-0.484964	0.480361	0.110097	0.007975	-0.060142	-0.374353	-0.325174	0.110520	0.114185	0.063535	-0.019708	
-0.072709	0.410371	-0.171366	-0.209678	0.098922	0.022730	-0.101987	0.559671	-0.704772	-0.049137	-0.162934	0.128538	-0.019390	
