NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-182.296534
ENERGIES
-20.297663
-20.234850
-11.088220
-1.364066
-1.273256
-0.719453
-0.540031
-0.523141
-0.476666
-0.336978
-0.314620
0.351502
0.587699
0.803628
1.027648
1000000.439278

OEI
-36.148961	
-0.000302	-35.974378	
-0.000202	0.003769	-23.937936	
-0.484698	-0.217373	-0.126603	-11.496863	
-0.257964	0.472721	0.100323	0.186802	-11.490413	
0.087719	0.166555	-0.158426	-0.675328	-0.302426	-10.248442	
0.029408	-0.028560	-0.008595	-0.005352	0.003230	-0.049674	-10.371730	
-0.138137	0.251623	-0.047974	-0.058310	0.290233	0.156615	0.007933	-10.512426	
-0.208462	-0.165886	0.057515	-0.113718	-0.504852	0.353170	0.000000	0.031067	-10.310965	
-0.005459	-0.014016	-0.008866	0.035048	0.042822	0.028961	0.293352	0.024622	0.039888	-10.595192	
0.000010	0.026704	-0.038398	0.227879	0.236770	0.070656	-0.078174	-0.019950	-0.046995	-0.039545	-10.680150	
-0.005744	0.007740	-0.005053	-0.038250	0.033114	0.026507	0.517036	0.072593	0.047570	0.261426	-0.076400	-10.022632	
-0.296467	-0.031186	0.071391	-1.050597	-0.487587	1.257427	-0.119495	0.306224	1.070120	0.017788	-0.092356	0.022921	-8.574068	
-0.078344	-0.016192	0.151379	-0.238491	-0.011107	-0.759691	0.001778	0.043985	-0.542814	-0.005071	0.109760	-0.035874	-0.831755	-10.349940	
0.027429	-0.220258	0.126636	-0.187990	0.801319	0.031155	-0.008375	-0.196786	-0.070471	-0.041143	-0.032794	-0.038042	-0.223356	-0.177355	-10.382993	
-0.007568	-0.047792	-0.215113	0.226587	-0.182097	0.150985	0.016474	0.084991	-0.139342	0.021773	0.091938	0.009744	-0.249104	-0.112255	-0.188745	999991.437028	

OVERLAP
1.000000	
0.248362	1.000000	
0.000000	0.028557	1.000000	
0.025151	0.306362	0.236704	1.000000	
0.000002	0.039483	0.000000	0.000275	1.000000	
0.040039	0.380501	0.000275	0.021460	0.236704	1.000000	
0.011203	0.164835	0.054425	0.477094	0.000307	0.008447	1.000000	
0.000000	0.000000	-0.030741	-0.252158	0.064098	0.439249	-0.182434	1.000000	
0.000000	0.000000	-0.018029	-0.147888	-0.018243	-0.125014	-0.012590	0.000000	1.000000	
0.000000	0.000000	-0.031441	-0.257902	0.002311	0.015836	-0.074896	0.000000	0.000000	1.000000	
0.028158	0.185278	0.000000	0.000000	0.000683	0.031812	-0.354385	-0.029874	-0.115903	-0.202123	1.000000	
0.016514	0.108663	0.000000	0.000000	0.000061	0.002840	0.158516	-0.115903	0.099772	-0.118543	0.000000	1.000000	
0.028799	0.189498	0.000000	0.000000	0.000314	0.014620	0.070991	-0.202123	-0.118543	-0.038979	0.000000	0.000000	1.000000	
-0.064213	-0.318180	-0.000683	-0.031812	0.000000	0.000000	-0.011134	-0.272531	0.141306	-0.017899	-0.042474	-0.004520	-0.023265	1.000000	
0.018276	0.090556	-0.000061	-0.002840	0.000000	0.000000	0.000803	0.141306	0.183748	0.005094	-0.004520	0.007747	-0.002077	0.000000	1.000000	
-0.002315	-0.011471	-0.000314	-0.014620	0.000000	0.000000	-0.002907	-0.017899	0.005094	0.223319	-0.023265	-0.002077	-0.002542	0.000000	0.000000	1.000000	

MOCOEFF
-0.000349	0.004226	-0.994004	-0.027336	0.004211	-0.000162	0.006045	-0.002585	-0.002974	-0.004254	0.000545	-0.003075	-0.003402	0.000221	0.000309	0.000433	
