NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-182.040384
ENERGIES
-20.255490
-20.173701
-11.110884
-1.332096
-1.253004
-0.685294
-0.505175
-0.500122
-0.446130
-0.318911
-0.299863
0.383840
0.646185
0.841790
1.059122
1000000.620860

OEI
-36.090065	
0.000242	-36.029976	
-0.000156	0.003788	-23.913971	
0.407812	0.328506	0.147408	-11.566744	
-0.372819	0.413271	0.061868	-0.197632	-11.404002	
-0.103707	-0.186815	0.163179	-0.556370	0.406394	-10.245864	
-0.003394	-0.047936	0.014596	-0.005818	-0.065023	-0.015304	-10.330870	
-0.086289	0.270711	-0.046830	0.086122	0.396388	-0.032170	0.024928	-10.546982	
-0.218632	-0.094631	0.041076	0.037916	-0.452776	-0.377701	0.010538	-0.005710	-10.274428	
-0.001180	-0.005607	-0.002308	-0.020611	0.026967	-0.004067	0.199183	0.022042	-0.009334	-10.659022	
0.015799	-0.007732	0.033634	0.155006	-0.252174	0.078179	0.034317	0.010673	-0.020625	0.015199	-10.736685	
0.001664	0.001570	0.004557	0.011690	0.012953	0.008046	0.579253	0.081154	-0.038871	0.235553	0.038145	-9.925703	
0.300138	0.039541	-0.076523	-0.904329	0.690461	1.193903	-0.065640	0.006151	-1.158269	0.012133	-0.029069	0.019597	-8.486504	
0.068136	0.031928	-0.155548	-0.239236	0.009908	-0.756327	0.064282	-0.201599	0.577537	-0.005555	0.057446	-0.000182	-0.948490	-10.256726	
0.041534	-0.222048	0.109384	0.352058	0.767703	-0.036706	0.014951	-0.221941	-0.098036	-0.010157	0.059743	-0.006214	0.252574	0.176493	-10.332993	
-0.007653	-0.048978	-0.215277	-0.269902	-0.117451	-0.171089	-0.029028	0.097945	-0.116032	0.007520	-0.091499	-0.007939	0.256781	0.118521	-0.165266	999991.645306	

OVERLAP
1.000000	
0.248362	1.000000	
0.000000	0.028557	1.000000	
0.025151	0.306362	0.236704	1.000000	
0.000002	0.039483	0.000000	0.000275	1.000000	
0.040039	0.380501	0.000275	0.021460	0.236704	1.000000	
0.011203	0.164835	0.054425	0.477094	0.000307	0.008447	1.000000	
0.000000	0.000000	-0.030741	-0.252158	0.064098	0.439249	-0.182434	1.000000	
0.000000	0.000000	-0.018029	-0.147888	-0.018243	-0.125014	-0.012590	0.000000	1.000000	
0.000000	0.000000	-0.031441	-0.257902	0.002311	0.015836	-0.074896	0.000000	0.000000	1.000000	
0.028158	0.185278	0.000000	0.000000	0.000683	0.031812	-0.354385	-0.029874	-0.115903	-0.202123	1.000000	
