-------- parallel information --------
 # of process = 1
 # of threads = 24
 Buffer size  = 4096 (MB)
-------- input information -----------
 Input   = ./samples/O2.inp
--------------------------------------
nat = 2
=============== INPUT DATA (A) ================
 O     0.00000     0.00000     0.00000
 O     0.00000     0.00000     1.20800
===============================================
nelec = 16,  nocc = 8
nat=2, ncs=6, nao=10, nps=18
S-TYPE: [  0,   4)
P-TYPE: [  4,   6)
== allocd memory size in ofmo-scf.c =      0.005 MB
ncspair = 21, npspair = 189 
******************** cutoff results **********************
      :     NCS PAIR                   NPS PAIR           
cstype: surved/ total (  rate)     surved/   total (  rate)
 (S|S):     10/    10 (100.00)         87/      90 ( 96.67)
 (P|S):      8/     8 (100.00)         72/      72 (100.00)
 (P|P):      3/     3 (100.00)         27/      27 (100.00)
**********************************************************
etime (buffer int2e) =  0.009054
Enuc =     28.0358807544
scfd scfe eps_ps4 eps_sch eps_eri: 1.00e-05 1.00e-08 1.00e-20 1.00e-12 1.00e-15
Allocated memory in ofmo_diis =    0.008 MB
g_incore: 100000
    1 :   -147.0956837740 (   -147.0956837740 ) ( 0.2575642)
    2 :   -147.5294204098 (     -0.4337366358 ) ( 0.0643104)
    3 :   -147.5498934946 (     -0.0204730848 ) ( 0.0150462)
    4 :   -147.5510594680 (     -0.0011659734 ) ( 0.0035078)
    5 :   -147.5511236952 (     -0.0000642271 ) ( 0.0010674)
    6 :   -147.5511273973 (     -0.0000037022 ) ( 0.0000013)
AO : 2 2 2 0 | 0.000000
AO : 2 2 0 0 | 0.438061
AO : 2 2 1 0 | 0.103691
AO : 2 2 1 1 | 0.436874
AO : 2 2 2 1 | 0.071913
AO : 2 2 2 2 | 4.785066
AO : 7 0 4 0 | 0.000354
AO : 8 0 5 0 | 0.000354
AO : 9 0 6 0 | -0.001326
AO : 7 0 4 1 | 0.000674
AO : 8 0 5 1 | 0.000674
AO : 9 0 6 1 | -0.002526
AO : 7 0 4 2 | 0.000000
AO : 8 0 5 2 | 0.000000
AO : 9 0 6 2 | -0.000714
AO : 7 0 4 3 | 0.000093
AO : 8 0 5 3 | 0.000093
AO : 9 0 6 3 | -0.008837
AO : 7 0 7 0 | 0.000006
AO : 8 0 8 0 | 0.000006
AO : 9 0 9 0 | 0.003724
AO : 6 0 2 1 | 0.000245
AO : 6 0 2 2 | 0.009747
AO : 6 0 3 0 | 0.000851
AO : 6 0 3 1 | 0.004921
AO : 6 0 3 2 | 0.002307
AO : 6 0 3 3 | 0.009438
AO : 9 3 2 0 | -0.000000
AO : 9 3 0 0 | -0.120731
AO : 9 3 1 0 | -0.028433
AO : 9 3 1 1 | -0.107310
AO : 9 3 2 1 | -0.001611
AO : 9 3 3 0 | -0.002989
AO : 9 3 3 1 | -0.039399
AO : 7 7 6 0 | 0.008098
AO : 8 8 6 0 | 0.008098
AO : 9 7 4 0 | -0.001545
AO : 9 8 5 0 | -0.001545
AO : 9 9 6 0 | 0.012053
